"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXREV","TOT","PC_GDP","A","2017",28.455,
"AUS","TAXREV","TOT","PC_GDP","A","2018",28.534,
"AUS","TAXREV","TOT","PC_GDP","A","2019",27.673,
"AUT","TAXREV","TOT","PC_GDP","A","2017",41.873,
"AUT","TAXREV","TOT","PC_GDP","A","2018",42.251,
"AUT","TAXREV","TOT","PC_GDP","A","2019",42.562,
"AUT","TAXREV","TOT","PC_GDP","A","2020",42.132,
"BEL","TAXREV","TOT","PC_GDP","A","2017",43.85,
"BEL","TAXREV","TOT","PC_GDP","A","2018",43.869,
"BEL","TAXREV","TOT","PC_GDP","A","2019",42.7,
"BEL","TAXREV","TOT","PC_GDP","A","2020",43.067,
"CAN","TAXREV","TOT","PC_GDP","A","2017",33.044,
"CAN","TAXREV","TOT","PC_GDP","A","2018",33.506,
"CAN","TAXREV","TOT","PC_GDP","A","2019",33.808,
"CAN","TAXREV","TOT","PC_GDP","A","2020",34.389,
"CZE","TAXREV","TOT","PC_GDP","A","2017",34.438,
"CZE","TAXREV","TOT","PC_GDP","A","2018",34.982,
"CZE","TAXREV","TOT","PC_GDP","A","2019",34.781,
"CZE","TAXREV","TOT","PC_GDP","A","2020",34.382,
"DNK","TAXREV","TOT","PC_GDP","A","2017",45.476,
"DNK","TAXREV","TOT","PC_GDP","A","2018",44.175,
"DNK","TAXREV","TOT","PC_GDP","A","2019",46.603,
"DNK","TAXREV","TOT","PC_GDP","A","2020",46.537,
"FIN","TAXREV","TOT","PC_GDP","A","2017",42.857,
"FIN","TAXREV","TOT","PC_GDP","A","2018",42.386,
"FIN","TAXREV","TOT","PC_GDP","A","2019",42.251,
"FIN","TAXREV","TOT","PC_GDP","A","2020",41.913,
"FRA","TAXREV","TOT","PC_GDP","A","2017",46.068,
"FRA","TAXREV","TOT","PC_GDP","A","2018",45.878,
"FRA","TAXREV","TOT","PC_GDP","A","2019",44.885,
"FRA","TAXREV","TOT","PC_GDP","A","2020",45.427,
"DEU","TAXREV","TOT","PC_GDP","A","2017",37.733,
"DEU","TAXREV","TOT","PC_GDP","A","2018",38.43,
"DEU","TAXREV","TOT","PC_GDP","A","2019",38.617,
"DEU","TAXREV","TOT","PC_GDP","A","2020",38.335,
"GRC","TAXREV","TOT","PC_GDP","A","2017",39.291,
"GRC","TAXREV","TOT","PC_GDP","A","2018",40,
"GRC","TAXREV","TOT","PC_GDP","A","2019",39.484,
"GRC","TAXREV","TOT","PC_GDP","A","2020",38.781,
"HUN","TAXREV","TOT","PC_GDP","A","2017",37.857,
"HUN","TAXREV","TOT","PC_GDP","A","2018",36.82,
"HUN","TAXREV","TOT","PC_GDP","A","2019",36.465,
"HUN","TAXREV","TOT","PC_GDP","A","2020",35.68,
"ISL","TAXREV","TOT","PC_GDP","A","2017",37.13,
"ISL","TAXREV","TOT","PC_GDP","A","2018",36.448,
"ISL","TAXREV","TOT","PC_GDP","A","2019",34.844,
"ISL","TAXREV","TOT","PC_GDP","A","2020",36.087,
"IRL","TAXREV","TOT","PC_GDP","A","2017",22.583,
"IRL","TAXREV","TOT","PC_GDP","A","2018",22.354,
"IRL","TAXREV","TOT","PC_GDP","A","2019",21.903,
"IRL","TAXREV","TOT","PC_GDP","A","2020",20.204,
"ITA","TAXREV","TOT","PC_GDP","A","2017",41.912,
"ITA","TAXREV","TOT","PC_GDP","A","2018",41.725,
"ITA","TAXREV","TOT","PC_GDP","A","2019",42.415,
"ITA","TAXREV","TOT","PC_GDP","A","2020",42.912,
"JPN","TAXREV","TOT","PC_GDP","A","2017",30.918,
"JPN","TAXREV","TOT","PC_GDP","A","2018",31.552,
"JPN","TAXREV","TOT","PC_GDP","A","2019",31.412,
"KOR","TAXREV","TOT","PC_GDP","A","2017",25.357,
"KOR","TAXREV","TOT","PC_GDP","A","2018",26.686,
"KOR","TAXREV","TOT","PC_GDP","A","2019",27.305,
"KOR","TAXREV","TOT","PC_GDP","A","2020",27.979,
"LUX","TAXREV","TOT","PC_GDP","A","2017",37.447,
"LUX","TAXREV","TOT","PC_GDP","A","2018",39.468,
"LUX","TAXREV","TOT","PC_GDP","A","2019",38.949,
"LUX","TAXREV","TOT","PC_GDP","A","2020",38.272,
"MEX","TAXREV","TOT","PC_GDP","A","2017",16.08,
"MEX","TAXREV","TOT","PC_GDP","A","2018",16.145,
"MEX","TAXREV","TOT","PC_GDP","A","2019",16.347,
"MEX","TAXREV","TOT","PC_GDP","A","2020",17.933,
"NLD","TAXREV","TOT","PC_GDP","A","2017",38.701,
"NLD","TAXREV","TOT","PC_GDP","A","2018",38.799,
"NLD","TAXREV","TOT","PC_GDP","A","2019",39.264,
"NLD","TAXREV","TOT","PC_GDP","A","2020",39.676,
"NZL","TAXREV","TOT","PC_GDP","A","2017",31.295,
"NZL","TAXREV","TOT","PC_GDP","A","2018",32.173,
"NZL","TAXREV","TOT","PC_GDP","A","2019",31.456,
"NZL","TAXREV","TOT","PC_GDP","A","2020",32.177,
"NOR","TAXREV","TOT","PC_GDP","A","2017",38.78,
"NOR","TAXREV","TOT","PC_GDP","A","2018",39.368,
"NOR","TAXREV","TOT","PC_GDP","A","2019",39.906,
"NOR","TAXREV","TOT","PC_GDP","A","2020",38.608,
"POL","TAXREV","TOT","PC_GDP","A","2017",34.118,
"POL","TAXREV","TOT","PC_GDP","A","2018",35.143,
"POL","TAXREV","TOT","PC_GDP","A","2019",35.106,
"POL","TAXREV","TOT","PC_GDP","A","2020",35.981,
"PRT","TAXREV","TOT","PC_GDP","A","2017",34.112,
"PRT","TAXREV","TOT","PC_GDP","A","2018",34.656,
"PRT","TAXREV","TOT","PC_GDP","A","2019",34.502,
"PRT","TAXREV","TOT","PC_GDP","A","2020",34.754,
"SVK","TAXREV","TOT","PC_GDP","A","2017",34.039,
"SVK","TAXREV","TOT","PC_GDP","A","2018",34.198,
"SVK","TAXREV","TOT","PC_GDP","A","2019",34.571,
"SVK","TAXREV","TOT","PC_GDP","A","2020",34.754,
"ESP","TAXREV","TOT","PC_GDP","A","2017",33.87,
"ESP","TAXREV","TOT","PC_GDP","A","2018",34.662,
"ESP","TAXREV","TOT","PC_GDP","A","2019",34.682,
"ESP","TAXREV","TOT","PC_GDP","A","2020",36.624,
"SWE","TAXREV","TOT","PC_GDP","A","2017",44.093,
"SWE","TAXREV","TOT","PC_GDP","A","2018",43.774,
"SWE","TAXREV","TOT","PC_GDP","A","2019",42.833,
"SWE","TAXREV","TOT","PC_GDP","A","2020",42.597,
"CHE","TAXREV","TOT","PC_GDP","A","2017",27.351,
"CHE","TAXREV","TOT","PC_GDP","A","2018",26.811,
"CHE","TAXREV","TOT","PC_GDP","A","2019",27.358,
"CHE","TAXREV","TOT","PC_GDP","A","2020",27.588,
"TUR","TAXREV","TOT","PC_GDP","A","2017",24.68,
"TUR","TAXREV","TOT","PC_GDP","A","2018",23.983,
"TUR","TAXREV","TOT","PC_GDP","A","2019",23.103,
"TUR","TAXREV","TOT","PC_GDP","A","2020",23.86,
"GBR","TAXREV","TOT","PC_GDP","A","2017",32.871,
"GBR","TAXREV","TOT","PC_GDP","A","2018",32.887,
"GBR","TAXREV","TOT","PC_GDP","A","2019",32.718,
"GBR","TAXREV","TOT","PC_GDP","A","2020",32.774,
"USA","TAXREV","TOT","PC_GDP","A","2017",26.785,
"USA","TAXREV","TOT","PC_GDP","A","2018",24.894,
"USA","TAXREV","TOT","PC_GDP","A","2019",24.969,
"USA","TAXREV","TOT","PC_GDP","A","2020",25.539,
"CHL","TAXREV","TOT","PC_GDP","A","2017",20.174,
"CHL","TAXREV","TOT","PC_GDP","A","2018",21.126,
"CHL","TAXREV","TOT","PC_GDP","A","2019",20.891,
"CHL","TAXREV","TOT","PC_GDP","A","2020",19.324,
"EST","TAXREV","TOT","PC_GDP","A","2017",32.548,
"EST","TAXREV","TOT","PC_GDP","A","2018",33.046,
"EST","TAXREV","TOT","PC_GDP","A","2019",33.526,
"EST","TAXREV","TOT","PC_GDP","A","2020",34.512,
"ISR","TAXREV","TOT","PC_GDP","A","2017",32.293,
"ISR","TAXREV","TOT","PC_GDP","A","2018",30.802,
"ISR","TAXREV","TOT","PC_GDP","A","2019",30.211,
"ISR","TAXREV","TOT","PC_GDP","A","2020",29.725,
"SVN","TAXREV","TOT","PC_GDP","A","2017",37.078,
"SVN","TAXREV","TOT","PC_GDP","A","2018",37.271,
"SVN","TAXREV","TOT","PC_GDP","A","2019",37.168,
"SVN","TAXREV","TOT","PC_GDP","A","2020",36.851,
"OAVG","TAXREV","TOT","PC_GDP","A","2017",33.368,
"OAVG","TAXREV","TOT","PC_GDP","A","2018",33.49,
"OAVG","TAXREV","TOT","PC_GDP","A","2019",33.423,
"OAVG","TAXREV","TOT","PC_GDP","A","2020",33.51,
"LVA","TAXREV","TOT","PC_GDP","A","2017",31.201,
"LVA","TAXREV","TOT","PC_GDP","A","2018",31.144,
"LVA","TAXREV","TOT","PC_GDP","A","2019",31.244,
"LVA","TAXREV","TOT","PC_GDP","A","2020",31.913,
"LTU","TAXREV","TOT","PC_GDP","A","2017",29.644,
"LTU","TAXREV","TOT","PC_GDP","A","2018",30.227,
"LTU","TAXREV","TOT","PC_GDP","A","2019",30.279,
"LTU","TAXREV","TOT","PC_GDP","A","2020",31.25,
"COL","TAXREV","TOT","PC_GDP","A","2017",18.983,
"COL","TAXREV","TOT","PC_GDP","A","2018",19.265,
"COL","TAXREV","TOT","PC_GDP","A","2019",19.703,
"COL","TAXREV","TOT","PC_GDP","A","2020",18.718,
"CRI","TAXREV","TOT","PC_GDP","A","2017",22.984,
"CRI","TAXREV","TOT","PC_GDP","A","2018",23.188,
"CRI","TAXREV","TOT","PC_GDP","A","2019",23.579,
"CRI","TAXREV","TOT","PC_GDP","A","2020",22.887,
