"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXSS","TOT","PC_TOT_TAX","A","2017",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","2018",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","2019",0,
"AUT","TAXSS","TOT","PC_TOT_TAX","A","2017",34.863,
"AUT","TAXSS","TOT","PC_TOT_TAX","A","2018",34.807,
"AUT","TAXSS","TOT","PC_TOT_TAX","A","2019",34.912,
"AUT","TAXSS","TOT","PC_TOT_TAX","A","2020",37.02,
"BEL","TAXSS","TOT","PC_TOT_TAX","A","2017",30.583,
"BEL","TAXSS","TOT","PC_TOT_TAX","A","2018",30.212,
"BEL","TAXSS","TOT","PC_TOT_TAX","A","2019",31.024,
"BEL","TAXSS","TOT","PC_TOT_TAX","A","2020",31.807,
"CAN","TAXSS","TOT","PC_TOT_TAX","A","2017",13.994,
"CAN","TAXSS","TOT","PC_TOT_TAX","A","2018",13.845,
"CAN","TAXSS","TOT","PC_TOT_TAX","A","2019",13.872,
"CAN","TAXSS","TOT","PC_TOT_TAX","A","2020",14.237,
"CZE","TAXSS","TOT","PC_TOT_TAX","A","2017",43.021,
"CZE","TAXSS","TOT","PC_TOT_TAX","A","2018",43.844,
"CZE","TAXSS","TOT","PC_TOT_TAX","A","2019",44.155,
"CZE","TAXSS","TOT","PC_TOT_TAX","A","2020",46.052,
"DNK","TAXSS","TOT","PC_TOT_TAX","A","2017",0.106,
"DNK","TAXSS","TOT","PC_TOT_TAX","A","2018",0.107,
"DNK","TAXSS","TOT","PC_TOT_TAX","A","2019",0.092,
"DNK","TAXSS","TOT","PC_TOT_TAX","A","2020",0.125,
"FIN","TAXSS","TOT","PC_TOT_TAX","A","2017",27.839,
"FIN","TAXSS","TOT","PC_TOT_TAX","A","2018",27.938,
"FIN","TAXSS","TOT","PC_TOT_TAX","A","2019",27.893,
"FIN","TAXSS","TOT","PC_TOT_TAX","A","2020",27.455,
"FRA","TAXSS","TOT","PC_TOT_TAX","A","2017",36.327,
"FRA","TAXSS","TOT","PC_TOT_TAX","A","2018",34.914,
"FRA","TAXSS","TOT","PC_TOT_TAX","A","2019",33.034,
"FRA","TAXSS","TOT","PC_TOT_TAX","A","2020",32.689,
"DEU","TAXSS","TOT","PC_TOT_TAX","A","2017",37.894,
"DEU","TAXSS","TOT","PC_TOT_TAX","A","2018",37.678,
"DEU","TAXSS","TOT","PC_TOT_TAX","A","2019",37.883,
"DEU","TAXSS","TOT","PC_TOT_TAX","A","2020",39.67,
"GRC","TAXSS","TOT","PC_TOT_TAX","A","2017",29.801,
"GRC","TAXSS","TOT","PC_TOT_TAX","A","2018",29.869,
"GRC","TAXSS","TOT","PC_TOT_TAX","A","2019",30.783,
"GRC","TAXSS","TOT","PC_TOT_TAX","A","2020",33.224,
"HUN","TAXSS","TOT","PC_TOT_TAX","A","2017",32.466,
"HUN","TAXSS","TOT","PC_TOT_TAX","A","2018",31.637,
"HUN","TAXSS","TOT","PC_TOT_TAX","A","2019",31.996,
"HUN","TAXSS","TOT","PC_TOT_TAX","A","2020",30.977,
"ISL","TAXSS","TOT","PC_TOT_TAX","A","2017",9.139,
"ISL","TAXSS","TOT","PC_TOT_TAX","A","2018",9.474,
"ISL","TAXSS","TOT","PC_TOT_TAX","A","2019",9.174,
"ISL","TAXSS","TOT","PC_TOT_TAX","A","2020",8.875,
"IRL","TAXSS","TOT","PC_TOT_TAX","A","2017",16.532,
"IRL","TAXSS","TOT","PC_TOT_TAX","A","2018",16.581,
"IRL","TAXSS","TOT","PC_TOT_TAX","A","2019",16.827,
"IRL","TAXSS","TOT","PC_TOT_TAX","A","2020",17.019,
"ITA","TAXSS","TOT","PC_TOT_TAX","A","2017",30.312,
"ITA","TAXSS","TOT","PC_TOT_TAX","A","2018",31.067,
"ITA","TAXSS","TOT","PC_TOT_TAX","A","2019",31.245,
"ITA","TAXSS","TOT","PC_TOT_TAX","A","2020",31.543,
"JPN","TAXSS","TOT","PC_TOT_TAX","A","2017",39.938,
"JPN","TAXSS","TOT","PC_TOT_TAX","A","2018",40.207,
"JPN","TAXSS","TOT","PC_TOT_TAX","A","2019",41.05,
"KOR","TAXSS","TOT","PC_TOT_TAX","A","2017",25.711,
"KOR","TAXSS","TOT","PC_TOT_TAX","A","2018",25.399,
"KOR","TAXSS","TOT","PC_TOT_TAX","A","2019",26.732,
"KOR","TAXSS","TOT","PC_TOT_TAX","A","2020",28.016,
"LUX","TAXSS","TOT","PC_TOT_TAX","A","2017",28.793,
"LUX","TAXSS","TOT","PC_TOT_TAX","A","2018",27.33,
"LUX","TAXSS","TOT","PC_TOT_TAX","A","2019",27.665,
"LUX","TAXSS","TOT","PC_TOT_TAX","A","2020",29.321,
"MEX","TAXSS","TOT","PC_TOT_TAX","A","2017",13.258,
"MEX","TAXSS","TOT","PC_TOT_TAX","A","2018",13.404,
"MEX","TAXSS","TOT","PC_TOT_TAX","A","2019",13.816,
"MEX","TAXSS","TOT","PC_TOT_TAX","A","2020",13.892,
"NLD","TAXSS","TOT","PC_TOT_TAX","A","2017",35.675,
"NLD","TAXSS","TOT","PC_TOT_TAX","A","2018",35.981,
"NLD","TAXSS","TOT","PC_TOT_TAX","A","2019",34.237,
"NLD","TAXSS","TOT","PC_TOT_TAX","A","2020",34.27,
"NZL","TAXSS","TOT","PC_TOT_TAX","A","2017",0,
"NZL","TAXSS","TOT","PC_TOT_TAX","A","2018",0,
"NZL","TAXSS","TOT","PC_TOT_TAX","A","2019",0,
"NZL","TAXSS","TOT","PC_TOT_TAX","A","2020",0,
"NOR","TAXSS","TOT","PC_TOT_TAX","A","2017",26.593,
"NOR","TAXSS","TOT","PC_TOT_TAX","A","2018",25.539,
"NOR","TAXSS","TOT","PC_TOT_TAX","A","2019",26.504,
"NOR","TAXSS","TOT","PC_TOT_TAX","A","2020",28.944,
"POL","TAXSS","TOT","PC_TOT_TAX","A","2017",37.549,
"POL","TAXSS","TOT","PC_TOT_TAX","A","2018",37.242,
"POL","TAXSS","TOT","PC_TOT_TAX","A","2019",37.553,
"POL","TAXSS","TOT","PC_TOT_TAX","A","2020",38.413,
"PRT","TAXSS","TOT","PC_TOT_TAX","A","2017",26.863,
"PRT","TAXSS","TOT","PC_TOT_TAX","A","2018",26.905,
"PRT","TAXSS","TOT","PC_TOT_TAX","A","2019",27.838,
"PRT","TAXSS","TOT","PC_TOT_TAX","A","2020",29.544,
"SVK","TAXSS","TOT","PC_TOT_TAX","A","2017",42.77,
"SVK","TAXSS","TOT","PC_TOT_TAX","A","2018",43.024,
"SVK","TAXSS","TOT","PC_TOT_TAX","A","2019",43.388,
"SVK","TAXSS","TOT","PC_TOT_TAX","A","2020",44.647,
"ESP","TAXSS","TOT","PC_TOT_TAX","A","2017",34.083,
"ESP","TAXSS","TOT","PC_TOT_TAX","A","2018",33.875,
"ESP","TAXSS","TOT","PC_TOT_TAX","A","2019",35.342,
"ESP","TAXSS","TOT","PC_TOT_TAX","A","2020",37.453,
"SWE","TAXSS","TOT","PC_TOT_TAX","A","2017",21.728,
"SWE","TAXSS","TOT","PC_TOT_TAX","A","2018",21.922,
"SWE","TAXSS","TOT","PC_TOT_TAX","A","2019",21.4,
"SWE","TAXSS","TOT","PC_TOT_TAX","A","2020",21.466,
"CHE","TAXSS","TOT","PC_TOT_TAX","A","2017",23.776,
"CHE","TAXSS","TOT","PC_TOT_TAX","A","2018",23.824,
"CHE","TAXSS","TOT","PC_TOT_TAX","A","2019",23.664,
"CHE","TAXSS","TOT","PC_TOT_TAX","A","2020",25.072,
"TUR","TAXSS","TOT","PC_TOT_TAX","A","2017",29.314,
