"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEDICALDOC","TOT","1000HAB","A","2017",3.68,"E"
"AUS","MEDICALDOC","TOT","1000HAB","A","2018",3.75,"E"
"AUS","MEDICALDOC","TOT","1000HAB","A","2019",3.83,"E"
"AUS","MEDICALDOC","TOT","1000HAB","A","2020",3.9,"E"
"AUT","MEDICALDOC","TOT","1000HAB","A","2017",5.18,
"AUT","MEDICALDOC","TOT","1000HAB","A","2018",5.24,
"AUT","MEDICALDOC","TOT","1000HAB","A","2019",5.32,
"AUT","MEDICALDOC","TOT","1000HAB","A","2020",5.35,
"AUT","MEDICALDOC","TOT","1000HAB","A","2021",5.45,
"BEL","MEDICALDOC","TOT","1000HAB","A","2017",3.08,
"BEL","MEDICALDOC","TOT","1000HAB","A","2018",3.13,
"BEL","MEDICALDOC","TOT","1000HAB","A","2019",3.16,
"BEL","MEDICALDOC","TOT","1000HAB","A","2020",3.21,
"CAN","MEDICALDOC","TOT","1000HAB","A","2017",2.73,
"CAN","MEDICALDOC","TOT","1000HAB","A","2018",2.78,
"CAN","MEDICALDOC","TOT","1000HAB","A","2019",2.78,
"CAN","MEDICALDOC","TOT","1000HAB","A","2020",2.77,
"CAN","MEDICALDOC","TOT","1000HAB","A","2021",2.82,"P"
"CZE","MEDICALDOC","TOT","1000HAB","A","2018",4.04,
"CZE","MEDICALDOC","TOT","1000HAB","A","2019",4.07,"E"
"CZE","MEDICALDOC","TOT","1000HAB","A","2020",4.1,"E"
"DNK","MEDICALDOC","TOT","1000HAB","A","2017",4.11,
"DNK","MEDICALDOC","TOT","1000HAB","A","2018",4.2,
"DNK","MEDICALDOC","TOT","1000HAB","A","2019",4.25,
"FIN","MEDICALDOC","TOT","1000HAB","A","2017",3.46,
"FIN","MEDICALDOC","TOT","1000HAB","A","2018",3.48,
"FRA","MEDICALDOC","TOT","1000HAB","A","2017",3.35,
"FRA","MEDICALDOC","TOT","1000HAB","A","2018",3.33,
"FRA","MEDICALDOC","TOT","1000HAB","A","2019",3.36,
"FRA","MEDICALDOC","TOT","1000HAB","A","2020",3.36,
"DEU","MEDICALDOC","TOT","1000HAB","A","2017",4.25,
"DEU","MEDICALDOC","TOT","1000HAB","A","2018",4.31,
"DEU","MEDICALDOC","TOT","1000HAB","A","2019",4.39,
"DEU","MEDICALDOC","TOT","1000HAB","A","2020",4.47,
"DEU","MEDICALDOC","TOT","1000HAB","A","2021",4.53,
"HUN","MEDICALDOC","TOT","1000HAB","A","2017",3.32,
"HUN","MEDICALDOC","TOT","1000HAB","A","2018",3.38,
"HUN","MEDICALDOC","TOT","1000HAB","A","2019",3.49,
"HUN","MEDICALDOC","TOT","1000HAB","A","2020",3.14,"B"
"HUN","MEDICALDOC","TOT","1000HAB","A","2021",3.28,"P"
"ISL","MEDICALDOC","TOT","1000HAB","A","2017",3.87,
"ISL","MEDICALDOC","TOT","1000HAB","A","2018",3.89,
"ISL","MEDICALDOC","TOT","1000HAB","A","2019",3.89,
"ISL","MEDICALDOC","TOT","1000HAB","A","2020",4.32,
"ISL","MEDICALDOC","TOT","1000HAB","A","2021",4.42,
"IRL","MEDICALDOC","TOT","1000HAB","A","2017",3.26,
"IRL","MEDICALDOC","TOT","1000HAB","A","2018",3.28,
"IRL","MEDICALDOC","TOT","1000HAB","A","2019",3.32,
"IRL","MEDICALDOC","TOT","1000HAB","A","2020",3.46,
"IRL","MEDICALDOC","TOT","1000HAB","A","2021",4.05,"B"
"ITA","MEDICALDOC","TOT","1000HAB","A","2017",3.99,
"ITA","MEDICALDOC","TOT","1000HAB","A","2018",3.98,
"ITA","MEDICALDOC","TOT","1000HAB","A","2019",4.05,
"ITA","MEDICALDOC","TOT","1000HAB","A","2020",4,
"ITA","MEDICALDOC","TOT","1000HAB","A","2021",4.13,"P"
"JPN","MEDICALDOC","TOT","1000HAB","A","2018",2.49,
"JPN","MEDICALDOC","TOT","1000HAB","A","2020",2.6,
"KOR","MEDICALDOC","TOT","1000HAB","A","2017",2.35,
"KOR","MEDICALDOC","TOT","1000HAB","A","2018",2.39,
"KOR","MEDICALDOC","TOT","1000HAB","A","2019",2.46,
"KOR","MEDICALDOC","TOT","1000HAB","A","2020",2.51,
"LUX","MEDICALDOC","TOT","1000HAB","A","2017",2.98,
"MEX","MEDICALDOC","TOT","1000HAB","A","2017",2.4,
"MEX","MEDICALDOC","TOT","1000HAB","A","2018",2.44,
"MEX","MEDICALDOC","TOT","1000HAB","A","2019",2.44,
"MEX","MEDICALDOC","TOT","1000HAB","A","2020",2.41,
"NZL","MEDICALDOC","TOT","1000HAB","A","2017",3.25,"E"
"NZL","MEDICALDOC","TOT","1000HAB","A","2018",3.31,"E"
"NZL","MEDICALDOC","TOT","1000HAB","A","2019",3.38,"E"
"NZL","MEDICALDOC","TOT","1000HAB","A","2020",3.43,"E"
"NZL","MEDICALDOC","TOT","1000HAB","A","2021",3.53,"E"
"NOR","MEDICALDOC","TOT","1000HAB","A","2017",4.73,
"NOR","MEDICALDOC","TOT","1000HAB","A","2018",4.86,
"NOR","MEDICALDOC","TOT","1000HAB","A","2019",4.97,
"NOR","MEDICALDOC","TOT","1000HAB","A","2020",5.09,
"NOR","MEDICALDOC","TOT","1000HAB","A","2021",5.18,
"POL","MEDICALDOC","TOT","1000HAB","A","2017",2.38,
"POL","MEDICALDOC","TOT","1000HAB","A","2019",3.3,
"SVK","MEDICALDOC","TOT","1000HAB","A","2017",3.42,
"SVK","MEDICALDOC","TOT","1000HAB","A","2018",3.52,
"SVK","MEDICALDOC","TOT","1000HAB","A","2019",3.57,
"SVK","MEDICALDOC","TOT","1000HAB","A","2020",3.67,
"ESP","MEDICALDOC","TOT","1000HAB","A","2017",3.88,
"ESP","MEDICALDOC","TOT","1000HAB","A","2018",4.02,
"ESP","MEDICALDOC","TOT","1000HAB","A","2019",4.4,
"ESP","MEDICALDOC","TOT","1000HAB","A","2020",4.58,
"SWE","MEDICALDOC","TOT","1000HAB","A","2017",4.27,
"SWE","MEDICALDOC","TOT","1000HAB","A","2018",4.32,
"SWE","MEDICALDOC","TOT","1000HAB","A","2019",4.29,
"CHE","MEDICALDOC","TOT","1000HAB","A","2017",4.3,
"CHE","MEDICALDOC","TOT","1000HAB","A","2018",4.34,
"CHE","MEDICALDOC","TOT","1000HAB","A","2019",4.35,
"CHE","MEDICALDOC","TOT","1000HAB","A","2020",4.39,
"CHE","MEDICALDOC","TOT","1000HAB","A","2021",4.45,
"TUR","MEDICALDOC","TOT","1000HAB","A","2017",1.87,
"TUR","MEDICALDOC","TOT","1000HAB","A","2018",1.88,"B"
"TUR","MEDICALDOC","TOT","1000HAB","A","2019",1.95,
"TUR","MEDICALDOC","TOT","1000HAB","A","2020",2.05,
"GBR","MEDICALDOC","TOT","1000HAB","A","2017",2.81,
"GBR","MEDICALDOC","TOT","1000HAB","A","2018",2.84,
"GBR","MEDICALDOC","TOT","1000HAB","A","2019",2.95,
"GBR","MEDICALDOC","TOT","1000HAB","A","2020",3.03,"E"
"GBR","MEDICALDOC","TOT","1000HAB","A","2021",3.18,
"USA","MEDICALDOC","TOT","1000HAB","A","2017",2.61,
"USA","MEDICALDOC","TOT","1000HAB","A","2018",2.61,
"USA","MEDICALDOC","TOT","1000HAB","A","2019",2.64,
"BRA","MEDICALDOC","TOT","1000HAB","A","2017",1.86,
"BRA","MEDICALDOC","TOT","1000HAB","A","2018",1.9,
"BRA","MEDICALDOC","TOT","1000HAB","A","2019",1.97,
"BRA","MEDICALDOC","TOT","1000HAB","A","2020",2.05,
"BRA","MEDICALDOC","TOT","1000HAB","A","2021",2.15,
"CHN","MEDICALDOC","TOT","1000HAB","A","2017",1.99,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2018",2.11,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2019",2.24,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2020",2.36,"D"
"EST","MEDICALDOC","TOT","1000HAB","A","2017",3.47,
"EST","MEDICALDOC","TOT","1000HAB","A","2018",3.48,
"EST","MEDICALDOC","TOT","1000HAB","A","2019",3.47,
"EST","MEDICALDOC","TOT","1000HAB","A","2020",3.48,
"IND","MEDICALDOC","TOT","1000HAB","A","2017",0.78,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2018",0.85,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2019",0.9,"D"
"IDN","MEDICALDOC","TOT","1000HAB","A","2017",0.38,
"IDN","MEDICALDOC","TOT","1000HAB","A","2018",0.43,
"IDN","MEDICALDOC","TOT","1000HAB","A","2019",0.47,
"IDN","MEDICALDOC","TOT","1000HAB","A","2020",0.63,
"ISR","MEDICALDOC","TOT","1000HAB","A","2017",3.14,
"ISR","MEDICALDOC","TOT","1000HAB","A","2018",3.22,
"ISR","MEDICALDOC","TOT","1000HAB","A","2019",3.29,
"ISR","MEDICALDOC","TOT","1000HAB","A","2020",3.31,
"RUS","MEDICALDOC","TOT","1000HAB","A","2017",4.04,
"RUS","MEDICALDOC","TOT","1000HAB","A","2018",4.09,
"RUS","MEDICALDOC","TOT","1000HAB","A","2019",4.16,
"SVN","MEDICALDOC","TOT","1000HAB","A","2017",3.1,
"SVN","MEDICALDOC","TOT","1000HAB","A","2018",3.18,
"SVN","MEDICALDOC","TOT","1000HAB","A","2019",3.26,
"SVN","MEDICALDOC","TOT","1000HAB","A","2020",3.3,
"ZAF","MEDICALDOC","TOT","1000HAB","A","2017",0.78,"D"
"ZAF","MEDICALDOC","TOT","1000HAB","A","2018",0.75,"D"
"ZAF","MEDICALDOC","TOT","1000HAB","A","2019",0.79,"D"
"LVA","MEDICALDOC","TOT","1000HAB","A","2017",3.21,
"LVA","MEDICALDOC","TOT","1000HAB","A","2018",3.3,
"LVA","MEDICALDOC","TOT","1000HAB","A","2019",3.27,
"LVA","MEDICALDOC","TOT","1000HAB","A","2020",3.34,
"LTU","MEDICALDOC","TOT","1000HAB","A","2017",4.56,
"LTU","MEDICALDOC","TOT","1000HAB","A","2018",4.6,
"LTU","MEDICALDOC","TOT","1000HAB","A","2019",4.57,
"LTU","MEDICALDOC","TOT","1000HAB","A","2020",4.48,
