"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NURSEGRAD","TOT","100000HAB","A","2017",84.54,
"AUS","NURSEGRAD","TOT","100000HAB","A","2018",96.04,
"AUS","NURSEGRAD","TOT","100000HAB","A","2019",108.89,
"AUS","NURSEGRAD","TOT","100000HAB","A","2020",107.88,
"AUT","NURSEGRAD","TOT","100000HAB","A","2017",32.3,
"AUT","NURSEGRAD","TOT","100000HAB","A","2018",38.05,
"AUT","NURSEGRAD","TOT","100000HAB","A","2019",40.37,"E"
"AUT","NURSEGRAD","TOT","100000HAB","A","2020",43.78,"E"
"BEL","NURSEGRAD","TOT","100000HAB","A","2017",56.9,
"BEL","NURSEGRAD","TOT","100000HAB","A","2018",63.03,
"BEL","NURSEGRAD","TOT","100000HAB","A","2019",31.06,"B"
"BEL","NURSEGRAD","TOT","100000HAB","A","2020",45.01,
"BEL","NURSEGRAD","TOT","100000HAB","A","2021",46.93,
"CAN","NURSEGRAD","TOT","100000HAB","A","2017",52.71,
"CZE","NURSEGRAD","TOT","100000HAB","A","2017",29.06,"B"
"CZE","NURSEGRAD","TOT","100000HAB","A","2018",27.64,
"CZE","NURSEGRAD","TOT","100000HAB","A","2019",28.72,
"CZE","NURSEGRAD","TOT","100000HAB","A","2020",29,
"DNK","NURSEGRAD","TOT","100000HAB","A","2017",44.37,
"DNK","NURSEGRAD","TOT","100000HAB","A","2018",44.65,
"DNK","NURSEGRAD","TOT","100000HAB","A","2019",44.08,
"FIN","NURSEGRAD","TOT","100000HAB","A","2017",77.32,
"FIN","NURSEGRAD","TOT","100000HAB","A","2018",76.26,
"FIN","NURSEGRAD","TOT","100000HAB","A","2019",75.16,
"FIN","NURSEGRAD","TOT","100000HAB","A","2020",67.73,
"FRA","NURSEGRAD","TOT","100000HAB","A","2017",38.95,
"FRA","NURSEGRAD","TOT","100000HAB","A","2018",38.35,
"FRA","NURSEGRAD","TOT","100000HAB","A","2019",37.63,
"FRA","NURSEGRAD","TOT","100000HAB","A","2020",37.82,
"DEU","NURSEGRAD","TOT","100000HAB","A","2017",44.69,
"DEU","NURSEGRAD","TOT","100000HAB","A","2018",43.11,
"DEU","NURSEGRAD","TOT","100000HAB","A","2019",43.92,
"DEU","NURSEGRAD","TOT","100000HAB","A","2020",43.11,
"HUN","NURSEGRAD","TOT","100000HAB","A","2017",61.86,
"HUN","NURSEGRAD","TOT","100000HAB","A","2018",61.92,
"HUN","NURSEGRAD","TOT","100000HAB","A","2019",49.99,
"HUN","NURSEGRAD","TOT","100000HAB","A","2020",60.16,
"ISL","NURSEGRAD","TOT","100000HAB","A","2017",73.68,
"ISL","NURSEGRAD","TOT","100000HAB","A","2018",55,
"ISL","NURSEGRAD","TOT","100000HAB","A","2019",59.63,
"IRL","NURSEGRAD","TOT","100000HAB","A","2017",28.93,
"IRL","NURSEGRAD","TOT","100000HAB","A","2018",29.11,
"IRL","NURSEGRAD","TOT","100000HAB","A","2019",28.92,
"IRL","NURSEGRAD","TOT","100000HAB","A","2020",30.77,
"ITA","NURSEGRAD","TOT","100000HAB","A","2017",18.92,
"ITA","NURSEGRAD","TOT","100000HAB","A","2018",18.55,
"ITA","NURSEGRAD","TOT","100000HAB","A","2019",18.36,
"ITA","NURSEGRAD","TOT","100000HAB","A","2020",16.81,"P"
"JPN","NURSEGRAD","TOT","100000HAB","A","2017",51.51,
"JPN","NURSEGRAD","TOT","100000HAB","A","2018",52.46,
"JPN","NURSEGRAD","TOT","100000HAB","A","2019",52.25,
"JPN","NURSEGRAD","TOT","100000HAB","A","2020",52.51,
