"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2017",10.126,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2018",10.074,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2019",10.23,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2020",10.646,"E"
"AUT","HEALTHEXP","TOT","PC_GDP","A","2017",10.384,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2018",10.345,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2019",10.475,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2020",11.474,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2021",12.154,"P"
"BEL","HEALTHEXP","TOT","PC_GDP","A","2017",10.752,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2018",10.788,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2019",10.664,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2020",10.793,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2017",10.862,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2018",10.846,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2019",10.95,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2020",12.94,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2021",11.665,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2017",7.381,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2018",7.472,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2019",7.605,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2020",9.24,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2017",10.098,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2018",10.098,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2019",10.121,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2020",10.528,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2021",10.846,"P"
"FIN","HEALTHEXP","TOT","PC_GDP","A","2017",9.127,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2018",9.042,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2019",9.169,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2020",9.532,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2017",11.358,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2018",11.213,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2019",11.098,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2020",12.205,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2017",11.324,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2018",11.457,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2019",11.696,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2020",12.822,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2021",12.805,"P"
"GRC","HEALTHEXP","TOT","PC_GDP","A","2017",8.135,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2018",8.12,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2019",8.203,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2020",9.508,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2017",6.738,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2018",6.575,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2019",6.297,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2020",7.25,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2017",8.261,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2018",8.376,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2019",8.513,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2020",9.517,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2021",9.653,"P"
"IRL","HEALTHEXP","TOT","PC_GDP","A","2017",7.146,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2018",6.88,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2019",6.673,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2020",7.101,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2021",6.728,"P"
"ITA","HEALTHEXP","TOT","PC_GDP","A","2017",8.678,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2018",8.682,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2019",8.656,"B"
"ITA","HEALTHEXP","TOT","PC_GDP","A","2020",9.634,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2021",9.454,"P"
"JPN","HEALTHEXP","TOT","PC_GDP","A","2017",10.656,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2018",10.746,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2019",10.959,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2020",11.134,"P"
"KOR","HEALTHEXP","TOT","PC_GDP","A","2017",7.086,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2018",7.52,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2019",8.141,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2020",8.364,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2021",8.778,"P"
"LUX","HEALTHEXP","TOT","PC_GDP","A","2017",5.135,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2018",5.259,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2019",5.421,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2020",5.735,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2017",5.458,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2018",5.383,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2019",5.446,
