"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",16.597,
"AUS","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",16.222,
"AUS","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",14.692,
"BEL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",17.905,
"BEL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",17.815,
"BEL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",18.975,
"BEL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",16.445,
"CAN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",15.366,
"CAN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",15.204,
"CAN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",15.035,
"CAN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",12.431,"P"
"CAN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2021",12.602,"P"
"CZE","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",14.546,
"CZE","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",14.187,
"CZE","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",14.092,
"CZE","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",11.525,
"DNK","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",13.694,
"DNK","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",13.824,
"DNK","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",13.794,
"DNK","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",12.83,
"DNK","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2021",12.381,"P"
"FIN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",19.046,
"FIN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",18.369,
"FIN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",17.449,
"FIN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",16.362,
"FRA","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",9.757,
"FRA","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",9.507,
"FRA","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",9.459,
"FRA","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",8.94,
"DEU","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",12.802,
"DEU","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",13.068,
"DEU","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",13.365,
"DEU","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",12.436,
"DEU","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2021",11.627,"P"
"GRC","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",34.995,
"GRC","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",36.08,
"GRC","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",33.643,
"GRC","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",33.438,
"HUN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",27.268,
"HUN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",26.804,
"HUN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",27.801,
"HUN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",25.524,
"ISL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",16.449,
"ISL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",15.937,
"ISL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",15.545,
"ISL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",15.016,
"ISL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2021",14.806,"P"
"IRL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",12.608,
"IRL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",12.023,
"IRL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",11.827,
"IRL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",10.504,
"IRL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2021",10.321,"P"
"ITA","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",23.806,
"ITA","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",23.551,
"ITA","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",23.461,
"ITA","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",21.278,
"ITA","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2021",21.755,"P"
"JPN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",12.655,
"JPN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",12.995,
"JPN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",12.902,
"JPN","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",13.311,"P"
"KOR","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",32.426,
"KOR","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",32.244,
"KOR","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",30.245,
"KOR","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",27.75,
"KOR","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2021",26.562,"P"
"LUX","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",10.661,
"LUX","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",10.436,
"LUX","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",9.623,"B"
"LUX","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",8.471,
"MEX","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",41.788,
"MEX","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",42.309,
"MEX","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",42.282,
"MEX","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",38.767,
"NLD","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",11.049,
"NLD","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",10.786,
"NLD","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2019",10.556,
"NLD","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2020",9.279,
"NZL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",13.577,"P"
"NZL","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2018",12.912,"P"
"NOR","HEALTHEXP","OOPEXP","PC_HEALTHXP","A","2017",14.512,
