"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2017",92.8107798099518,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2018",92.8107798099518,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2019",92.8107798099518,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2020",92.8107798099518,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2021",92.8107798099518,
"AUS","SOCSUPPORT","OLD","PC","A","2017",92.9383337497711,
"AUS","SOCSUPPORT","OLD","PC","A","2018",92.9383337497711,
"AUS","SOCSUPPORT","OLD","PC","A","2019",92.9383337497711,
"AUS","SOCSUPPORT","OLD","PC","A","2020",92.9383337497711,
"AUS","SOCSUPPORT","OLD","PC","A","2021",92.9383337497711,
"AUS","SOCSUPPORT","YOUNG","PC","A","2019",97.1230804920196,
"AUS","SOCSUPPORT","YOUNG","PC","A","2021",97.1230804920196,
"AUT","SOCSUPPORT","MIDDLE_AGED","PC","A","2017",92.5604343414306,
"AUT","SOCSUPPORT","MIDDLE_AGED","PC","A","2018",92.5604343414306,
"AUT","SOCSUPPORT","MIDDLE_AGED","PC","A","2019",92.5604343414306,
"AUT","SOCSUPPORT","MIDDLE_AGED","PC","A","2020",92.5604343414306,
"AUT","SOCSUPPORT","MIDDLE_AGED","PC","A","2021",92.5604343414306,
"AUT","SOCSUPPORT","OLD","PC","A","2017",90.1502728462219,
"AUT","SOCSUPPORT","OLD","PC","A","2018",90.1502728462219,
"AUT","SOCSUPPORT","OLD","PC","A","2019",90.1502728462219,
"AUT","SOCSUPPORT","OLD","PC","A","2020",90.1502728462219,
"AUT","SOCSUPPORT","OLD","PC","A","2021",90.1502728462219,
"AUT","SOCSUPPORT","YOUNG","PC","A","2017",95.3938722610474,
"AUT","SOCSUPPORT","YOUNG","PC","A","2018",95.3938722610474,
"AUT","SOCSUPPORT","YOUNG","PC","A","2019",95.3938722610474,
"AUT","SOCSUPPORT","YOUNG","PC","A","2020",95.3938722610474,
"AUT","SOCSUPPORT","YOUNG","PC","A","2021",95.3938722610474,
"BEL","SOCSUPPORT","MIDDLE_AGED","PC","A","2017",91.3850009441376,
"BEL","SOCSUPPORT","MIDDLE_AGED","PC","A","2018",91.3850009441376,
"BEL","SOCSUPPORT","MIDDLE_AGED","PC","A","2019",91.3850009441376,
"BEL","SOCSUPPORT","MIDDLE_AGED","PC","A","2020",91.3850009441376,
"BEL","SOCSUPPORT","MIDDLE_AGED","PC","A","2021",91.3850009441376,
"BEL","SOCSUPPORT","OLD","PC","A","2017",90.1919364929199,
"BEL","SOCSUPPORT","OLD","PC","A","2018",90.1919364929199,
"BEL","SOCSUPPORT","OLD","PC","A","2019",90.1919364929199,
"BEL","SOCSUPPORT","OLD","PC","A","2020",90.1919364929199,
"BEL","SOCSUPPORT","OLD","PC","A","2021",90.1919364929199,
"BEL","SOCSUPPORT","YOUNG","PC","A","2017",94.4061994552612,
"BEL","SOCSUPPORT","YOUNG","PC","A","2018",94.4061994552612,
"BEL","SOCSUPPORT","YOUNG","PC","A","2019",94.4061994552612,
"BEL","SOCSUPPORT","YOUNG","PC","A","2020",94.4061994552612,
"BEL","SOCSUPPORT","YOUNG","PC","A","2021",94.4061994552612,
"CAN","SOCSUPPORT","MIDDLE_AGED","PC","A","2017",92.7165329456329,
"CAN","SOCSUPPORT","MIDDLE_AGED","PC","A","2018",92.7165329456329,
"CAN","SOCSUPPORT","MIDDLE_AGED","PC","A","2019",92.7165329456329,
"CAN","SOCSUPPORT","MIDDLE_AGED","PC","A","2020",92.7165329456329,
"CAN","SOCSUPPORT","MIDDLE_AGED","PC","A","2021",92.7165329456329,
"CAN","SOCSUPPORT","OLD","PC","A","2017",92.0710980892181,
"CAN","SOCSUPPORT","OLD","PC","A","2018",92.0710980892181,
"CAN","SOCSUPPORT","OLD","PC","A","2019",92.0710980892181,
"CAN","SOCSUPPORT","OLD","PC","A","2020",92.0710980892181,
"CAN","SOCSUPPORT","OLD","PC","A","2021",92.0710980892181,
"CAN","SOCSUPPORT","YOUNG","PC","A","2017",95.4431653022766,
"CAN","SOCSUPPORT","YOUNG","PC","A","2018",95.4431653022766,
"CAN","SOCSUPPORT","YOUNG","PC","A","2019",95.4431653022766,
"CAN","SOCSUPPORT","YOUNG","PC","A","2020",95.4431653022766,
"CAN","SOCSUPPORT","YOUNG","PC","A","2021",95.4431653022766,
"CZE","SOCSUPPORT","MIDDLE_AGED","PC","A","2017",89.9826049804688,
"CZE","SOCSUPPORT","MIDDLE_AGED","PC","A","2018",89.9826049804688,
