"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCSUPPORT","TRY","PC","A","2017",95.1467633247376,
"AUS","SOCSUPPORT","TRY","PC","A","2018",95.1467633247376,
"AUS","SOCSUPPORT","TRY","PC","A","2019",95.1467633247376,
"AUS","SOCSUPPORT","TRY","PC","A","2020",95.1467633247376,
"AUS","SOCSUPPORT","TRY","PC","A","2021",95.1467633247376,
"AUS","SOCSUPPORT","SRY","PC","A","2017",93.8082873821259,
"AUS","SOCSUPPORT","SRY","PC","A","2018",93.8082873821259,
"AUS","SOCSUPPORT","SRY","PC","A","2019",93.8082873821259,
"AUS","SOCSUPPORT","SRY","PC","A","2020",93.8082873821259,
"AUS","SOCSUPPORT","SRY","PC","A","2021",93.8082873821259,
"AUT","SOCSUPPORT","TRY","PC","A","2017",93.1402206420898,
"AUT","SOCSUPPORT","TRY","PC","A","2018",93.1402206420898,
"AUT","SOCSUPPORT","TRY","PC","A","2019",93.1402206420898,
"AUT","SOCSUPPORT","TRY","PC","A","2020",93.1402206420898,
"AUT","SOCSUPPORT","TRY","PC","A","2021",93.1402206420898,
"AUT","SOCSUPPORT","SRY","PC","A","2017",92.157632112503,
"AUT","SOCSUPPORT","SRY","PC","A","2018",92.157632112503,
"AUT","SOCSUPPORT","SRY","PC","A","2019",92.157632112503,
"AUT","SOCSUPPORT","SRY","PC","A","2020",92.157632112503,
"AUT","SOCSUPPORT","SRY","PC","A","2021",92.157632112503,
"BEL","SOCSUPPORT","TRY","PC","A","2017",93.3670043945312,
"BEL","SOCSUPPORT","TRY","PC","A","2018",93.3670043945312,
"BEL","SOCSUPPORT","TRY","PC","A","2019",93.3670043945312,
"BEL","SOCSUPPORT","TRY","PC","A","2020",93.3670043945312,
"BEL","SOCSUPPORT","TRY","PC","A","2021",93.3670043945312,
"BEL","SOCSUPPORT","SRY","PC","A","2017",90.6995117664337,
"BEL","SOCSUPPORT","SRY","PC","A","2018",90.6995117664337,
"BEL","SOCSUPPORT","SRY","PC","A","2019",90.6995117664337,
"BEL","SOCSUPPORT","SRY","PC","A","2020",90.6995117664337,
"BEL","SOCSUPPORT","SRY","PC","A","2021",90.6995117664337,
"CAN","SOCSUPPORT","TRY","PC","A","2017",94.0804004669189,
"CAN","SOCSUPPORT","TRY","PC","A","2018",94.0804004669189,
"CAN","SOCSUPPORT","TRY","PC","A","2019",94.0804004669189,
"CAN","SOCSUPPORT","TRY","PC","A","2020",94.0804004669189,
"CAN","SOCSUPPORT","TRY","PC","A","2021",94.0804004669189,
"CAN","SOCSUPPORT","SRY","PC","A","2017",92.8123831748962,
"CAN","SOCSUPPORT","SRY","PC","A","2018",92.8123831748962,
"CAN","SOCSUPPORT","SRY","PC","A","2019",92.8123831748962,
"CAN","SOCSUPPORT","SRY","PC","A","2020",92.8123831748962,
"CAN","SOCSUPPORT","SRY","PC","A","2021",92.8123831748962,
"CZE","SOCSUPPORT","PRY","PC","A","2017",85.7950091362,
"CZE","SOCSUPPORT","PRY","PC","A","2018",85.7950091362,
"CZE","SOCSUPPORT","TRY","PC","A","2017",94.231253862381,
"CZE","SOCSUPPORT","TRY","PC","A","2018",94.231253862381,
"CZE","SOCSUPPORT","TRY","PC","A","2020",94.231253862381,
"CZE","SOCSUPPORT","TRY","PC","A","2021",94.231253862381,
"CZE","SOCSUPPORT","SRY","PC","A","2017",90.0255799293518,
"CZE","SOCSUPPORT","SRY","PC","A","2018",90.0255799293518,
"CZE","SOCSUPPORT","SRY","PC","A","2020",90.0255799293518,
"CZE","SOCSUPPORT","SRY","PC","A","2021",90.0255799293518,
"DNK","SOCSUPPORT","TRY","PC","A","2017",95.8057463169098,
"DNK","SOCSUPPORT","TRY","PC","A","2018",95.8057463169098,
