"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCSUPPORT","MEN","PC","A","2017",93.817925453186,
"AUS","SOCSUPPORT","MEN","PC","A","2018",93.817925453186,
"AUS","SOCSUPPORT","MEN","PC","A","2019",93.817925453186,
"AUS","SOCSUPPORT","MEN","PC","A","2020",93.817925453186,
"AUS","SOCSUPPORT","MEN","PC","A","2021",93.817925453186,
"AUT","SOCSUPPORT","MEN","PC","A","2017",91.616028547287,
"AUT","SOCSUPPORT","MEN","PC","A","2018",91.616028547287,
"AUT","SOCSUPPORT","MEN","PC","A","2019",91.616028547287,
"AUT","SOCSUPPORT","MEN","PC","A","2020",91.616028547287,
"AUT","SOCSUPPORT","MEN","PC","A","2021",91.616028547287,
"BEL","SOCSUPPORT","MEN","PC","A","2017",91.4982795715332,
"BEL","SOCSUPPORT","MEN","PC","A","2018",91.4982795715332,
"BEL","SOCSUPPORT","MEN","PC","A","2019",91.4982795715332,
"BEL","SOCSUPPORT","MEN","PC","A","2020",91.4982795715332,
"BEL","SOCSUPPORT","MEN","PC","A","2021",91.4982795715332,
"CAN","SOCSUPPORT","MEN","PC","A","2017",92.2459542751312,
"CAN","SOCSUPPORT","MEN","PC","A","2018",92.2459542751312,
"CAN","SOCSUPPORT","MEN","PC","A","2019",92.2459542751312,
"CAN","SOCSUPPORT","MEN","PC","A","2020",92.2459542751312,
"CAN","SOCSUPPORT","MEN","PC","A","2021",92.2459542751312,
"CZE","SOCSUPPORT","MEN","PC","A","2017",89.1069233417511,
"CZE","SOCSUPPORT","MEN","PC","A","2018",89.1069233417511,
"CZE","SOCSUPPORT","MEN","PC","A","2020",89.1069233417511,
"CZE","SOCSUPPORT","MEN","PC","A","2021",89.1069233417511,
"DNK","SOCSUPPORT","MEN","PC","A","2017",95.2950775623322,
"DNK","SOCSUPPORT","MEN","PC","A","2018",95.2950775623322,
"DNK","SOCSUPPORT","MEN","PC","A","2019",95.2950775623322,
"DNK","SOCSUPPORT","MEN","PC","A","2020",95.2950775623322,
"DNK","SOCSUPPORT","MEN","PC","A","2021",95.2950775623322,
"FIN","SOCSUPPORT","MEN","PC","A","2017",93.5437381267548,
"FIN","SOCSUPPORT","MEN","PC","A","2018",93.5437381267548,
"FIN","SOCSUPPORT","MEN","PC","A","2019",93.5437381267548,
"FIN","SOCSUPPORT","MEN","PC","A","2020",93.5437381267548,
"FIN","SOCSUPPORT","MEN","PC","A","2021",93.5437381267548,
"FRA","SOCSUPPORT","MEN","PC","A","2017",91.0609841346741,
"FRA","SOCSUPPORT","MEN","PC","A","2018",91.0609841346741,
"FRA","SOCSUPPORT","MEN","PC","A","2019",91.0609841346741,
"FRA","SOCSUPPORT","MEN","PC","A","2020",91.0609841346741,
"FRA","SOCSUPPORT","MEN","PC","A","2021",91.0609841346741,
"DEU","SOCSUPPORT","MEN","PC","A","2017",91.38103723526,
"DEU","SOCSUPPORT","MEN","PC","A","2018",91.38103723526,
"DEU","SOCSUPPORT","MEN","PC","A","2019",91.38103723526,
"DEU","SOCSUPPORT","MEN","PC","A","2020",91.38103723526,
"DEU","SOCSUPPORT","MEN","PC","A","2021",91.38103723526,
"GRC","SOCSUPPORT","MEN","PC","A","2017",80.336582660675,
"GRC","SOCSUPPORT","MEN","PC","A","2018",80.336582660675,
"GRC","SOCSUPPORT","MEN","PC","A","2019",80.336582660675,
"GRC","SOCSUPPORT","MEN","PC","A","2020",80.336582660675,
"GRC","SOCSUPPORT","MEN","PC","A","2021",80.336582660675,
"HUN","SOCSUPPORT","MEN","PC","A","2017",88.4848833084106,
"HUN","SOCSUPPORT","MEN","PC","A","2018",88.4848833084106,
"HUN","SOCSUPPORT","MEN","PC","A","2019",88.4848833084106,
"HUN","SOCSUPPORT","MEN","PC","A","2020",88.4848833084106,
"HUN","SOCSUPPORT","MEN","PC","A","2021",88.4848833084106,
"ISL","SOCSUPPORT","MEN","PC","A","2017",97.2956776618958,
"ISL","SOCSUPPORT","MEN","PC","A","2019",97.2956776618958,
"ISL","SOCSUPPORT","MEN","PC","A","2020",97.2956776618958,
"ISL","SOCSUPPORT","MEN","PC","A","2021",97.2956776618958,
"IRL","SOCSUPPORT","MEN","PC","A","2017",94.2721307277679,
"IRL","SOCSUPPORT","MEN","PC","A","2018",94.2721307277679,
"IRL","SOCSUPPORT","MEN","PC","A","2019",94.2721307277679,
"IRL","SOCSUPPORT","MEN","PC","A","2020",94.2721307277679,
"IRL","SOCSUPPORT","MEN","PC","A","2021",94.2721307277679,
"ITA","SOCSUPPORT","MEN","PC","A","2017",89.0999376773834,
