"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP65","MEN","YR","A","2017",19.7,
"AUS","LIFEEXP65","MEN","YR","A","2018",19.9,
"AUS","LIFEEXP65","MEN","YR","A","2019",20,
"AUS","LIFEEXP65","MEN","YR","A","2020",20.3,
"AUS","LIFEEXP65","WOMEN","YR","A","2017",22.3,
"AUS","LIFEEXP65","WOMEN","YR","A","2018",22.6,
"AUS","LIFEEXP65","WOMEN","YR","A","2019",22.7,
"AUS","LIFEEXP65","WOMEN","YR","A","2020",23,
"AUT","LIFEEXP65","MEN","YR","A","2017",18.5,
"AUT","LIFEEXP65","MEN","YR","A","2018",18.5,
"AUT","LIFEEXP65","MEN","YR","A","2019",18.7,
"AUT","LIFEEXP65","MEN","YR","A","2020",17.9,
"AUT","LIFEEXP65","MEN","YR","A","2021",18,
"AUT","LIFEEXP65","WOMEN","YR","A","2017",21.5,
"AUT","LIFEEXP65","WOMEN","YR","A","2018",21.6,
"AUT","LIFEEXP65","WOMEN","YR","A","2019",21.7,
"AUT","LIFEEXP65","WOMEN","YR","A","2020",21,
"AUT","LIFEEXP65","WOMEN","YR","A","2021",21.2,
"BEL","LIFEEXP65","MEN","YR","A","2017",18.5,
"BEL","LIFEEXP65","MEN","YR","A","2018",18.6,
"BEL","LIFEEXP65","MEN","YR","A","2019",18.9,
"BEL","LIFEEXP65","MEN","YR","A","2020",17.6,
"BEL","LIFEEXP65","MEN","YR","A","2021",18.6,
"BEL","LIFEEXP65","WOMEN","YR","A","2017",21.9,
"BEL","LIFEEXP65","WOMEN","YR","A","2018",21.9,
"BEL","LIFEEXP65","WOMEN","YR","A","2019",22.1,
"BEL","LIFEEXP65","WOMEN","YR","A","2020",20.8,
"BEL","LIFEEXP65","WOMEN","YR","A","2021",22.2,
"CAN","LIFEEXP65","MEN","YR","A","2017",19.3,
"CAN","LIFEEXP65","MEN","YR","A","2018",19.4,
"CAN","LIFEEXP65","MEN","YR","A","2019",19.5,
"CAN","LIFEEXP65","MEN","YR","A","2020",19.4,
"CAN","LIFEEXP65","WOMEN","YR","A","2017",22.1,
"CAN","LIFEEXP65","WOMEN","YR","A","2018",22.1,
"CAN","LIFEEXP65","WOMEN","YR","A","2019",22.2,
"CAN","LIFEEXP65","WOMEN","YR","A","2020",22.1,
"CZE","LIFEEXP65","MEN","YR","A","2017",16.2,
"CZE","LIFEEXP65","MEN","YR","A","2018",16.2,
"CZE","LIFEEXP65","MEN","YR","A","2019",16.4,
"CZE","LIFEEXP65","MEN","YR","A","2020",15.2,
"CZE","LIFEEXP65","MEN","YR","A","2021",14.7,
"CZE","LIFEEXP65","WOMEN","YR","A","2017",19.8,
"CZE","LIFEEXP65","WOMEN","YR","A","2018",19.8,
"CZE","LIFEEXP65","WOMEN","YR","A","2019",20.1,
"CZE","LIFEEXP65","WOMEN","YR","A","2020",19.1,
"CZE","LIFEEXP65","WOMEN","YR","A","2021",18.7,
"DNK","LIFEEXP65","MEN","YR","A","2017",18.2,
"DNK","LIFEEXP65","MEN","YR","A","2018",18,
"DNK","LIFEEXP65","MEN","YR","A","2019",18.4,
"DNK","LIFEEXP65","MEN","YR","A","2020",18.4,
"DNK","LIFEEXP65","MEN","YR","A","2021",18.3,
"DNK","LIFEEXP65","WOMEN","YR","A","2017",20.8,
"DNK","LIFEEXP65","WOMEN","YR","A","2018",20.7,
"DNK","LIFEEXP65","WOMEN","YR","A","2019",21,
"DNK","LIFEEXP65","WOMEN","YR","A","2020",21.2,
"DNK","LIFEEXP65","WOMEN","YR","A","2021",20.9,
"FIN","LIFEEXP65","MEN","YR","A","2017",18.4,
"FIN","LIFEEXP65","MEN","YR","A","2018",18.6,
"FIN","LIFEEXP65","MEN","YR","A","2019",18.8,
"FIN","LIFEEXP65","MEN","YR","A","2020",18.8,
"FIN","LIFEEXP65","MEN","YR","A","2021",18.7,
"FIN","LIFEEXP65","WOMEN","YR","A","2017",22.1,
"FIN","LIFEEXP65","WOMEN","YR","A","2018",22,
"FIN","LIFEEXP65","WOMEN","YR","A","2019",22.3,
"FIN","LIFEEXP65","WOMEN","YR","A","2020",22.2,
"FIN","LIFEEXP65","WOMEN","YR","A","2021",22.2,
"FRA","LIFEEXP65","MEN","YR","A","2017",19.6,
