"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","DOCCONSULT","TOT","CAP","A","2017",7.1,
"AUS","DOCCONSULT","TOT","CAP","A","2018",7.3,
"AUS","DOCCONSULT","TOT","CAP","A","2019",7.3,
"AUS","DOCCONSULT","TOT","CAP","A","2020",6.8,
"AUS","DOCCONSULT","TOT","CAP","A","2021",6.1,
"AUT","DOCCONSULT","TOT","CAP","A","2017",6.5,
"AUT","DOCCONSULT","TOT","CAP","A","2018",6.6,
"AUT","DOCCONSULT","TOT","CAP","A","2019",6.6,
"AUT","DOCCONSULT","TOT","CAP","A","2020",5.8,
"BEL","DOCCONSULT","TOT","CAP","A","2017",7,
"BEL","DOCCONSULT","TOT","CAP","A","2018",7.2,
"BEL","DOCCONSULT","TOT","CAP","A","2019",7.3,
"BEL","DOCCONSULT","TOT","CAP","A","2020",6.2,
"CAN","DOCCONSULT","TOT","CAP","A","2017",6.6,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2018",6.5,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2019",6.6,"E"
"CZE","DOCCONSULT","TOT","CAP","A","2017",7.7,"E"
"CZE","DOCCONSULT","TOT","CAP","A","2018",7.9,"E"
"CZE","DOCCONSULT","TOT","CAP","A","2019",7.9,"E"
"CZE","DOCCONSULT","TOT","CAP","A","2020",7.3,"E"
"DNK","DOCCONSULT","TOT","CAP","A","2017",4.1,
"DNK","DOCCONSULT","TOT","CAP","A","2018",4.1,
"DNK","DOCCONSULT","TOT","CAP","A","2019",3.9,
"DNK","DOCCONSULT","TOT","CAP","A","2020",4,
"DNK","DOCCONSULT","TOT","CAP","A","2021",3.8,
"FIN","DOCCONSULT","TOT","CAP","A","2017",4.4,
"FIN","DOCCONSULT","TOT","CAP","A","2018",4.4,
"FIN","DOCCONSULT","TOT","CAP","A","2019",4.4,
"FIN","DOCCONSULT","TOT","CAP","A","2020",4.2,
"FRA","DOCCONSULT","TOT","CAP","A","2017",5.9,
"FRA","DOCCONSULT","TOT","CAP","A","2018",5.9,
"FRA","DOCCONSULT","TOT","CAP","A","2019",5.8,
"FRA","DOCCONSULT","TOT","CAP","A","2020",5,
"DEU","DOCCONSULT","TOT","CAP","A","2017",9.9,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2018",9.9,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2019",9.8,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2020",9.5,"D"
"GRC","DOCCONSULT","TOT","CAP","A","2017",3.5,"B"
"GRC","DOCCONSULT","TOT","CAP","A","2018",3.3,
"GRC","DOCCONSULT","TOT","CAP","A","2019",3.5,
"GRC","DOCCONSULT","TOT","CAP","A","2020",2.7,
"GRC","DOCCONSULT","TOT","CAP","A","2021",2.7,
"HUN","DOCCONSULT","TOT","CAP","A","2017",10.9,
"HUN","DOCCONSULT","TOT","CAP","A","2018",10.7,
"HUN","DOCCONSULT","TOT","CAP","A","2019",10.7,
"HUN","DOCCONSULT","TOT","CAP","A","2020",9.7,
"IRL","DOCCONSULT","TOT","CAP","A","2017",5.7,
"IRL","DOCCONSULT","TOT","CAP","A","2018",5,
"IRL","DOCCONSULT","TOT","CAP","A","2019",5.8,
"ITA","DOCCONSULT","TOT","CAP","A","2017",10.1,"E"
"ITA","DOCCONSULT","TOT","CAP","A","2018",10.3,"E"
"ITA","DOCCONSULT","TOT","CAP","A","2019",10.4,"E"
"ITA","DOCCONSULT","TOT","CAP","A","2020",5.2,"E"
"JPN","DOCCONSULT","TOT","CAP","A","2017",12.6,
"JPN","DOCCONSULT","TOT","CAP","A","2018",12.5,
"JPN","DOCCONSULT","TOT","CAP","A","2019",12.4,
"KOR","DOCCONSULT","TOT","CAP","A","2017",16.7,
"KOR","DOCCONSULT","TOT","CAP","A","2018",16.9,
"KOR","DOCCONSULT","TOT","CAP","A","2019",17.2,
"KOR","DOCCONSULT","TOT","CAP","A","2020",14.7,
"LUX","DOCCONSULT","TOT","CAP","A","2017",5.7,
"LUX","DOCCONSULT","TOT","CAP","A","2018",5.8,
"LUX","DOCCONSULT","TOT","CAP","A","2019",5.6,
"LUX","DOCCONSULT","TOT","CAP","A","2020",4.4,"P"
"MEX","DOCCONSULT","TOT","CAP","A","2017",2.5,
"MEX","DOCCONSULT","TOT","CAP","A","2018",2.4,
"MEX","DOCCONSULT","TOT","CAP","A","2019",2.3,"E"
"MEX","DOCCONSULT","TOT","CAP","A","2020",2.1,"E"
"NLD","DOCCONSULT","TOT","CAP","A","2017",8.3,"D"
"NLD","DOCCONSULT","TOT","CAP","A","2018",9,"D"
"NLD","DOCCONSULT","TOT","CAP","A","2019",8.8,"D"
"NLD","DOCCONSULT","TOT","CAP","A","2020",8.4,"D"
"NZL","DOCCONSULT","TOT","CAP","A","2017",3.8,
"NOR","DOCCONSULT","TOT","CAP","A","2017",4.5,
"NOR","DOCCONSULT","TOT","CAP","A","2018",4.5,
"NOR","DOCCONSULT","TOT","CAP","A","2019",4.4,
"NOR","DOCCONSULT","TOT","CAP","A","2020",3.7,
"NOR","DOCCONSULT","TOT","CAP","A","2021",3.9,"D"
"POL","DOCCONSULT","TOT","CAP","A","2017",7.6,
"POL","DOCCONSULT","TOT","CAP","A","2018",7.6,
"POL","DOCCONSULT","TOT","CAP","A","2019",7.7,
"POL","DOCCONSULT","TOT","CAP","A","2020",6.8,
"SVK","DOCCONSULT","TOT","CAP","A","2017",10.9,
"SVK","DOCCONSULT","TOT","CAP","A","2018",10.9,
"SVK","DOCCONSULT","TOT","CAP","A","2019",11.1,
"SVK","DOCCONSULT","TOT","CAP","A","2020",10.1,
"ESP","DOCCONSULT","TOT","CAP","A","2017",7.3,
"ESP","DOCCONSULT","TOT","CAP","A","2020",5.3,
"CHE","DOCCONSULT","TOT","CAP","A","2017",4.3,
"TUR","DOCCONSULT","TOT","CAP","A","2017",8.9,
"TUR","DOCCONSULT","TOT","CAP","A","2018",9.5,
"TUR","DOCCONSULT","TOT","CAP","A","2019",9.8,
"TUR","DOCCONSULT","TOT","CAP","A","2020",7.2,
"BRA","DOCCONSULT","TOT","CAP","A","2017",2.3,
"BRA","DOCCONSULT","TOT","CAP","A","2018",2,
"BRA","DOCCONSULT","TOT","CAP","A","2019",2,
"BRA","DOCCONSULT","TOT","CAP","A","2020",1.4,
"BRA","DOCCONSULT","TOT","CAP","A","2021",1.6,
"CHL","DOCCONSULT","TOT","CAP","A","2017",3.8,
"CHL","DOCCONSULT","TOT","CAP","A","2018",2.8,"B"
"CHL","DOCCONSULT","TOT","CAP","A","2019",2.9,
"CHL","DOCCONSULT","TOT","CAP","A","2020",2.2,
"EST","DOCCONSULT","TOT","CAP","A","2017",5.9,
"EST","DOCCONSULT","TOT","CAP","A","2018",5.6,
"EST","DOCCONSULT","TOT","CAP","A","2019",5.5,
"EST","DOCCONSULT","TOT","CAP","A","2020",4.1,
"ISR","DOCCONSULT","TOT","CAP","A","2017",8.4,
"ISR","DOCCONSULT","TOT","CAP","A","2018",8.2,
"ISR","DOCCONSULT","TOT","CAP","A","2019",8.1,
"ISR","DOCCONSULT","TOT","CAP","A","2020",6.7,
"ISR","DOCCONSULT","TOT","CAP","A","2021",7.1,
"RUS","DOCCONSULT","TOT","CAP","A","2017",9.7,
"RUS","DOCCONSULT","TOT","CAP","A","2018",9.8,
"RUS","DOCCONSULT","TOT","CAP","A","2019",9.9,
"SVN","DOCCONSULT","TOT","CAP","A","2017",6.6,
