"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2017",18477.2,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2018",18392.5,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2019",17392.8,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2017",24925.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2018",24701.8,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2019",24305,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2020",20179.2,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2017",16825.3,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2018",16833.3,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2019",16719.3,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2020",13903.3,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2017",8499,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2018",8409.2,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2019",8271.3,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2020",7236.3,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2017",19813.6,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2018",19589.8,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2019",19133,"B"
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2020",16135.1,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2017",16423.5,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2018",16385.6,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2020",14322.3,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2017",18594.2,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2018",18499.8,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2019",18261,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2020",16060.8,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2017",25478.4,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2018",25246.8,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2019",25305.2,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2020",21859.5,
"HUN","HOSPITALDISCHARGE","TOT","100000HAB","A","2017",19494.4,
"HUN","HOSPITALDISCHARGE","TOT","100000HAB","A","2018",19278.7,
"HUN","HOSPITALDISCHARGE","TOT","100000HAB","A","2019",19051.4,
