"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2017",4.5,
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2018",4.6,
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2019",4.7,
"AUS","HOSPITALSTAY","CHILDBIRTH","DAY","A","2017",2.6,
"AUS","HOSPITALSTAY","CHILDBIRTH","DAY","A","2018",2.6,
"AUS","HOSPITALSTAY","CHILDBIRTH","DAY","A","2019",2.5,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2017",6.4,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2018",6.3,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2019",6.3,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2020",6.4,
"AUT","HOSPITALSTAY","CHILDBIRTH","DAY","A","2017",3.6,
"AUT","HOSPITALSTAY","CHILDBIRTH","DAY","A","2018",3.6,
"AUT","HOSPITALSTAY","CHILDBIRTH","DAY","A","2019",3.6,
"AUT","HOSPITALSTAY","CHILDBIRTH","DAY","A","2020",3.4,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2017",6.6,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2018",6.6,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2019",6.5,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2020",6.7,
"BEL","HOSPITALSTAY","CHILDBIRTH","DAY","A","2017",3.1,
"BEL","HOSPITALSTAY","CHILDBIRTH","DAY","A","2018",3,
"BEL","HOSPITALSTAY","CHILDBIRTH","DAY","A","2019",3,
"BEL","HOSPITALSTAY","CHILDBIRTH","DAY","A","2020",2.7,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2017",7.4,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2018",7.5,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2019",7.7,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2020",7.7,
"CAN","HOSPITALSTAY","CHILDBIRTH","DAY","A","2017",1.5,
"CAN","HOSPITALSTAY","CHILDBIRTH","DAY","A","2018",1.5,
"CAN","HOSPITALSTAY","CHILDBIRTH","DAY","A","2019",1.5,
"CAN","HOSPITALSTAY","CHILDBIRTH","DAY","A","2020",1.5,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2017",5.8,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2018",5.8,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2019",5.7,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2020",5.9,
"CZE","HOSPITALSTAY","CHILDBIRTH","DAY","A","2017",4.1,
"CZE","HOSPITALSTAY","CHILDBIRTH","DAY","A","2018",4,
"CZE","HOSPITALSTAY","CHILDBIRTH","DAY","A","2019",3.9,
"CZE","HOSPITALSTAY","CHILDBIRTH","DAY","A","2020",3.8,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2017",6.4,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2018",6.4,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2019",6.2,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2020",6.3,
"FIN","HOSPITALSTAY","CHILDBIRTH","DAY","A","2017",2.9,
"FIN","HOSPITALSTAY","CHILDBIRTH","DAY","A","2018",2.9,
"FIN","HOSPITALSTAY","CHILDBIRTH","DAY","A","2020",2.8,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2017",5.4,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2018",5.4,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2019",5.4,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2020",5.5,
"FRA","HOSPITALSTAY","CHILDBIRTH","DAY","A","2017",3.9,
"FRA","HOSPITALSTAY","CHILDBIRTH","DAY","A","2018",3.9,
"FRA","HOSPITALSTAY","CHILDBIRTH","DAY","A","2019",3.9,
"FRA","HOSPITALSTAY","CHILDBIRTH","DAY","A","2020",3.7,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2017",7.5,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2018",7.5,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2019",7.4,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2020",7.4,
"DEU","HOSPITALSTAY","CHILDBIRTH","DAY","A","2017",3,
"DEU","HOSPITALSTAY","CHILDBIRTH","DAY","A","2018",3,
"DEU","HOSPITALSTAY","CHILDBIRTH","DAY","A","2019",3,
"DEU","HOSPITALSTAY","CHILDBIRTH","DAY","A","2020",2.8,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2017",5.5,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2018",5.4,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2019",5.4,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2020",5.3,
"HUN","HOSPITALSTAY","CHILDBIRTH","DAY","A","2017",4.9,
"HUN","HOSPITALSTAY","CHILDBIRTH","DAY","A","2018",4.9,
"HUN","HOSPITALSTAY","CHILDBIRTH","DAY","A","2019",4.8,
"HUN","HOSPITALSTAY","CHILDBIRTH","DAY","A","2020",4.2,
"ISL","HOSPITALSTAY","CHILDBIRTH","DAY","A","2017",1.7,
"ISL","HOSPITALSTAY","CHILDBIRTH","DAY","A","2019",1.6,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2017",5.9,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2018",5.9,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2019",6,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2020",5.7,"B"
"IRL","HOSPITALSTAY","CHILDBIRTH","DAY","A","2017",2.4,
"IRL","HOSPITALSTAY","CHILDBIRTH","DAY","A","2018",2.4,
"IRL","HOSPITALSTAY","CHILDBIRTH","DAY","A","2019",2.5,
"IRL","HOSPITALSTAY","CHILDBIRTH","DAY","A","2020",2.3,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2017",6.9,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2018",7,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2019",7,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2020",7.5,
"ITA","HOSPITALSTAY","CHILDBIRTH","DAY","A","2017",3.4,
"ITA","HOSPITALSTAY","CHILDBIRTH","DAY","A","2018",3.4,
"ITA","HOSPITALSTAY","CHILDBIRTH","DAY","A","2019",3.4,
"ITA","HOSPITALSTAY","CHILDBIRTH","DAY","A","2020",3.3,
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2017",16.2,
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2018",16.1,
