"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HHBROADHBAND","TOT","PC","A","2010",63.4,
"NOR","HHBROADHBAND","TOT","PC","A","2010",82.5727047509357,
"SVK","HHBROADHBAND","TOT","PC","A","2010",49.3511819681631,
"AUT","HHBROADHBAND","TOT","PC","A","2010",63.7001924161669,
"CZE","HHBROADHBAND","TOT","PC","A","2010",53.6004101763395,
"FRA","HHBROADHBAND","TOT","PC","A","2010",66.8382161249759,
"IRL","HHBROADHBAND","TOT","PC","A","2010",57.519083994349,
"KOR","HHBROADHBAND","TOT","PC","A","2010",97.4735834542694,
"FIN","HHBROADHBAND","TOT","PC","A","2010",75.8023871096081,
"DNK","HHBROADHBAND","TOT","PC","A","2010",80.1021219355592,
"ISL","HHBROADHBAND","TOT","PC","A","2010",86.9647168935777,
"DEU","HHBROADHBAND","TOT","PC","A","2010",75.2013150093057,
"USA","HHBROADHBAND","TOT","PC","A","2010",68.24,
"EST","HHBROADHBAND","TOT","PC","A","2010",64.4506465022706,
"PRT","HHBROADHBAND","TOT","PC","A","2010",50.316407996964,
"BEL","HHBROADHBAND","TOT","PC","A","2010",69.9525382002121,
"SWE","HHBROADHBAND","TOT","PC","A","2010",82.5622846442516,
"HUN","HHBROADHBAND","TOT","PC","A","2010",52.2095483506303,
"LUX","HHBROADHBAND","TOT","PC","A","2010",70.3293683006181,
"SVN","HHBROADHBAND","TOT","PC","A","2010",62.0208366594978,
"ITA","HHBROADHBAND","TOT","PC","A","2010",48.8642014527576,
"NLD","HHBROADHBAND","TOT","PC","A","2010",79.5110883522062,
"ESP","HHBROADHBAND","TOT","PC","A","2010",57.3617487708566,
"POL","HHBROADHBAND","TOT","PC","A","2010",56.8012103135227,
"TUR","HHBROADHBAND","TOT","PC","A","2010",33.6883660525523,
