"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EMPLOYEE","ALLSIZE","NBR","A","2017",618736,
"AUT","EMPLOYEE","ALLSIZE","NBR","A","2018",658764,"B"
"AUT","EMPLOYEE","ALLSIZE","NBR","A","2019",670899,
"BEL","EMPLOYEE","ALLSIZE","NBR","A","2017",463688,
"BEL","EMPLOYEE","ALLSIZE","NBR","A","2018",471171,"B"
"BEL","EMPLOYEE","ALLSIZE","NBR","A","2019",482548,
"CZE","EMPLOYEE","ALLSIZE","NBR","A","2017",1160150,
"CZE","EMPLOYEE","ALLSIZE","NBR","A","2018",1165530,
"CZE","EMPLOYEE","ALLSIZE","NBR","A","2019",1155480,
"DNK","EMPLOYEE","ALLSIZE","NBR","A","2017",304687,
"DNK","EMPLOYEE","ALLSIZE","NBR","A","2018",315619,"B"
"DNK","EMPLOYEE","ALLSIZE","NBR","A","2019",310915,
"FIN","EMPLOYEE","ALLSIZE","NBR","A","2017",321732,"B"
"FIN","EMPLOYEE","ALLSIZE","NBR","A","2018",327867,
"FIN","EMPLOYEE","ALLSIZE","NBR","A","2019",333987,
"FRA","EMPLOYEE","ALLSIZE","NBR","A","2017",3020800,"B"
"FRA","EMPLOYEE","ALLSIZE","NBR","A","2018",3033840,
"FRA","EMPLOYEE","ALLSIZE","NBR","A","2019",3044900,
"DEU","EMPLOYEE","ALLSIZE","NBR","A","2017",7261020,
"DEU","EMPLOYEE","ALLSIZE","NBR","A","2018",7934270,"B"
"DEU","EMPLOYEE","ALLSIZE","NBR","A","2019",8047480,
"GRC","EMPLOYEE","ALLSIZE","NBR","A","2017",261362,
"GRC","EMPLOYEE","ALLSIZE","NBR","A","2018",304046,"B"
"GRC","EMPLOYEE","ALLSIZE","NBR","A","2019",297411,
"HUN","EMPLOYEE","ALLSIZE","NBR","A","2017",730824,
"HUN","EMPLOYEE","ALLSIZE","NBR","A","2018",763590,"B"
"HUN","EMPLOYEE","ALLSIZE","NBR","A","2019",752100,
"ISL","EMPLOYEE","ALLSIZE","NBR","A","2017",22336,
"ISL","EMPLOYEE","ALLSIZE","NBR","A","2018",22575,
"ISL","EMPLOYEE","ALLSIZE","NBR","A","2019",22165,
"IRL","EMPLOYEE","ALLSIZE","NBR","A","2017",212027,
"IRL","EMPLOYEE","ALLSIZE","NBR","A","2018",219899,
"IRL","EMPLOYEE","ALLSIZE","NBR","A","2019",231540,
"ITA","EMPLOYEE","ALLSIZE","NBR","A","2017",3263710,"B"
"ITA","EMPLOYEE","ALLSIZE","NBR","A","2018",3309080,
"ITA","EMPLOYEE","ALLSIZE","NBR","A","2019",3350360,
"JPN","EMPLOYEE","ALLSIZE","NBR","A","2017",6751150,
"JPN","EMPLOYEE","ALLSIZE","NBR","A","2019",6868810,
"JPN","EMPLOYEE","ALLSIZE","NBR","A","2020",6828890,
"KOR","EMPLOYEE","ALLSIZE","NBR","A","2017",2844350,
"KOR","EMPLOYEE","ALLSIZE","NBR","A","2018",2845160,
"LUX","EMPLOYEE","ALLSIZE","NBR","A","2017",33944,
"LUX","EMPLOYEE","ALLSIZE","NBR","A","2018",34409,
"LUX","EMPLOYEE","ALLSIZE","NBR","A","2019",34589,
"NLD","EMPLOYEE","ALLSIZE","NBR","A","2017",654940,
"NLD","EMPLOYEE","ALLSIZE","NBR","A","2018",670733,
"NLD","EMPLOYEE","ALLSIZE","NBR","A","2019",690408,
"NOR","EMPLOYEE","ALLSIZE","NBR","A","2017",217542,
"NOR","EMPLOYEE","ALLSIZE","NBR","A","2018",219166,"B"
"NOR","EMPLOYEE","ALLSIZE","NBR","A","2019",220767,
"POL","EMPLOYEE","ALLSIZE","NBR","A","2017",2438200,
"POL","EMPLOYEE","ALLSIZE","NBR","A","2018",2664670,"B"
"POL","EMPLOYEE","ALLSIZE","NBR","A","2019",2692650,
"PRT","EMPLOYEE","ALLSIZE","NBR","A","2017",678765,
"PRT","EMPLOYEE","ALLSIZE","NBR","A","2018",701399,
"PRT","EMPLOYEE","ALLSIZE","NBR","A","2019",711695,
"SVK","EMPLOYEE","ALLSIZE","NBR","A","2017",441378,
"SVK","EMPLOYEE","ALLSIZE","NBR","A","2018",452040,
"SVK","EMPLOYEE","ALLSIZE","NBR","A","2019",446419,
"ESP","EMPLOYEE","ALLSIZE","NBR","A","2017",1811230,
"ESP","EMPLOYEE","ALLSIZE","NBR","A","2018",1911630,"B"
"ESP","EMPLOYEE","ALLSIZE","NBR","A","2019",1959490,
"SWE","EMPLOYEE","ALLSIZE","NBR","A","2017",545865,
"SWE","EMPLOYEE","ALLSIZE","NBR","A","2018",574284,"B"
"SWE","EMPLOYEE","ALLSIZE","NBR","A","2019",576422,
"TUR","EMPLOYEE","ALLSIZE","NBR","A","2017",3723680,
"TUR","EMPLOYEE","ALLSIZE","NBR","A","2018",3820080,
"TUR","EMPLOYEE","ALLSIZE","NBR","A","2019",3786140,
"TUR","EMPLOYEE","ALLSIZE","NBR","A","2020",4010150,
"GBR","EMPLOYEE","ALLSIZE","NBR","A","2017",2526040,
"GBR","EMPLOYEE","ALLSIZE","NBR","A","2018",2549100,
"BRA","EMPLOYEE","ALLSIZE","NBR","A","2017",7001800,
"BRA","EMPLOYEE","ALLSIZE","NBR","A","2018",7025840,
"BRA","EMPLOYEE","ALLSIZE","NBR","A","2019",6976170,
"BGR","EMPLOYEE","ALLSIZE","NBR","A","2017",533151,
"BGR","EMPLOYEE","ALLSIZE","NBR","A","2018",532581,"B"
"BGR","EMPLOYEE","ALLSIZE","NBR","A","2019",517657,
"COL","EMPLOYEE","ALLSIZE","NBR","A","2017",587343,
"HRV","EMPLOYEE","ALLSIZE","NBR","A","2017",259020,
"HRV","EMPLOYEE","ALLSIZE","NBR","A","2018",258686,
"HRV","EMPLOYEE","ALLSIZE","NBR","A","2019",266510,"B"
"CYP","EMPLOYEE","ALLSIZE","NBR","A","2017",30141,
"CYP","EMPLOYEE","ALLSIZE","NBR","A","2018",32436,
"CYP","EMPLOYEE","ALLSIZE","NBR","A","2019",33877,
"EST","EMPLOYEE","ALLSIZE","NBR","A","2017",107942,
"EST","EMPLOYEE","ALLSIZE","NBR","A","2018",107884,"B"
"EST","EMPLOYEE","ALLSIZE","NBR","A","2019",108691,
"ISR","EMPLOYEE","ALLSIZE","NBR","A","2017",367029,
"ISR","EMPLOYEE","ALLSIZE","NBR","A","2018",364927,
"LVA","EMPLOYEE","ALLSIZE","NBR","A","2017",114801,
"LVA","EMPLOYEE","ALLSIZE","NBR","A","2018",115102,
"LVA","EMPLOYEE","ALLSIZE","NBR","A","2019",114510,
"LTU","EMPLOYEE","ALLSIZE","NBR","A","2017",207811,
"LTU","EMPLOYEE","ALLSIZE","NBR","A","2018",210049,"B"
"LTU","EMPLOYEE","ALLSIZE","NBR","A","2019",212059,
"MKD","EMPLOYEE","ALLSIZE","NBR","A","2017",116859,
"MKD","EMPLOYEE","ALLSIZE","NBR","A","2018",119553,
"MKD","EMPLOYEE","ALLSIZE","NBR","A","2019",121517,
"MLT","EMPLOYEE","ALLSIZE","NBR","A","2017",13570,
"MLT","EMPLOYEE","ALLSIZE","NBR","A","2018",21763,
"MLT","EMPLOYEE","ALLSIZE","NBR","A","2019",21896,
"ROU","EMPLOYEE","ALLSIZE","NBR","A","2017",1207040,
"ROU","EMPLOYEE","ALLSIZE","NBR","A","2018",1227210,"B"
"ROU","EMPLOYEE","ALLSIZE","NBR","A","2019",1190740,
"SVN","EMPLOYEE","ALLSIZE","NBR","A","2017",193096,
"SVN","EMPLOYEE","ALLSIZE","NBR","A","2018",201722,
"SVN","EMPLOYEE","ALLSIZE","NBR","A","2019",208096,
"RUS","EMPLOYEE","ALLSIZE","NBR","A","2017",5137210,
"RUS","EMPLOYEE","ALLSIZE","NBR","A","2018",5220410,
"RUS","EMPLOYEE","ALLSIZE","NBR","A","2019",5175280,
"SRB","EMPLOYEE","ALLSIZE","NBR","A","2017",346219,
"SRB","EMPLOYEE","ALLSIZE","NBR","A","2018",367486,
"SRB","EMPLOYEE","ALLSIZE","NBR","A","2019",390437,
"CRI","EMPLOYEE","ALLSIZE","NBR","A","2017",145086,
