"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",12.684898376,
"AUS","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",8.14868927,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",6.6059942245,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2018",6.3392500877,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2019",6.3619513512,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2020",6.3483529091,
"AUT","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",5.3068246841,
"AUT","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2018",5.4033718109,
"AUT","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2019",5.6068735123,
"AUT","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2020",5.4881105423,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",10.954450607,"B"
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2018",10.712567329,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2019",11.26331234,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2020",11.620417595,
"BEL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",6.8152947426,"B"
"BEL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2018",6.932220459,
"BEL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2019",7.212223053,
"BEL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2020",7.3251843452,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",11.909818649,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2018",11.710946083,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2019",11.994303703,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2020",12.262387276,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2021",11.417770386,
"CAN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",9.0330839157,
"CAN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2018",9.1565523148,
"CAN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2019",9.1322565079,
"CAN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2020",9.7930955887,
"CAN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2021",8.639497757,
"CZE","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",15.522882462,
"CZE","SELFEMPWNOEMP","MEN","PC_EMP","A","2018",15.714435577,
"CZE","SELFEMPWNOEMP","MEN","PC_EMP","A","2019",15.672919273,
"CZE","SELFEMPWNOEMP","MEN","PC_EMP","A","2020",15.647431374,
"CZE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",10.075522423,
"CZE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2018",9.5702781677,
"CZE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2019",9.4182939529,
"CZE","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2020",9.8579006195,
"DNK","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",5.4254789352,"B"
"DNK","SELFEMPWNOEMP","MEN","PC_EMP","A","2018",5.1660509109,
"DNK","SELFEMPWNOEMP","MEN","PC_EMP","A","2019",5.148419857,
"DNK","SELFEMPWNOEMP","MEN","PC_EMP","A","2020",5.0955414772,
"DNK","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",3.0831513405,"B"
"DNK","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2018",2.8163609505,
"DNK","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2019",3.0293850899,
"DNK","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2020",3.3858146667,
"FIN","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",9.4103393555,
"FIN","SELFEMPWNOEMP","MEN","PC_EMP","A","2018",9.7708845139,
"FIN","SELFEMPWNOEMP","MEN","PC_EMP","A","2019",9.6736326218,
"FIN","SELFEMPWNOEMP","MEN","PC_EMP","A","2020",9.8487854004,
"FIN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",6.2081408501,
"FIN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2018",6.420021534,
"FIN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2019",6.6319351196,
"FIN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2020",6.4263458252,
"FRA","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",7.9793844223,
"FRA","SELFEMPWNOEMP","MEN","PC_EMP","A","2018",8.0615377426,
"FRA","SELFEMPWNOEMP","MEN","PC_EMP","A","2019",8.5087623596,
"FRA","SELFEMPWNOEMP","MEN","PC_EMP","A","2020",8.717625618,
"FRA","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",5.4801177979,
"FRA","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2018",5.5290527344,
"FRA","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2019",5.8450908661,
"FRA","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2020",6.365963459,
"DEU","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",5.5521016121,
"DEU","SELFEMPWNOEMP","MEN","PC_EMP","A","2018",5.3314080238,
"DEU","SELFEMPWNOEMP","MEN","PC_EMP","A","2019",5.0852274895,
"DEU","SELFEMPWNOEMP","MEN","PC_EMP","A","2020",4.5645136833,"B"
"DEU","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",4.3250179291,
"DEU","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2018",4.1817541122,
"DEU","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2019",3.9530189037,
"DEU","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2020",3.6520648003,"B"
"GRC","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",25.506340027,
"GRC","SELFEMPWNOEMP","MEN","PC_EMP","A","2018",24.536315918,
"GRC","SELFEMPWNOEMP","MEN","PC_EMP","A","2019",23.846607208,
"GRC","SELFEMPWNOEMP","MEN","PC_EMP","A","2020",23.521549225,
"GRC","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",17.762817383,
"GRC","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2018",17.483995438,
"GRC","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2019",16.362398148,
"GRC","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2020",16.197927475,
"HUN","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",5.5111522675,
"HUN","SELFEMPWNOEMP","MEN","PC_EMP","A","2018",6.1662864685,
"HUN","SELFEMPWNOEMP","MEN","PC_EMP","A","2019",6.6598234177,
"HUN","SELFEMPWNOEMP","MEN","PC_EMP","A","2020",7.8512573242,
"HUN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",4.7234964371,
"HUN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2018",4.8771948814,
"HUN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2019",4.7788052559,
"HUN","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2020",5.7065634727,
"ISL","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",8.6687297821,
"ISL","SELFEMPWNOEMP","MEN","PC_EMP","A","2018",8.7087087631,
"ISL","SELFEMPWNOEMP","MEN","PC_EMP","A","2019",8.8845014572,
"ISL","SELFEMPWNOEMP","MEN","PC_EMP","A","2020",9.1463413239,"B"
"ISL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",5.3240737915,
"ISL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2018",5.5872292519,
"ISL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2019",5.8165545464,
"ISL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2020",5.2204179764,"B"
"IRL","SELFEMPWNOEMP","MEN","PC_EMP","A","2017",12.963939667,"B"
"IRL","SELFEMPWNOEMP","MEN","PC_EMP","A","2018",12.432526588,
"IRL","SELFEMPWNOEMP","MEN","PC_EMP","A","2019",11.895009041,
"IRL","SELFEMPWNOEMP","MEN","PC_EMP","A","2020",11.62810421,
"IRL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2017",4.6448087692,"B"
"IRL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2018",4.6895051003,
"IRL","SELFEMPWNOEMP","WOMEN","PC_EMP","A","2019",4.6728076935,
