"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.1948571205,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",3.9564938545,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",3.946659565,
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",3.8531980515,"N"
"AUT","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",2.7096796036,"N"
"AUT","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",2.7124147415,"N"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",8.463218689,"B"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",8.6586809158,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",9.3335571289,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",9.7671098709,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",6.6981921196,"B"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",6.8861236572,"N"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",7.3840479851,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2020",7.5349955559,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",7.0848708153,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.5164527893,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",11.101831436,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",11.827638626,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",12.506095886,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",12.915836334,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",6.4841032028,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",6.2745113373,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",6.6055030823,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2020",6.414536953,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.0777130127,"B"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",4.4211368561,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",4.5063862801,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",4.4901008606,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",6.3798995018,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",6.137283802,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",6.7362642288,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",7.0690531731,
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.1793794632,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",4.2529807091,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",4.6273708344,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2020",4.8960199356,"N"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",5.8628048897,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",5.8813500404,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",6.5154218674,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",6.7720117569,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.4658479691,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",4.5780444145,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",4.63904953,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2020",4.5576405525,
"DEU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",3.4895853996,
"DEU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",3.4164214134,
"DEU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",3.348336935,
"DEU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",3.3759791851,"B"
"DEU","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",2.2402825356,
"DEU","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",2.1532440186,
"DEU","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",2.0797152519,
"GRC","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",17.218647003,
"GRC","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",16.947505951,
"GRC","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",16.425100327,
"GRC","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",16.385223389,
"GRC","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",7.7658252716,
"GRC","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",7.6882238388,"N"
"GRC","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",7.993432045,"N"
"GRC","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2020",8.3093175888,"N"
"HUN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.2845988274,
"HUN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",4.5261974335,
"HUN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",5.3024601936,
"HUN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",5.738940239,
"HUN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.2148337364,"N"
"HUN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2020",4.7417430878,"N"
"ISL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",5.8823533058,
"IRL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.2537541389,"N"
"IRL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",3.9806313515,"N"
"ITA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",13.996656418,
