"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ICTGOODSEXP","TOT","MLN_USD","A","2012",2241,
"AUT","ICTGOODSEXP","TOT","MLN_USD","A","2012",6112,
"BEL","ICTGOODSEXP","TOT","MLN_USD","A","2012",9108,
"CAN","ICTGOODSEXP","TOT","MLN_USD","A","2012",10249,
"CZE","ICTGOODSEXP","TOT","MLN_USD","A","2012",22361,
"DNK","ICTGOODSEXP","TOT","MLN_USD","A","2012",3680,
"FIN","ICTGOODSEXP","TOT","MLN_USD","A","2012",2899,
"FRA","ICTGOODSEXP","TOT","MLN_USD","A","2012",22606,
"DEU","ICTGOODSEXP","TOT","MLN_USD","A","2012",61850,
"GRC","ICTGOODSEXP","TOT","MLN_USD","A","2012",592,
"HUN","ICTGOODSEXP","TOT","MLN_USD","A","2012",17872,
"ISL","ICTGOODSEXP","TOT","MLN_USD","A","2012",8,
"IRL","ICTGOODSEXP","TOT","MLN_USD","A","2012",6762,
"ITA","ICTGOODSEXP","TOT","MLN_USD","A","2012",9339,
"JPN","ICTGOODSEXP","TOT","MLN_USD","A","2012",72781,
"KOR","ICTGOODSEXP","TOT","MLN_USD","A","2012",93260,
"LUX","ICTGOODSEXP","TOT","MLN_USD","A","2012",374,
"MEX","ICTGOODSEXP","TOT","MLN_USD","A","2012",62414,
"NLD","ICTGOODSEXP","TOT","MLN_USD","A","2012",55840,
"NZL","ICTGOODSEXP","TOT","MLN_USD","A","2012",419,
"NOR","ICTGOODSEXP","TOT","MLN_USD","A","2012",1278,
"POL","ICTGOODSEXP","TOT","MLN_USD","A","2012",12609,
"PRT","ICTGOODSEXP","TOT","MLN_USD","A","2012",1972,
"SVK","ICTGOODSEXP","TOT","MLN_USD","A","2012",13281,
"ESP","ICTGOODSEXP","TOT","MLN_USD","A","2012",3609,
"SWE","ICTGOODSEXP","TOT","MLN_USD","A","2012",12438,
"CHE","ICTGOODSEXP","TOT","MLN_USD","A","2012",3247,
"TUR","ICTGOODSEXP","TOT","MLN_USD","A","2012",2645,
"GBR","ICTGOODSEXP","TOT","MLN_USD","A","2012",20080,
"USA","ICTGOODSEXP","TOT","MLN_USD","A","2012",138651,
"BRA","ICTGOODSEXP","TOT","MLN_USD","A","2012",1325,
"CHL","ICTGOODSEXP","TOT","MLN_USD","A","2012",265,
"CHN","ICTGOODSEXP","TOT","MLN_USD","A","2012",549954,
"EST","ICTGOODSEXP","TOT","MLN_USD","A","2012",1977,
"IND","ICTGOODSEXP","TOT","MLN_USD","A","2012",5719,
"IDN","ICTGOODSEXP","TOT","MLN_USD","A","2012",7713,
"ISR","ICTGOODSEXP","TOT","MLN_USD","A","2012",7387,
"RUS","ICTGOODSEXP","TOT","MLN_USD","A","2012",1634,
"SVN","ICTGOODSEXP","TOT","MLN_USD","A","2012",484,
"ZAF","ICTGOODSEXP","TOT","MLN_USD","A","2012",904,
"OECD","ICTGOODSEXP","TOT","MLN_USD","A","2012",680690,
