LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,ICTINVST,TOT,PC,A,2008,13.785639,
AUT,ICTINVST,TOT,PC,A,2007,12.287206,
CAN,ICTINVST,TOT,PC,A,2010,17.018367,
DNK,ICTINVST,TOT,PC,A,2007,24.573655,
FIN,ICTINVST,TOT,PC,A,2010,15.519828,
FRA,ICTINVST,TOT,PC,A,2009,16.339623,
DEU,ICTINVST,TOT,PC,A,2010,12.690394,
IRL,ICTINVST,TOT,PC,A,2010,12.412805,
ITA,ICTINVST,TOT,PC,A,2010,11.026056,
JPN,ICTINVST,TOT,PC,A,2008,13.532096,
KOR,ICTINVST,TOT,PC,A,2010,10.716026,
NLD,ICTINVST,TOT,PC,A,2007,19.548252,
NZL,ICTINVST,TOT,PC,A,2010,21.238183,
ESP,ICTINVST,TOT,PC,A,2010,13.763415,
SWE,ICTINVST,TOT,PC,A,2009,24.746259,
CHE,ICTINVST,TOT,PC,A,2010,18.506691,
GBR,ICTINVST,TOT,PC,A,2007,23.765698,
USA,ICTINVST,TOT,PC,A,2010,32.137836,
