"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HOMECOMP","TOT","PC_HH","A","2017",93.1369,
"DEU","HOMECOMP","TOT","PC_HH","A","2017",92.8656,
"ISL","HOMECOMP","TOT","PC_HH","A","2017",97.2972,
"JPN","HOMECOMP","TOT","PC_HH","A","2017",72.5,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2018",74,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2019",69.1,"D"
"JPN","HOMECOMP","TOT","PC_HH","A","2020",70.1,"D"
"CZE","HOMECOMP","TOT","PC_HH","A","2017",82.1815,
"FRA","HOMECOMP","TOT","PC_HH","A","2017",84.125,
"HUN","HOMECOMP","TOT","PC_HH","A","2017",79.6748,
"SVN","HOMECOMP","TOT","PC_HH","A","2017",79.503,
"AUT","HOMECOMP","TOT","PC_HH","A","2017",85.3733,
"POL","HOMECOMP","TOT","PC_HH","A","2017",81.7769,
"ESP","HOMECOMP","TOT","PC_HH","A","2017",78.385,
"TUR","HOMECOMP","TOT","PC_HH","A","2017",49.9999,
"CHL","HOMECOMP","TOT","PC_HH","A","2017",60.15454498,
"GRC","HOMECOMP","TOT","PC_HH","A","2017",70.5005,
"IRL","HOMECOMP","TOT","PC_HH","A","2017",83.7578,
"KOR","HOMECOMP","TOT","PC_HH","A","2017",74.70783801,
"KOR","HOMECOMP","TOT","PC_HH","A","2018",72.42437955,
"KOR","HOMECOMP","TOT","PC_HH","A","2019",71.74420913,
"KOR","HOMECOMP","TOT","PC_HH","A","2020",71.63291783,
"KOR","HOMECOMP","TOT","PC_HH","A","2021",73.55767319,
"NLD","HOMECOMP","TOT","PC_HH","A","2017",97.6108,
"CAN","HOMECOMP","TOT","PC_HH","A","2017",84.1,
"CAN","HOMECOMP","TOT","PC_HH","A","2019",83.2,
"FIN","HOMECOMP","TOT","PC_HH","A","2017",93.4973,
"MEX","HOMECOMP","TOT","PC_HH","A","2017",45.27047583,"B"
"MEX","HOMECOMP","TOT","PC_HH","A","2018",44.65522167,
"MEX","HOMECOMP","TOT","PC_HH","A","2019",43.93961632,
"MEX","HOMECOMP","TOT","PC_HH","A","2020",43.75985664,
"MEX","HOMECOMP","TOT","PC_HH","A","2021",44.81552356,
"NOR","HOMECOMP","TOT","PC_HH","A","2017",94.9057,
"SVK","HOMECOMP","TOT","PC_HH","A","2017",81.7991,
"BRA","HOMECOMP","TOT","PC_HH","A","2017",46.3,
"BRA","HOMECOMP","TOT","PC_HH","A","2018",41.75858235,
"BRA","HOMECOMP","TOT","PC_HH","A","2019",39.4,
"BRA","HOMECOMP","TOT","PC_HH","A","2020",45.38,"D"
"BRA","HOMECOMP","TOT","PC_HH","A","2021",39.24,
"ISR","HOMECOMP","TOT","PC_HH","A","2017",78.02,
"ISR","HOMECOMP","TOT","PC_HH","A","2018",76.85,"D"
"ISR","HOMECOMP","TOT","PC_HH","A","2019",79.5,"D"
"ITA","HOMECOMP","TOT","PC_HH","A","2017",72.502,
"LUX","HOMECOMP","TOT","PC_HH","A","2017",95.4483,
"PRT","HOMECOMP","TOT","PC_HH","A","2017",71.4912,
"EST","HOMECOMP","TOT","PC_HH","A","2017",86.909,
"BEL","HOMECOMP","TOT","PC_HH","A","2017",85.1191,
"SWE","HOMECOMP","TOT","PC_HH","A","2017",92.8164,
"GBR","HOMECOMP","TOT","PC_HH","A","2017",91.6684,
"LVA","HOMECOMP","TOT","PC_HH","A","2017",77.3898,
"LTU","HOMECOMP","TOT","PC_HH","A","2017",73.0092,
"COL","HOMECOMP","TOT","PC_HH","A","2018",41.60826519,
"COL","HOMECOMP","TOT","PC_HH","A","2019",37.1666571,
"COL","HOMECOMP","TOT","PC_HH","A","2021",37.8785221,"D"
"CRI","HOMECOMP","TOT","PC_HH","A","2017",51.02967609,
"CRI","HOMECOMP","TOT","PC_HH","A","2018",50.42008949,"B"
"CRI","HOMECOMP","TOT","PC_HH","A","2019",49.93197779,
"CRI","HOMECOMP","TOT","PC_HH","A","2020",50.51957372,
"CRI","HOMECOMP","TOT","PC_HH","A","2021",52.82680577,
"BGR","HOMECOMP","TOT","PC_HH","A","2017",62.9594,
"HRV","HOMECOMP","TOT","PC_HH","A","2017",74.0697,
"ROU","HOMECOMP","TOT","PC_HH","A","2017",72.9994,
