"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",2703,
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2019",2968,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",1811,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2018",2069,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2019",2134,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",4308,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2018",4320,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2019",4354,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2020",4484,
"DNK","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",1358,
"DNK","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2018",1389,
"DNK","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2019",1390,
"FIN","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",2068,
"FIN","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2018",1991,
"FIN","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2019",1967,
"FIN","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2020",2042,
"FRA","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",11286,
"DEU","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",23233,
"DEU","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2018",24719,
"DEU","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2019",25822,
"DEU","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2020",27154,
"GRC","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",6657,
"GRC","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2019",7338,
"GRC","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2020",7663,
"HUN","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",2640,
"HUN","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2018",2745,
"HUN","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2019",3379,
"HUN","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2020",3192,
"ISL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",115,
"IRL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",299,
"IRL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2019",342,
