"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2017",40.966959684753,
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2019",42.177064089811,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2017",36.5710823909532,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2018",35.7834659287444,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2019",35.4897721603193,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2017",40.7607152994607,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2018",39.9740908670306,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2019",40.2440151585174,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2020",40.4693140794224,
"DNK","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2017",51.8122853872568,
"DNK","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2018",50.5642519111758,
"DNK","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2019",50.234911456451,
"FIN","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2017",43.3089005235602,
"FIN","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2018",42.9557713052859,
"FIN","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2019",42.4929790451502,
"FIN","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2020",43.6978386475498,
"FRA","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2017",37.0348493797992,
"DEU","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2017",36.3800068898563,
"DEU","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2018",36.9061482874974,
"DEU","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2019",37.233244895605,
"DEU","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2020",37.8542651220498,
"GRC","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2017",41.6400825670858,
"GRC","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2019",41.2154572006291,
