"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",38.0640038664688,
"NOR","RESEARCHER","WOMEN","PC_RESEARCHER","A","2018",38.7596639219172,
"NOR","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",38.5909142514232,
"NOR","RESEARCHER","WOMEN","PC_RESEARCHER","A","2020",38.6621872177234,
"MEX","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",33.4502496163108,
"MEX","RESEARCHER","WOMEN","PC_RESEARCHER","A","2018",33.2099133922061,
"MEX","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",32.8073618870208,
"MEX","RESEARCHER","WOMEN","PC_RESEARCHER","A","2020",32.3248031067033,
"JPN","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",16.1751117414475,
"JPN","RESEARCHER","WOMEN","PC_RESEARCHER","A","2018",16.5620344185589,
"JPN","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",16.8680082362181,
"JPN","RESEARCHER","WOMEN","PC_RESEARCHER","A","2020",17.4739368263555,
"TWN","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",22.5530807611522,
"TWN","RESEARCHER","WOMEN","PC_RESEARCHER","A","2018",22.6145351549592,
"TWN","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",22.6542640572125,
"TWN","RESEARCHER","WOMEN","PC_RESEARCHER","A","2020",22.881596572204,
"ISL","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",46.3917525773196,
"TUR","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",37.0339091612144,
"TUR","RESEARCHER","WOMEN","PC_RESEARCHER","A","2018",36.8217189062296,
"TUR","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",36.988509802152,
"TUR","RESEARCHER","WOMEN","PC_RESEARCHER","A","2020",36.7084092583259,
"CHL","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",34.4340883704239,
"CHL","RESEARCHER","WOMEN","PC_RESEARCHER","A","2018",32.432735287391,
"CHL","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",34.8004296076635,
"CHL","RESEARCHER","WOMEN","PC_RESEARCHER","A","2020",34.8797837625896,
"AUT","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",30.0592960979342,
"AUT","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",30.3920411251462,
"CZE","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",26.7688210082377,
"CZE","RESEARCHER","WOMEN","PC_RESEARCHER","A","2018",26.5645676661395,
"CZE","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",27.1832312764955,
"CZE","RESEARCHER","WOMEN","PC_RESEARCHER","A","2020",27.5980550059056,
"FIN","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",33.1517021001496,
"FIN","RESEARCHER","WOMEN","PC_RESEARCHER","A","2018",33.7038707931066,
"FIN","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",33.7444888576281,
"FIN","RESEARCHER","WOMEN","PC_RESEARCHER","A","2020",33.4007700841872,
"GRC","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",37.8164762399377,
"GRC","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",39.0392921099758,
"GRC","RESEARCHER","WOMEN","PC_RESEARCHER","A","2020",38.8016723426641,
"SGP","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",30.7437322003828,
"SGP","RESEARCHER","WOMEN","PC_RESEARCHER","A","2018",30.7646149230308,
"SGP","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",30.7512195121951,
"IRL","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",36.3036778894617,
"IRL","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",38.1482582493311,
"DNK","RESEARCHER","WOMEN","PC_RESEARCHER","A","2017",35.7360406091371,
"DNK","RESEARCHER","WOMEN","PC_RESEARCHER","A","2019",35.3174280934825,
