"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2017",5,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2018",5,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",6,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",7,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",4,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2017",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2018",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",6,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2017",12,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2018",13,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2019",14,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2020",16,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2021",4,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2017",10,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2018",11,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2019",12,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2020",14,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2021",2,
"AUT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2017",21,
"AUT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2018",21,
"AUT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",19,
"AUT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",19,
"AUT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",19,
"AUT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",20,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2017",14,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2018",14,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",14,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",14,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",14,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",14,
"AUT","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2017",26,
"AUT","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2018",26,
"AUT","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2019",24,
"AUT","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2020",24,
"AUT","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2021",24,
"AUT","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2022",25,
"AUT","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2017",22,
"AUT","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2018",22,
"AUT","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2019",22,
"AUT","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2020",22,
"AUT","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2021",22,
"AUT","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2022",23,
"BEL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2017",15,
"BEL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2018",15,
"BEL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",15,
"BEL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",14,
"BEL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",14,
"BEL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",15,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2017",11,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2018",11,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",11,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",11,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",11,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",11,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2017",19,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2018",20,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2019",20,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2020",18,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2021",18,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2022",19,
"BEL","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2017",15,
"BEL","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2018",15,
"BEL","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2019",16,
"BEL","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2020",15,
"BEL","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2021",15,
"BEL","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2022",16,
"CAN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2017",10,
"CAN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2018",12,
"CAN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",11,
"CAN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",14,
"CAN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",15,
"CAN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2017",15,
"CAN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2018",16,
"CAN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",15,
"CAN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",16,
"CAN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",16,
"CAN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2017",18,
"CAN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2018",20,
"CAN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2019",20,
"CAN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2020",22,
"CAN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2021",23,
"CAN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2017",21,
"CAN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2018",21,
"CAN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2019",20,
"CAN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2020",21,
"CAN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2021",22,
"CZE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2017",29,
"CZE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2018",29,
"CZE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",29,
"CZE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",30,
"CZE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",27,
"CZE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",26,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2017",18,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2018",18,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",18,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",18,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",17,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",18,
"CZE","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2017",28,
"CZE","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2018",28,
"CZE","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2019",29,
"CZE","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2020",30,
"CZE","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2021",28,
"CZE","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2022",30,
"CZE","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2017",24,
"CZE","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2018",24,
"CZE","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2019",24,
"CZE","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2020",24,
"CZE","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2021",24,
"CZE","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2022",26,
"DNK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2017",4,
"DNK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2018",8,
"DNK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",10,
"DNK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",8,
"DNK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",9,
"DNK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",17,
"DNK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2017",17,
"DNK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2018",17,
"DNK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",17,
"DNK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",17,
"DNK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",16,
"DNK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",17,
"DNK","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2017",0,
"DNK","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2018",0,
"DNK","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2019",0,
"DNK","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2020",0,
"DNK","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2021",0,
"DNK","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2022",0,
"DNK","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2017",0,
"DNK","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2018",0,
"DNK","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2019",0,
"DNK","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2020",0,
"DNK","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2021",0,
"DNK","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2022",0,
"FIN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2017",16,
"FIN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2018",16,
"FIN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",16,
"FIN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",15,
"FIN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",15,
"FIN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",16,
"FIN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2017",13,
"FIN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2018",13,
"FIN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",13,
"FIN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",12,
"FIN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",12,
"FIN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",13,
"FIN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2017",28,
"FIN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2018",28,
"FIN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2019",28,
"FIN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2020",27,
"FIN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2021",27,
"FIN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2022",28,
"FIN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2017",21,
"FIN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2018",20,
"FIN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2019",20,
"FIN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2020",20,
"FIN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2021",19,
"FIN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2022",20,
"FRA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2017",14,
"FRA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2018",15,
"FRA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",14,
"FRA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",15,
"FRA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",15,
"FRA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",16,
"FRA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2017",10,
"FRA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2018",10,
"FRA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",10,
"FRA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",11,
"FRA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",11,
"FRA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",11,
"FRA","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2017",18,
"FRA","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2018",18,
"FRA","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2019",17,
"FRA","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2020",18,
"FRA","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2021",17,
"FRA","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2022",18,
"FRA","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2017",13,
"FRA","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2018",13,
"FRA","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2019",13,
"FRA","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2020",13,
"FRA","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2021",13,
"FRA","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2022",14,
"DEU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2017",11,
"DEU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2018",12,
"DEU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",12,
"DEU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",9,
"DEU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",9,
"DEU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",10,
"DEU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2017",12,
"DEU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2018",12,
"DEU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",13,
"DEU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",13,
"DEU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",13,
"DEU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",14,
"DEU","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2017",15,
"DEU","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2018",15,
"DEU","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2019",16,
"DEU","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2020",16,
"DEU","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2021",15,
"DEU","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2022",16,
"DEU","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2017",17,
"DEU","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_AVEWAGE","A","2018",17,
