"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","2017",54446.1871655676,
"AUS","AVWAGE","TOT","USD","A","2018",54585.7361515336,
"AUS","AVWAGE","TOT","USD","A","2019",55170.1593572686,
"AUS","AVWAGE","TOT","USD","A","2020",56454.6426875463,
"AUS","AVWAGE","TOT","USD","A","2021",56599.9299857557,
"AUT","AVWAGE","TOT","USD","A","2017",56553.1036411922,
"AUT","AVWAGE","TOT","USD","A","2018",56738.9624275253,
"AUT","AVWAGE","TOT","USD","A","2019",57182.0543713264,
"AUT","AVWAGE","TOT","USD","A","2020",57271.6172207632,
"AUT","AVWAGE","TOT","USD","A","2021",58189.1346866111,
"BEL","AVWAGE","TOT","USD","A","2017",57956.7749506732,
"BEL","AVWAGE","TOT","USD","A","2018",58270.1110053084,
"BEL","AVWAGE","TOT","USD","A","2019",58841.9236167908,
"BEL","AVWAGE","TOT","USD","A","2020",57271.7218967191,
"BEL","AVWAGE","TOT","USD","A","2021",59100.1809372088,
"CAN","AVWAGE","TOT","USD","A","2017",53353.3727685498,
"CAN","AVWAGE","TOT","USD","A","2018",54325.0894683998,
"CAN","AVWAGE","TOT","USD","A","2019",54606.6993038817,
"CAN","AVWAGE","TOT","USD","A","2020",56176.8355601337,
"CAN","AVWAGE","TOT","USD","A","2021",56005.6171359754,
"CZE","AVWAGE","TOT","USD","A","2017",28482.1251018999,
"CZE","AVWAGE","TOT","USD","A","2018",29990.7006930927,
"CZE","AVWAGE","TOT","USD","A","2019",31236.4530088112,
"CZE","AVWAGE","TOT","USD","A","2020",30912.1625160037,
"CZE","AVWAGE","TOT","USD","A","2021",31710.8968644062,
"DNK","AVWAGE","TOT","USD","A","2017",59219.7467028765,
"DNK","AVWAGE","TOT","USD","A","2018",59730.5765454995,
"DNK","AVWAGE","TOT","USD","A","2019",60264.9076732623,
"DNK","AVWAGE","TOT","USD","A","2020",60984.2427222411,
"DNK","AVWAGE","TOT","USD","A","2021",61330.7713424836,
"FIN","AVWAGE","TOT","USD","A","2017",46898.6579732219,
"FIN","AVWAGE","TOT","USD","A","2018",47244.6404457039,
"FIN","AVWAGE","TOT","USD","A","2019",47731.3810694198,
"FIN","AVWAGE","TOT","USD","A","2020",47877.6324062913,
"FIN","AVWAGE","TOT","USD","A","2021",49707.6290980261,
"FRA","AVWAGE","TOT","USD","A","2017",48993.0499210396,
"FRA","AVWAGE","TOT","USD","A","2018",48930.5037126329,
"FRA","AVWAGE","TOT","USD","A","2019",49402.5244825536,
"FRA","AVWAGE","TOT","USD","A","2020",47372.8084858398,
"FRA","AVWAGE","TOT","USD","A","2021",49312.5814817124,
"DEU","AVWAGE","TOT","USD","A","2017",54663.8550180622,
"DEU","AVWAGE","TOT","USD","A","2018",55442.5636927834,
"DEU","AVWAGE","TOT","USD","A","2019",56332.1609469743,
"DEU","AVWAGE","TOT","USD","A","2020",55920.6690928235,
"DEU","AVWAGE","TOT","USD","A","2021",56040.2161468624,
"GRC","AVWAGE","TOT","USD","A","2017",26629.7747446517,
"GRC","AVWAGE","TOT","USD","A","2018",25400.4681553569,
"GRC","AVWAGE","TOT","USD","A","2019",25629.6136887256,
"GRC","AVWAGE","TOT","USD","A","2020",25719.5130850906,
"GRC","AVWAGE","TOT","USD","A","2021",25743.5073041973,
"HUN","AVWAGE","TOT","USD","A","2017",22932.8795299802,
"HUN","AVWAGE","TOT","USD","A","2018",24056.025348271,
"HUN","AVWAGE","TOT","USD","A","2019",24852.7035959588,
"HUN","AVWAGE","TOT","USD","A","2020",25274.6430734428,
"HUN","AVWAGE","TOT","USD","A","2021",26268.0369337144,
"IRL","AVWAGE","TOT","USD","A","2017",49194.6667553763,
"IRL","AVWAGE","TOT","USD","A","2018",49552.9862607009,
"IRL","AVWAGE","TOT","USD","A","2019",50447.9581379289,
"IRL","AVWAGE","TOT","USD","A","2020",50751.3923804161,
"IRL","AVWAGE","TOT","USD","A","2021",51045.0787116261,
"ITA","AVWAGE","TOT","USD","A","2017",41354.645592233,
"ITA","AVWAGE","TOT","USD","A","2018",41414.8416985773,
"ITA","AVWAGE","TOT","USD","A","2019",41625.2801490976,
"ITA","AVWAGE","TOT","USD","A","2020",39207.8129041127,
"ITA","AVWAGE","TOT","USD","A","2021",40767.203813809,
"JPN","AVWAGE","TOT","USD","A","2017",38150.9261039504,
"JPN","AVWAGE","TOT","USD","A","2018",38583.6233688726,
"JPN","AVWAGE","TOT","USD","A","2019",39077.0157833559,
"JPN","AVWAGE","TOT","USD","A","2020",38850.0172427144,
"JPN","AVWAGE","TOT","USD","A","2021",39711.4297446814,
"KOR","AVWAGE","TOT","USD","A","2017",40374.0110243799,
"KOR","AVWAGE","TOT","USD","A","2018",41765.2288876683,
"KOR","AVWAGE","TOT","USD","A","2019",43199.5152506013,
"KOR","AVWAGE","TOT","USD","A","2020",43341.6301363788,
"KOR","AVWAGE","TOT","USD","A","2021",42747.1094597402,
"LUX","AVWAGE","TOT","USD","A","2017",71070.972989562,
"LUX","AVWAGE","TOT","USD","A","2018",71131.6950721728,
"LUX","AVWAGE","TOT","USD","A","2019",71250.8412977186,
"LUX","AVWAGE","TOT","USD","A","2020",71222.8927682139,
"LUX","AVWAGE","TOT","USD","A","2021",73656.7944725552,
"MEX","AVWAGE","TOT","USD","A","2017",17474.5231131432,
"MEX","AVWAGE","TOT","USD","A","2018",17864.3463617808,
"MEX","AVWAGE","TOT","USD","A","2019",18033.3000581825,
"MEX","AVWAGE","TOT","USD","A","2020",17456.9519954475,
"MEX","AVWAGE","TOT","USD","A","2021",16429.2635893051,
"NLD","AVWAGE","TOT","USD","A","2017",61186.4103776484,
"NLD","AVWAGE","TOT","USD","A","2018",60514.9759614184,
"NLD","AVWAGE","TOT","USD","A","2019",60140.0594526848,
"NLD","AVWAGE","TOT","USD","A","2020",61560.268470885,
"NLD","AVWAGE","TOT","USD","A","2021",60922.6046568573,
"NOR","AVWAGE","TOT","USD","A","2017",55332.0098039175,
"NOR","AVWAGE","TOT","USD","A","2018",55710.151803035,
"NOR","AVWAGE","TOT","USD","A","2019",56704.8849178672,
"NOR","AVWAGE","TOT","USD","A","2020",56719.7392546549,
"NOR","AVWAGE","TOT","USD","A","2021",58377.006567139,
"POL","AVWAGE","TOT","USD","A","2017",29236.4770516899,
"POL","AVWAGE","TOT","USD","A","2018",31213.4133092151,
"POL","AVWAGE","TOT","USD","A","2019",32695.4322746509,
"POL","AVWAGE","TOT","USD","A","2020",33330.3226849049,
"POL","AVWAGE","TOT","USD","A","2021",33566.2789446222,
"PRT","AVWAGE","TOT","USD","A","2017",27244.3598125418,
"PRT","AVWAGE","TOT","USD","A","2018",27695.9488231657,
"PRT","AVWAGE","TOT","USD","A","2019",28790.3670832311,
"PRT","AVWAGE","TOT","USD","A","2020",29093.1255424424,
"PRT","AVWAGE","TOT","USD","A","2021",29740.2954323036,
"SVK","AVWAGE","TOT","USD","A","2017",22692.7850948861,
"SVK","AVWAGE","TOT","USD","A","2018",23333.3833395461,
"SVK","AVWAGE","TOT","USD","A","2019",24095.5328882777,
"SVK","AVWAGE","TOT","USD","A","2020",24406.7456538289,
"SVK","AVWAGE","TOT","USD","A","2021",24804.671139622,
"ESP","AVWAGE","TOT","USD","A","2017",39927.3834496192,
"ESP","AVWAGE","TOT","USD","A","2018",39794.1061416166,
"ESP","AVWAGE","TOT","USD","A","2019",39877.2153582443,
"ESP","AVWAGE","TOT","USD","A","2020",38425.8737390982,
"ESP","AVWAGE","TOT","USD","A","2021",39202.3010628664,
"SWE","AVWAGE","TOT","USD","A","2017",47100.7117172587,
"SWE","AVWAGE","TOT","USD","A","2018",47338.8314394413,
"SWE","AVWAGE","TOT","USD","A","2019",47834.7225355909,
"SWE","AVWAGE","TOT","USD","A","2020",48430.2302010573,
"SWE","AVWAGE","TOT","USD","A","2021",48951.1026657769,
"CHE","AVWAGE","TOT","USD","A","2017",66913.3587006029,
"CHE","AVWAGE","TOT","USD","A","2018",66722.9175098538,
"CHE","AVWAGE","TOT","USD","A","2019",68121.6093336129,
"CHE","AVWAGE","TOT","USD","A","2020",67105.0181009114,
"CHE","AVWAGE","TOT","USD","A","2021",68957.4526836708,
"GBR","AVWAGE","TOT","USD","A","2017",47613.8896284349,
"GBR","AVWAGE","TOT","USD","A","2018",47872.0636136948,
"GBR","AVWAGE","TOT","USD","A","2019",48615.8690884243,
"GBR","AVWAGE","TOT","USD","A","2020",48563.7642841697,
"GBR","AVWAGE","TOT","USD","A","2021",49979.2556841196,
"USA","AVWAGE","TOT","USD","A","2017",66933.9728439335,
"USA","AVWAGE","TOT","USD","A","2018",67663.8360775703,
"USA","AVWAGE","TOT","USD","A","2019",68842.3066162042,
"USA","AVWAGE","TOT","USD","A","2020",72806.7540079049,
"USA","AVWAGE","TOT","USD","A","2021",74737.8453542402,
"EST","AVWAGE","TOT","USD","A","2017",27059.3912712127,
"EST","AVWAGE","TOT","USD","A","2018",28533.3902591232,
"EST","AVWAGE","TOT","USD","A","2019",30212.814486472,
"EST","AVWAGE","TOT","USD","A","2020",32017.2536726462,
"EST","AVWAGE","TOT","USD","A","2021",33188.1162985511,
"ISR","AVWAGE","TOT","USD","A","2017",38066.6244881282,
"ISR","AVWAGE","TOT","USD","A","2018",39142.8293233069,
"ISR","AVWAGE","TOT","USD","A","2019",39960.0644052245,
"ISR","AVWAGE","TOT","USD","A","2020",40047.2423853235,
"ISR","AVWAGE","TOT","USD","A","2021",42164.806114266,
"SVN","AVWAGE","TOT","USD","A","2017",39962.1999122763,
"SVN","AVWAGE","TOT","USD","A","2018",40664.4057933789,
"SVN","AVWAGE","TOT","USD","A","2019",41860.1613488932,
"SVN","AVWAGE","TOT","USD","A","2020",43309.7173070246,
"SVN","AVWAGE","TOT","USD","A","2021",43892.4254044126,
"OECD","AVWAGE","TOT","USD","A","2017",48654.7524088119,
"OECD","AVWAGE","TOT","USD","A","2018",49199.8902977004,
"OECD","AVWAGE","TOT","USD","A","2019",50050.0689654865,
"OECD","AVWAGE","TOT","USD","A","2020",50624.8873747117,
"OECD","AVWAGE","TOT","USD","A","2021",51606.8688182131,
"ISL","AVWAGE","TOT","USD","A","2017",67897.2819241499,
"ISL","AVWAGE","TOT","USD","A","2018",71756.601973718,
"ISL","AVWAGE","TOT","USD","A","2019",71002.5174020138,
"ISL","AVWAGE","TOT","USD","A","2020",68118.9155210663,
"ISL","AVWAGE","TOT","USD","A","2021",72047.3589701472,
"NZL","AVWAGE","TOT","USD","A","2017",42827.8801009874,
"NZL","AVWAGE","TOT","USD","A","2018",43898.3763836663,
"NZL","AVWAGE","TOT","USD","A","2019",45233.4644225101,
"NZL","AVWAGE","TOT","USD","A","2020",46125.7719467566,
"NZL","AVWAGE","TOT","USD","A","2021",46976.3871001948,
"LVA","AVWAGE","TOT","USD","A","2017",26386.6646958621,
"LVA","AVWAGE","TOT","USD","A","2018",27357.2775302411,
"LVA","AVWAGE","TOT","USD","A","2019",28547.4561699105,
"LVA","AVWAGE","TOT","USD","A","2020",29812.7273302086,
"LVA","AVWAGE","TOT","USD","A","2021",32235.409373312,
"LTU","AVWAGE","TOT","USD","A","2017",33424.6070551171,
"LTU","AVWAGE","TOT","USD","A","2018",34952.3131506065,
"LTU","AVWAGE","TOT","USD","A","2019",37305.1416069086,
"LTU","AVWAGE","TOT","USD","A","2020",39610.5961607839,
"LTU","AVWAGE","TOT","USD","A","2021",42027.3159157365,
"TUR","AVWAGE","TOT","USD","A","2017",30076.3789394926,
"TUR","AVWAGE","TOT","USD","A","2018",30610.7151561307,
"TUR","AVWAGE","TOT","USD","A","2019",32625.0508075616,
"TUR","AVWAGE","TOT","USD","A","2020",32482.6713098403,
