"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2005",35.7857305894932,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2006",36.1400356865424,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2007",36.4685149091029,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2008",37.7611114153608,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2009",39.0320793976318,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2010",39.9958801760362,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2011",39.8895575466799,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2012",39.1794538690602,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2013",39.1176025995495,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2014",39.5886214255864,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2015",39.710267209141,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2016",39.2152228687153,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2017",39.0279985386291,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2018",39.2535477593582,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2019",40.1904535954158,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2020",42.5676795106194,"E"
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2021",42.2101284875285,"E"
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2005",56.9428498472654,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2006",56.9375942903563,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2007",56.2366607728732,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2008",56.3470092954895,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2009",57.8822565448108,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2010",57.8605955089304,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2011",57.8242361852294,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2012",58.2488901923667,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2013",58.3979922530359,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2014",58.462197039274,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2015",58.0147763671647,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2016",58.257853855438,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2017",58.6395579164364,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2018",58.595041322314,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2019",57.2944618671082,"E"
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2020",58.0457149509816,"E"
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2021",57.9109624264471,"E"
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","2005",0.500834925097008,
