"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","EMPLOYEE","PC","A","2017",13.000948217,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2018",13.448567435,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2019",15.311653117,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2017",44.660949707,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2018",40.940143585,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2019",36.964374542,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2017",15.38215397,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2018",14.876690892,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2019",14.011740808,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2020",12.381539673,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2017",27.933237076,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2018",27.394569397,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2019",26.422130585,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2017",4.1902961563,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2018",3.4087569791,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2019",3.798185941,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2017",33.541023254,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2018",31.75894928,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2019",32.221923828,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2017",18.17322239,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2018",18.518518519,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2019",17.607142857,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2020",16.112531969,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2021",16.666666667,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2017",32.03011322,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2018",32.318340302,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2019",32.25138855,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2017",15.614010894,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2018",15.127413864,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2019",14.714332257,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2020",12.372862094,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2021",11.518748314,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2017",2.9588682652,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2018",8.7965869904,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2019",8.2187023163,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2017",5.2966919656,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2018",4.8632060095,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2019",5.0592156283,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2020",4.994399736,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2017",25.29186821,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2018",20.918043137,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2019",18.251142502,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2017",17.717920638,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2018",18.855203722,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2019",17.159829635,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2020",15.978604956,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2017",11.413352013,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2018",8.2360572815,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2018",11.823802164,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2017",14.427860697,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2018",15.444390481,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2019",13.987217306,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2020",14.202617547,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2017",35.668903351,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2018",38.327030182,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2019",39.415821075,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2018",5.9090909091,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2019",5.9090909091,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2017",9.6026563644,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2018",10.709539413,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2019",16.168548584,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2017",5.3202686547,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2018",5.0632142857,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2019",12.753673197,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2020",12.350016442,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2017",21.649953842,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2018",12.901247189,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2017",35.407264709,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2018",8.2840236686,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2017",44.92647934,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2018",5.7080610022,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2019",7.6401524596,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2017",24.518092661,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2018",23.537368955,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2019",23.480013436,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2020",22.518568535,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2021",22.113766409,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2017",34.617382557,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2018",34.107310951,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2019",32.480444715,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2020",31.48475223,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2021",31.064839435,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2017",15.517879486,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2018",19.163221359,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2019",20.980772018,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2017",11.111111111,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2018",14,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2021",12.5,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2017",30.726119995,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2018",28.285686493,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2019",27.438344955,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2018",12.657091562,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2019",13.398029651,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2020",13.329084582,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2017",35.577384949,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2018",33.073905945,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2019",30.814849854,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2017",7.1508379888,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2018",7.8696925329,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2019",6.5084501978,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2020",4.5814674475,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2021",6.6666666667,
"NOR","WAGEGAP","SELFEMPLOYED","PC","A","2017",12.188750267,
"NOR","WAGEGAP","SELFEMPLOYED","PC","A","2018",14.961437225,
"NOR","WAGEGAP","SELFEMPLOYED","PC","A","2019",18.989927292,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2017",5.4947613504,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2018",5.1293690422,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2019",4.3678665496,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2020",4.8138639281,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2021",4.6014790468,
"POL","WAGEGAP","SELFEMPLOYED","PC","A","2017",50.217689514,
"POL","WAGEGAP","SELFEMPLOYED","PC","A","2018",48.220840454,
"POL","WAGEGAP","EMPLOYEE","PC","A","2018",11.497909952,
"POL","WAGEGAP","EMPLOYEE","PC","A","2020",8.6906141367,
"PRT","WAGEGAP","SELFEMPLOYED","PC","A","2017",45.655525208,
"PRT","WAGEGAP","SELFEMPLOYED","PC","A","2018",41.70879364,
"PRT","WAGEGAP","SELFEMPLOYED","PC","A","2019",40.913368225,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2018",11.665004985,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2019",11.419037351,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2020",11.716807546,
"SVK","WAGEGAP","SELFEMPLOYED","PC","A","2017",13.499799728,
"SVK","WAGEGAP","SELFEMPLOYED","PC","A","2018",12.074243546,
"SVK","WAGEGAP","SELFEMPLOYED","PC","A","2019",11.484815598,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2017",15.040042332,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2018",15.662080133,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2019",13.869849949,
