"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","MEN","THND_PER","A","2017",6528.824,
"AUS","EMP","MEN","THND_PER","A","2018",6680.431,
"AUS","EMP","MEN","THND_PER","A","2019",6811.989,
"AUS","EMP","MEN","THND_PER","A","2020",6689.894,
"AUS","EMP","MEN","THND_PER","A","2021",6868.049,
"AUS","EMP","TOT","THND_PER","A","2017",12252.01,
"AUS","EMP","TOT","THND_PER","A","2018",12584.06,
"AUS","EMP","TOT","THND_PER","A","2019",12875.08,
"AUS","EMP","TOT","THND_PER","A","2020",12675.4,
"AUS","EMP","TOT","THND_PER","A","2021",13065.04,
"AUS","EMP","WOMEN","THND_PER","A","2017",5723.188,
"AUS","EMP","WOMEN","THND_PER","A","2018",5903.633,
"AUS","EMP","WOMEN","THND_PER","A","2019",6063.086,
"AUS","EMP","WOMEN","THND_PER","A","2020",5985.501,
"AUS","EMP","WOMEN","THND_PER","A","2021",6196.987,
"AUT","EMP","MEN","THND_PER","A","2017",2254.35,
"AUT","EMP","MEN","THND_PER","A","2018",2295.525,
"AUT","EMP","MEN","THND_PER","A","2019",2312.9,
"AUT","EMP","MEN","THND_PER","A","2020",2277.45,"B"
"AUT","EMP","MEN","THND_PER","A","2021",2288.675,
"AUT","EMP","TOT","THND_PER","A","2017",4260.1,
"AUT","EMP","TOT","THND_PER","A","2018",4319,
"AUT","EMP","TOT","THND_PER","A","2019",4354.65,
"AUT","EMP","TOT","THND_PER","A","2020",4296.8,"B"
"AUT","EMP","TOT","THND_PER","A","2021",4305.9,
"AUT","EMP","WOMEN","THND_PER","A","2017",2005.75,
"AUT","EMP","WOMEN","THND_PER","A","2018",2023.5,
"AUT","EMP","WOMEN","THND_PER","A","2019",2041.75,
"AUT","EMP","WOMEN","THND_PER","A","2020",2019.375,"B"
"AUT","EMP","WOMEN","THND_PER","A","2021",2017.2,
"BEL","EMP","MEN","THND_PER","A","2017",2495.7,
"BEL","EMP","MEN","THND_PER","A","2018",2531.25,
"BEL","EMP","MEN","THND_PER","A","2019",2566.9,
"BEL","EMP","MEN","THND_PER","A","2020",2556.4,"B"
"BEL","EMP","MEN","THND_PER","A","2021",2575.225,
"BEL","EMP","TOT","THND_PER","A","2017",4637.775,
"BEL","EMP","TOT","THND_PER","A","2018",4755.15,
"BEL","EMP","TOT","THND_PER","A","2019",4832.025,
"BEL","EMP","TOT","THND_PER","A","2020",4802.175,"B"
"BEL","EMP","TOT","THND_PER","A","2021",4853.7,
"BEL","EMP","WOMEN","THND_PER","A","2017",2142.075,
"BEL","EMP","WOMEN","THND_PER","A","2018",2223.925,
"BEL","EMP","WOMEN","THND_PER","A","2019",2265.1,
"BEL","EMP","WOMEN","THND_PER","A","2020",2245.775,"B"
"BEL","EMP","WOMEN","THND_PER","A","2021",2278.45,
"CAN","EMP","MEN","THND_PER","A","2017",9602.967,
"CAN","EMP","MEN","THND_PER","A","2018",9760.066,
"CAN","EMP","MEN","THND_PER","A","2019",9971.408,
"CAN","EMP","MEN","THND_PER","A","2020",9521.809,
"CAN","EMP","MEN","THND_PER","A","2021",9945.9,
"CAN","EMP","TOT","THND_PER","A","2017",18281.06,
"CAN","EMP","TOT","THND_PER","A","2018",18567.99,
"CAN","EMP","TOT","THND_PER","A","2019",18985.57,
"CAN","EMP","TOT","THND_PER","A","2020",17999.22,
"CAN","EMP","TOT","THND_PER","A","2021",18865.44,
"CAN","EMP","WOMEN","THND_PER","A","2017",8678.116,
"CAN","EMP","WOMEN","THND_PER","A","2018",8807.925,
"CAN","EMP","WOMEN","THND_PER","A","2019",9014.167,
"CAN","EMP","WOMEN","THND_PER","A","2020",8477.4,
"CAN","EMP","WOMEN","THND_PER","A","2021",8919.525,
"CZE","EMP","MEN","THND_PER","A","2017",2915.775,
"CZE","EMP","MEN","THND_PER","A","2018",2946.3,
"CZE","EMP","MEN","THND_PER","A","2019",2950.65,
"CZE","EMP","MEN","THND_PER","A","2020",2928.25,
"CZE","EMP","MEN","THND_PER","A","2021",2916.925,"B"
"CZE","EMP","TOT","THND_PER","A","2017",5221.475,
"CZE","EMP","TOT","THND_PER","A","2018",5293.65,
"CZE","EMP","TOT","THND_PER","A","2019",5302.9,
"CZE","EMP","TOT","THND_PER","A","2020",5234.925,
"CZE","EMP","TOT","THND_PER","A","2021",5213.375,"B"
"CZE","EMP","WOMEN","THND_PER","A","2017",2305.675,
"CZE","EMP","WOMEN","THND_PER","A","2018",2347.3,
"CZE","EMP","WOMEN","THND_PER","A","2019",2352.275,
"CZE","EMP","WOMEN","THND_PER","A","2020",2306.7,
"CZE","EMP","WOMEN","THND_PER","A","2021",2296.45,"B"
"DNK","EMP","MEN","THND_PER","A","2017",1475.525,
"DNK","EMP","MEN","THND_PER","A","2018",1502.225,
"DNK","EMP","MEN","THND_PER","A","2019",1528.85,
"DNK","EMP","MEN","THND_PER","A","2020",1514.1,
"DNK","EMP","MEN","THND_PER","A","2021",1537.375,
"DNK","EMP","TOT","THND_PER","A","2017",2788.525,
"DNK","EMP","TOT","THND_PER","A","2018",2832.275,
"DNK","EMP","TOT","THND_PER","A","2019",2877.65,
"DNK","EMP","TOT","THND_PER","A","2020",2852.375,
"DNK","EMP","TOT","THND_PER","A","2021",2900.125,
"DNK","EMP","WOMEN","THND_PER","A","2017",1313.05,
"DNK","EMP","WOMEN","THND_PER","A","2018",1330.025,
"DNK","EMP","WOMEN","THND_PER","A","2019",1348.775,
"DNK","EMP","WOMEN","THND_PER","A","2020",1338.225,
"DNK","EMP","WOMEN","THND_PER","A","2021",1362.725,
"FIN","EMP","MEN","THND_PER","A","2017",1282.175,
"FIN","EMP","MEN","THND_PER","A","2018",1316.75,
"FIN","EMP","MEN","THND_PER","A","2019",1326.625,
"FIN","EMP","MEN","THND_PER","A","2020",1314.225,"B"
"FIN","EMP","MEN","THND_PER","A","2021",1339.65,
"FIN","EMP","TOT","THND_PER","A","2017",2473.2,
"FIN","EMP","TOT","THND_PER","A","2018",2539.925,
"FIN","EMP","TOT","THND_PER","A","2019",2565.6,
"FIN","EMP","TOT","THND_PER","A","2020",2528.2,"B"
"FIN","EMP","TOT","THND_PER","A","2021",2573.35,
"FIN","EMP","WOMEN","THND_PER","A","2017",1191,
"FIN","EMP","WOMEN","THND_PER","A","2018",1223.175,
"FIN","EMP","WOMEN","THND_PER","A","2019",1238.95,
"FIN","EMP","WOMEN","THND_PER","A","2020",1213.95,"B"
"FIN","EMP","WOMEN","THND_PER","A","2021",1233.725,
"FRA","EMP","MEN","THND_PER","A","2017",13882.6,
"FRA","EMP","MEN","THND_PER","A","2018",13968.55,
"FRA","EMP","MEN","THND_PER","A","2019",13969.17,
"FRA","EMP","MEN","THND_PER","A","2020",13885.33,"B"
"FRA","EMP","MEN","THND_PER","A","2021",14159.17,
"FRA","EMP","TOT","THND_PER","A","2017",26802.97,
"FRA","EMP","TOT","THND_PER","A","2018",27021.38,
"FRA","EMP","TOT","THND_PER","A","2019",27132.18,
"FRA","EMP","TOT","THND_PER","A","2020",26995.32,"B"
"FRA","EMP","TOT","THND_PER","A","2021",27727.6,
"FRA","EMP","WOMEN","THND_PER","A","2017",12920.4,
