"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AGRLANDAREA","TOT","THND_HA","A","2017",393797.177,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2018",378081.996,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2019",383801.493,
"AUS","AGRLANDAREA","TOT","THND_HA","A","2020",377002.256,
"AUT","AGRLANDAREA","TOT","THND_HA","A","2017",2656,
"AUT","AGRLANDAREA","TOT","THND_HA","A","2018",2654,
"AUT","AGRLANDAREA","TOT","THND_HA","A","2019",2652,
"AUT","AGRLANDAREA","TOT","THND_HA","A","2020",2647,
"BEL","AGRLANDAREA","TOT","THND_HA","A","2017",1329,
"BEL","AGRLANDAREA","TOT","THND_HA","A","2018",1356,
"BEL","AGRLANDAREA","TOT","THND_HA","A","2019",1359,
"BEL","AGRLANDAREA","TOT","THND_HA","A","2020",1367,
"CAN","AGRLANDAREA","TOT","THND_HA","A","2017",69854.98,
"CAN","AGRLANDAREA","TOT","THND_HA","A","2018",68117.02,
"CZE","AGRLANDAREA","TOT","THND_HA","A","2017",3521,
"CZE","AGRLANDAREA","TOT","THND_HA","A","2018",3523,
"CZE","AGRLANDAREA","TOT","THND_HA","A","2019",3524,
"CZE","AGRLANDAREA","TOT","THND_HA","A","2020",3524,
"DNK","AGRLANDAREA","TOT","THND_HA","A","2017",2631,
"DNK","AGRLANDAREA","TOT","THND_HA","A","2018",2633,
"DNK","AGRLANDAREA","TOT","THND_HA","A","2019",2626,
"DNK","AGRLANDAREA","TOT","THND_HA","A","2020",2620,
"FIN","AGRLANDAREA","TOT","THND_HA","A","2017",2272,
"FIN","AGRLANDAREA","TOT","THND_HA","A","2018",2272,
"FIN","AGRLANDAREA","TOT","THND_HA","A","2019",2274,
"FIN","AGRLANDAREA","TOT","THND_HA","A","2020",2270,
"FRA","AGRLANDAREA","TOT","THND_HA","A","2017",29101,
"FRA","AGRLANDAREA","TOT","THND_HA","A","2018",29020,
"FRA","AGRLANDAREA","TOT","THND_HA","A","2019",29024,
"FRA","AGRLANDAREA","TOT","THND_HA","A","2020",28898,
"DEU","AGRLANDAREA","TOT","THND_HA","A","2017",16687,
"DEU","AGRLANDAREA","TOT","THND_HA","A","2018",16645,
"DEU","AGRLANDAREA","TOT","THND_HA","A","2019",16666,
"GRC","AGRLANDAREA","TOT","THND_HA","A","2017",5152,
"GRC","AGRLANDAREA","TOT","THND_HA","A","2018",5288,
"GRC","AGRLANDAREA","TOT","THND_HA","A","2019",5153,
"GRC","AGRLANDAREA","TOT","THND_HA","A","2020",5268,
"HUN","AGRLANDAREA","TOT","THND_HA","A","2017",5352,
"HUN","AGRLANDAREA","TOT","THND_HA","A","2018",5344,
"HUN","AGRLANDAREA","TOT","THND_HA","A","2019",5310,
"HUN","AGRLANDAREA","TOT","THND_HA","A","2020",4998,
"ISL","AGRLANDAREA","TOT","THND_HA","A","2017",1591.031,
"ISL","AGRLANDAREA","TOT","THND_HA","A","2018",1591.031,
"ISL","AGRLANDAREA","TOT","THND_HA","A","2019",1591.031,
"ISL","AGRLANDAREA","TOT","THND_HA","A","2020",1591.031,
"IRL","AGRLANDAREA","TOT","THND_HA","A","2017",4489,
"IRL","AGRLANDAREA","TOT","THND_HA","A","2018",4516,
"IRL","AGRLANDAREA","TOT","THND_HA","A","2019",4524,
"IRL","AGRLANDAREA","TOT","THND_HA","A","2020",4511,
"ITA","AGRLANDAREA","TOT","THND_HA","A","2017",13006,
"ITA","AGRLANDAREA","TOT","THND_HA","A","2018",12909,
"ITA","AGRLANDAREA","TOT","THND_HA","A","2019",13150,
"ITA","AGRLANDAREA","TOT","THND_HA","A","2020",13122,
"JPN","AGRLANDAREA","TOT","THND_HA","A","2017",4443.7,
"JPN","AGRLANDAREA","TOT","THND_HA","A","2018",4419.2,
"JPN","AGRLANDAREA","TOT","THND_HA","A","2019",4396.9,
"JPN","AGRLANDAREA","TOT","THND_HA","A","2020",4372.2,
"KOR","AGRLANDAREA","TOT","THND_HA","A","2017",1675.108,
