"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AQUAPROD","TOT","USD","A","2017",976872265,
"AUS","AQUAPROD","TOT","USD","A","2018",1015307432,
"AUS","AQUAPROD","TOT","USD","A","2019",927616635,
"AUS","AQUAPROD","TOT","USD","A","2020",1048952641,
"AUT","AQUAPROD","TOT","USD","A","2017",28606747,
"AUT","AQUAPROD","TOT","USD","A","2018",31192069,
"AUT","AQUAPROD","TOT","USD","A","2019",33164149,
"AUT","AQUAPROD","TOT","USD","A","2020",34556679,
"BEL","AQUAPROD","TOT","USD","A","2017",774396,
"BEL","AQUAPROD","TOT","USD","A","2018",993632,
"BEL","AQUAPROD","TOT","USD","A","2019",602680,
"BEL","AQUAPROD","TOT","USD","A","2020",1592256,
"CAN","AQUAPROD","TOT","USD","A","2017",1074138397,
"CAN","AQUAPROD","TOT","USD","A","2018",1091770992,
"CAN","AQUAPROD","TOT","USD","A","2019",929122147,
"CAN","AQUAPROD","TOT","USD","A","2020",780941531,
"CZE","AQUAPROD","TOT","USD","A","2017",48892840,
"CZE","AQUAPROD","TOT","USD","A","2018",53758131,
"CZE","AQUAPROD","TOT","USD","A","2019",46851424,
"CZE","AQUAPROD","TOT","USD","A","2020",45289909,
"DNK","AQUAPROD","TOT","USD","A","2017",142432028,"E"
"DNK","AQUAPROD","TOT","USD","A","2018",138936390,"E"
"DNK","AQUAPROD","TOT","USD","A","2019",144541932,
"DNK","AQUAPROD","TOT","USD","A","2020",153721540,
"FIN","AQUAPROD","TOT","USD","A","2017",81366160,
"FIN","AQUAPROD","TOT","USD","A","2018",76726761,
"FIN","AQUAPROD","TOT","USD","A","2019",69998573,
"FIN","AQUAPROD","TOT","USD","A","2020",66290232,
"FRA","AQUAPROD","TOT","USD","A","2017",865242323,
"FRA","AQUAPROD","TOT","USD","A","2018",812876687,
"FRA","AQUAPROD","TOT","USD","A","2019",857943000,
"FRA","AQUAPROD","TOT","USD","A","2020",828409314,"E"
"DEU","AQUAPROD","TOT","USD","A","2017",117704655,
"DEU","AQUAPROD","TOT","USD","A","2018",135518718,
"DEU","AQUAPROD","TOT","USD","A","2019",137912353,
"DEU","AQUAPROD","TOT","USD","A","2020",124248728,
"GRC","AQUAPROD","TOT","USD","A","2017",615686241,
"GRC","AQUAPROD","TOT","USD","A","2018",635439201,
