"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",0.99,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",0.997,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",0.939,
"AUT","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",3,
"AUT","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",3,
"AUT","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",1,
"CAN","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",-0.574,
"CAN","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",0.61,
"CZE","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",0,
"CZE","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",1,
"CZE","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",0,
"FIN","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",6,
"FIN","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",6,
"FIN","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",3,
"FRA","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",1,
"FRA","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",1,
"DEU","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",-5,
"DEU","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",-2,
"DEU","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",-5,
"HUN","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",0,
"ISL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",1.891,
"ISL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",1.755,
"ISL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",1.343,
"ISL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2020",1.321,
"IRL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",23,
"KOR","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",46.912,
"KOR","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",47.01,
"KOR","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",44.344,
"MEX","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",2.92,
"MEX","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",2.392,
"MEX","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",1.892,
"NLD","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",2,
"NLD","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",7,
"NLD","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",4,
"NZL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",9.126,
"NZL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",9.554,
"NZL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",9.608,
"NZL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2020",9.623,
"POL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",1,
"POL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",4,
"POL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",4,
"PRT","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",5,
"PRT","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",6,
"PRT","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",6,
"SVK","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",-6,
"SVK","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",-3,
"SVK","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",-3,
"ESP","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",8,
"SWE","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",-1,
"SWE","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",4,
"CHE","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",2,
"CHE","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",4,
"CHE","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",4,
"TUR","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",8.978,
"TUR","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",7.018,
"TUR","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",8.726,
"GBR","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",6,
"USA","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",2.812,
"USA","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",2.946,
"USA","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",3.469,
"SVN","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",5,
"SVN","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",2,
"SVN","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",1,
"BGR","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",1,
"HRV","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",4,
"HRV","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",2,
"HRV","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",2,
"LVA","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",1,
"LVA","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",4,
"LVA","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",1,
"LTU","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",0,
"LTU","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",-1,
"ROU","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",-6,
"ROU","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",-8,
"ROU","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",-6,
"ARG","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",1.567,
"ARG","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",2.733,
"ARG","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",2.168,
"BRA","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",16.176,
"BRA","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",16.291,
"BRA","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",16.647,
"CHN","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",10.681,
"CHN","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",10.586,
"CHN","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",9.477,
"COL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",5.487,
"COL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",5.71,
"COL","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",5.989,
"CRI","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2017",9.648,
"CRI","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2018",11.779,
"CRI","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2019",9.053,
