"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2017",-2.85129719125057,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2018",-0.941275949559568,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2019",1.41669163124896,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2020",2.98939780880678,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2021",2.11147350145146,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2017",1.42367158797415,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2018",0.4416336432071,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2019",2.46534515209802,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2020",2.86870902162929,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2021",0.438730970114958,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2017",0.807190021977301,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2018",-0.838559567769472,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2019",0.239404986994537,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2020",1.05054887030168,"E"
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2021",0.604624699091162,"E"
"CAN","NLNBSECTOR","TOT","PC_GDP","A","2017",-3.74705520449249,
"CAN","NLNBSECTOR","TOT","PC_GDP","A","2018",-3.80043098502668,
"CAN","NLNBSECTOR","TOT","PC_GDP","A","2019",-2.96315594500743,
"CAN","NLNBSECTOR","TOT","PC_GDP","A","2020",-3.38323445551949,
"CAN","NLNBSECTOR","TOT","PC_GDP","A","2021",-0.855671728177724,
"CZE","NLNBSECTOR","TOT","PC_GDP","A","2017",1.43169006933043,
"CZE","NLNBSECTOR","TOT","PC_GDP","A","2018",0.248024261282285,
"CZE","NLNBSECTOR","TOT","PC_GDP","A","2019",-0.391021459387537,
"CZE","NLNBSECTOR","TOT","PC_GDP","A","2020",1.83150465456126,
"CZE","NLNBSECTOR","TOT","PC_GDP","A","2021",-1.23863291832203,
"DNK","NLNBSECTOR","TOT","PC_GDP","A","2017",8.05441046981759,
"DNK","NLNBSECTOR","TOT","PC_GDP","A","2018",7.29058782019194,
"DNK","NLNBSECTOR","TOT","PC_GDP","A","2019",8.50609440837471,
"DNK","NLNBSECTOR","TOT","PC_GDP","A","2020",7.84158028073996,
"DNK","NLNBSECTOR","TOT","PC_GDP","A","2021",9.13477499807974,
"FIN","NLNBSECTOR","TOT","PC_GDP","A","2017",-0.726907967706727,
"FIN","NLNBSECTOR","TOT","PC_GDP","A","2018",-1.76602616271599,
"FIN","NLNBSECTOR","TOT","PC_GDP","A","2019",-0.240558997406799,
"FIN","NLNBSECTOR","TOT","PC_GDP","A","2020",0.732640741378659,
"FIN","NLNBSECTOR","TOT","PC_GDP","A","2021",0.994959561119797,
"FRA","NLNBSECTOR","TOT","PC_GDP","A","2017",-0.712854805893328,
"FRA","NLNBSECTOR","TOT","PC_GDP","A","2018",-0.670712975805926,
"FRA","NLNBSECTOR","TOT","PC_GDP","A","2019",-0.703058497272972,"E"
"FRA","NLNBSECTOR","TOT","PC_GDP","A","2020",-2.49910299597181,"E"
"FRA","NLNBSECTOR","TOT","PC_GDP","A","2021",-0.429010704274912,"E"
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2017",7.78908899472325,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2018",7.94901127635235,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2019",7.51527383495621,"E"
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2020",6.72552364899587,"E"
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2021",7.24572777122232,"E"
"GRC","NLNBSECTOR","TOT","PC_GDP","A","2017",-0.971904099703093,
"GRC","NLNBSECTOR","TOT","PC_GDP","A","2018",-2.25218618053486,
"GRC","NLNBSECTOR","TOT","PC_GDP","A","2019",-1.03076075410309,"E"
"GRC","NLNBSECTOR","TOT","PC_GDP","A","2020",-5.98183966516546,"E"
"GRC","NLNBSECTOR","TOT","PC_GDP","A","2021",-5.49390970999474,"E"
"HUN","NLNBSECTOR","TOT","PC_GDP","A","2017",2.40879147896447,
"HUN","NLNBSECTOR","TOT","PC_GDP","A","2018",2.24628960074066,
