"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2017",865.2686,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2018",869.57456,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2019",879.70789,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2020",878.40834,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2021",860.07598,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2017",797.28162,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2018",810.7932,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2019",819.74742,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2020",821.20197,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2021",838.76215,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2017",797.28162,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2018",810.7932,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2019",819.74742,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2020",828.2862,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2021",838.27774,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2017",779.4,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2018",779.4,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2019",792.39,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2020",814,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2021",796.4,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2017",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2018",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2019",598.41,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2020",604.95,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2021",591.87,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2017",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2018",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2019",616.71,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2020",634.55,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2021",622.64,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2017",797.7713,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2018",797.14341,
"CAN","TEACHINGHR","UPPSRY","HR_YEAR","A","2017",745.74031,
"CAN","TEACHINGHR","UPPSRY","HR_YEAR","A","2018",745.54889,
"CAN","TEACHINGHR","LOWSRY","HR_YEAR","A","2017",744.53292,
"CAN","TEACHINGHR","LOWSRY","HR_YEAR","A","2018",744.22533,
"CZE","TEACHINGHR","PRY","HR_YEAR","A","2017",617.1,
"CZE","TEACHINGHR","PRY","HR_YEAR","A","2018",617.1,
"CZE","TEACHINGHR","PRY","HR_YEAR","A","2019",620.4,
"CZE","TEACHINGHR","PRY","HR_YEAR","A","2020",636.9,
