"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","TEACHER","TRY_50_OVER","PC","A","2017",38.956,
"AUT","TEACHER","TRY_50_OVER","PC","A","2018",39.436,
"AUT","TEACHER","TRY_50_OVER","PC","A","2019",40.705,
"AUT","TEACHER","TRY_50_OVER","PC","A","2020",40.94,
"AUT","TEACHER","TRY_LT30","PC","A","2017",8.414,
"AUT","TEACHER","TRY_LT30","PC","A","2018",8.777,
"AUT","TEACHER","TRY_LT30","PC","A","2019",8.136,
"AUT","TEACHER","TRY_LT30","PC","A","2020",8.945,
"CAN","TEACHER","TRY_50_OVER","PC","A","2017",47.516,
"CAN","TEACHER","TRY_50_OVER","PC","A","2018",47.54,
"CAN","TEACHER","TRY_50_OVER","PC","A","2019",47.501,
"CAN","TEACHER","TRY_50_OVER","PC","A","2020",48.895,
"CAN","TEACHER","TRY_LT30","PC","A","2017",5.44,
"CAN","TEACHER","TRY_LT30","PC","A","2018",5.398,
"CAN","TEACHER","TRY_LT30","PC","A","2019",5.388,
"CAN","TEACHER","TRY_LT30","PC","A","2020",6.268,
"DNK","TEACHER","TRY_50_OVER","PC","A","2017",36.012,
"DNK","TEACHER","TRY_50_OVER","PC","A","2018",35.497,
"DNK","TEACHER","TRY_50_OVER","PC","A","2019",34.887,
"DNK","TEACHER","TRY_50_OVER","PC","A","2020",33.96,
"DNK","TEACHER","TRY_LT30","PC","A","2017",16.408,
"DNK","TEACHER","TRY_LT30","PC","A","2018",17.109,
"DNK","TEACHER","TRY_LT30","PC","A","2019",17.983,
"DNK","TEACHER","TRY_LT30","PC","A","2020",19.021,
"FIN","TEACHER","TRY_50_OVER","PC","A","2017",48.305,
"FIN","TEACHER","TRY_50_OVER","PC","A","2018",47.924,
"FIN","TEACHER","TRY_50_OVER","PC","A","2019",45.844,
"FIN","TEACHER","TRY_50_OVER","PC","A","2020",44.618,
"FIN","TEACHER","TRY_LT30","PC","A","2017",6.882,
"FIN","TEACHER","TRY_LT30","PC","A","2018",7.779,
"FIN","TEACHER","TRY_LT30","PC","A","2019",9.43,
"FIN","TEACHER","TRY_LT30","PC","A","2020",9.445,
"FRA","TEACHER","TRY_50_OVER","PC","A","2020",37.407,
"FRA","TEACHER","TRY_LT30","PC","A","2020",11.552,
"DEU","TEACHER","TRY_50_OVER","PC","A","2017",26.474,
"DEU","TEACHER","TRY_50_OVER","PC","A","2018",26.908,
"DEU","TEACHER","TRY_50_OVER","PC","A","2019",29.386,
"DEU","TEACHER","TRY_50_OVER","PC","A","2020",29.466,
"DEU","TEACHER","TRY_LT30","PC","A","2017",24.385,
"DEU","TEACHER","TRY_LT30","PC","A","2018",24.58,
"DEU","TEACHER","TRY_LT30","PC","A","2019",22.885,
"DEU","TEACHER","TRY_LT30","PC","A","2020",22.79,
"GRC","TEACHER","TRY_50_OVER","PC","A","2017",42.081,
"GRC","TEACHER","TRY_50_OVER","PC","A","2018",46.634,
"GRC","TEACHER","TRY_50_OVER","PC","A","2019",47.44,
"GRC","TEACHER","TRY_50_OVER","PC","A","2020",51.903,
"GRC","TEACHER","TRY_LT30","PC","A","2017",0.685,
"GRC","TEACHER","TRY_LT30","PC","A","2018",0.81,
"GRC","TEACHER","TRY_LT30","PC","A","2019",0.609,
"GRC","TEACHER","TRY_LT30","PC","A","2020",0.733,
"HUN","TEACHER","TRY_50_OVER","PC","A","2017",40.375,
"HUN","TEACHER","TRY_50_OVER","PC","A","2018",40.208,
"HUN","TEACHER","TRY_50_OVER","PC","A","2019",39.779,
"HUN","TEACHER","TRY_50_OVER","PC","A","2020",40.098,
"HUN","TEACHER","TRY_LT30","PC","A","2017",6.111,
"HUN","TEACHER","TRY_LT30","PC","A","2018",5.801,
"HUN","TEACHER","TRY_LT30","PC","A","2019",5.744,
"HUN","TEACHER","TRY_LT30","PC","A","2020",5.628,
"ITA","TEACHER","TRY_50_OVER","PC","A","2017",54.88,
"ITA","TEACHER","TRY_50_OVER","PC","A","2018",55.586,
"ITA","TEACHER","TRY_50_OVER","PC","A","2019",56.122,
"ITA","TEACHER","TRY_50_OVER","PC","A","2020",56.157,
"ITA","TEACHER","TRY_LT30","PC","A","2017",0.786,
"ITA","TEACHER","TRY_LT30","PC","A","2018",0.787,
"ITA","TEACHER","TRY_LT30","PC","A","2019",0.693,
"ITA","TEACHER","TRY_LT30","PC","A","2020",0.759,
"JPN","TEACHER","TRY_50_OVER","PC","A","2017",45.68,
"JPN","TEACHER","TRY_50_OVER","PC","A","2018",45.68,
"JPN","TEACHER","TRY_50_OVER","PC","A","2019",45.68,
"JPN","TEACHER","TRY_50_OVER","PC","A","2020",47.229,
"JPN","TEACHER","TRY_LT30","PC","A","2017",2.538,
"JPN","TEACHER","TRY_LT30","PC","A","2018",2.538,
"JPN","TEACHER","TRY_LT30","PC","A","2019",2.538,
"JPN","TEACHER","TRY_LT30","PC","A","2020",2.465,
"KOR","TEACHER","TRY_50_OVER","PC","A","2017",44.694,
"KOR","TEACHER","TRY_50_OVER","PC","A","2018",46.204,
"KOR","TEACHER","TRY_50_OVER","PC","A","2019",49.048,
"KOR","TEACHER","TRY_50_OVER","PC","A","2020",49.944,
"KOR","TEACHER","TRY_LT30","PC","A","2017",1.284,
"KOR","TEACHER","TRY_LT30","PC","A","2018",1.147,
"KOR","TEACHER","TRY_LT30","PC","A","2019",0.898,
"KOR","TEACHER","TRY_LT30","PC","A","2020",0.866,
"LUX","TEACHER","TRY_50_OVER","PC","A","2017",15.639,
"LUX","TEACHER","TRY_50_OVER","PC","A","2018",13.298,
"LUX","TEACHER","TRY_50_OVER","PC","A","2019",12.806,
"LUX","TEACHER","TRY_50_OVER","PC","A","2020",13.006,
"LUX","TEACHER","TRY_LT30","PC","A","2017",39.992,
"LUX","TEACHER","TRY_LT30","PC","A","2018",26.446,
"LUX","TEACHER","TRY_LT30","PC","A","2019",29.125,
"LUX","TEACHER","TRY_LT30","PC","A","2020",29.14,
"NLD","TEACHER","TRY_50_OVER","PC","A","2017",32.718,
"NLD","TEACHER","TRY_50_OVER","PC","A","2018",32.657,
"NLD","TEACHER","TRY_50_OVER","PC","A","2019",32.746,
"NLD","TEACHER","TRY_50_OVER","PC","A","2020",32.534,
"NLD","TEACHER","TRY_LT30","PC","A","2017",18.597,
"NLD","TEACHER","TRY_LT30","PC","A","2018",17.877,
"NLD","TEACHER","TRY_LT30","PC","A","2019",17.459,
"NLD","TEACHER","TRY_LT30","PC","A","2020",17.401,
"NZL","TEACHER","TRY_50_OVER","PC","A","2017",47.363,
"NZL","TEACHER","TRY_50_OVER","PC","A","2018",47.038,
"NZL","TEACHER","TRY_50_OVER","PC","A","2019",45.375,
"NZL","TEACHER","TRY_50_OVER","PC","A","2020",45.674,
"NZL","TEACHER","TRY_LT30","PC","A","2017",9.438,
"NZL","TEACHER","TRY_LT30","PC","A","2018",8.906,
