"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",68439.5706483447,
"AUT","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",65748.6850448385,
"CAN","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",70331.0630114381,
"CZE","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",28534.133856297,
"DNK","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",65826.6406921337,
"FIN","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",53061.3074897205,
"FRA","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",43132.821331402,
"DEU","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",95933.3204956511,
"GRC","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",27026.1430273579,
"HUN","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",22927.6290759007,
"IRL","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",62947.5224528478,
"ITA","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",44211.5502729379,
"JPN","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",49355.5570629811,
"KOR","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",60246.5390594918,
"LUX","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",112266.198007471,
"MEX","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",67968.2097527053,
"NLD","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",84315.1864944674,
"NZL","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",52698.802518496,
"NOR","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",55523.9090187109,
"POL","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",32039.7352294866,
"PRT","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",44412.9255246363,
"SVK","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",19328.6497312917,
"ESP","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",56428.1110159816,
"SWE","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2020",50889.9037109453,
"TUR","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",35364.6205160314,
"USA","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",66750.1181227817,
"COL","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2020",43073.4068500279,
"CRI","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",34471.1865414297,
"ISR","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",39244.6855177253,
"LTU","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",35391.7648414715,
"SVN","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",48203.1487571438,
"AUS","TEACHERSALARY","UPPSRY_START","USD","A","2021",46987.3921366314,
"AUS","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",74454.1012248753,
"AUT","TEACHERSALARY","UPPSRY_START","USD","A","2021",47914.3215591825,
"AUT","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",95229.7251985286,
"CAN","TEACHERSALARY","UPPSRY_START","USD","A","2021",40721.5025688849,
"CAN","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",70331.0630114381,
"CZE","TEACHERSALARY","UPPSRY_START","USD","A","2021",25615.8701664484,
"CZE","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",33722.1581938055,
"DNK","TEACHERSALARY","UPPSRY_START","USD","A","2021",50652.9361617014,
"DNK","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",65826.6406921337,
"FIN","TEACHERSALARY","UPPSRY_START","USD","A","2021",42089.4605778539,
"FIN","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",56244.9859391037,
"FRA","TEACHERSALARY","UPPSRY_START","USD","A","2021",35708.9879834036,
"FRA","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",61282.1240702168,
"DEU","TEACHERSALARY","UPPSRY_START","USD","A","2021",80910.6344209046,
"DEU","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",110050.348695679,
"GRC","TEACHERSALARY","UPPSRY_START","USD","A","2021",20409.7843609093,
"GRC","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",40258.8603602551,
"HUN","TEACHERSALARY","UPPSRY_START","USD","A","2021",17058.4364451241,
"HUN","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",32414.9238659286,
"IRL","TEACHERSALARY","UPPSRY_START","USD","A","2021",37016.6315572382,
"IRL","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",72510.0540636094,
"ITA","TEACHERSALARY","UPPSRY_START","USD","A","2021",35428.1782102818,
"ITA","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",55076.7545116942,
"JPN","TEACHERSALARY","UPPSRY_START","USD","A","2021",29819.5331371412,
"JPN","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",62670.3663331408,
"KOR","TEACHERSALARY","UPPSRY_START","USD","A","2021",34184.861022813,
"KOR","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",95842.1761082615,
"LUX","TEACHERSALARY","UPPSRY_START","USD","A","2021",81387.0045836699,
"LUX","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",141469.768466971,
"MEX","TEACHERSALARY","UPPSRY_START","USD","A","2021",55272.4592514795,
"MEX","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",67968.2097527053,
"NLD","TEACHERSALARY","UPPSRY_START","USD","A","2021",48336.0792091622,
"NLD","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",98654.334975012,
"NZL","TEACHERSALARY","UPPSRY_START","USD","A","2021",34488.1577179181,
"NZL","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",52698.802518496,
"NOR","TEACHERSALARY","UPPSRY_START","USD","A","2021",50216.1997498036,
"NOR","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",61443.3223700277,
"POL","TEACHERSALARY","UPPSRY_START","USD","A","2021",19621.9588446208,
"POL","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",33397.8244713614,
"PRT","TEACHERSALARY","UPPSRY_START","USD","A","2021",34400.3640819615,
"PRT","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",74254.7312973649,
"SVK","TEACHERSALARY","UPPSRY_START","USD","A","2021",16787.5790262287,
"SVK","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",21622.0348441645,
"ESP","TEACHERSALARY","UPPSRY_START","USD","A","2021",48796.4246376814,
"ESP","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",69498.7553648025,
"SWE","TEACHERSALARY","UPPSRY_START","USD","A","2020",44257.6355581404,
"SWE","TEACHERSALARY","UPPSRY_TOP","USD","A","2020",59052.6952836283,
"CHE","TEACHERSALARY","UPPSRY_START","USD","A","2020",76392.6323886591,
"CHE","TEACHERSALARY","UPPSRY_TOP","USD","A","2020",117579.542219611,
"TUR","TEACHERSALARY","UPPSRY_START","USD","A","2021",34827.6186053461,
"TUR","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",37887.1717622125,
"USA","TEACHERSALARY","UPPSRY_START","USD","A","2021",43438.1121097077,
"USA","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",76055.4063607468,
"COL","TEACHERSALARY","UPPSRY_START","USD","A","2020",23618.5567648573,
"COL","TEACHERSALARY","UPPSRY_TOP","USD","A","2020",49534.3755366952,
"CRI","TEACHERSALARY","UPPSRY_START","USD","A","2021",27310.0712181585,
"CRI","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",41632.3018647009,
"EST","TEACHERSALARY","UPPSRY_START","USD","A","2021",25448.0830078408,
"ISR","TEACHERSALARY","UPPSRY_START","USD","A","2021",27893.4612991702,
"ISR","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",56279.7658725237,
"LVA","TEACHERSALARY","UPPSRY_START","USD","A","2021",16534.0570180793,
"LTU","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",40286.9940440727,
"SVN","TEACHERSALARY","UPPSRY_START","USD","A","2021",31000.6646122207,
"SVN","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",57831.4988573059,
"ISL","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2021",48216.2251298186,
"ISL","TEACHERSALARY","UPPSRY_START","USD","A","2021",39977.8357177569,
"ISL","TEACHERSALARY","UPPSRY_TOP","USD","A","2021",48216.2251298186,
"BRA","TEACHERSALARY","UPPSRY_START","USD","A","2019",14344.8945395978,
"LTU","TEACHERSALARY","UPPSRY_START","USD","A","2021",30826.6608325015,
"SAU","TEACHERSALARY","UPPSRY_START","USD","A","2020",54546.4205387345,
"ZAF","TEACHERSALARY","UPPSRY_START","USD","A","2019",57893.2643072119,
