"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","TEACHINGSTAFF","PRY","NBR","A","2017",33438.031,
"AUT","TEACHINGSTAFF","PRY","NBR","A","2018",33085.351,
"AUT","TEACHINGSTAFF","PRY","NBR","A","2019",32234.34,
"AUT","TEACHINGSTAFF","PRY","NBR","A","2020",32150.229,
"AUT","TEACHINGSTAFF","UPPSRY","NBR","A","2017",29653.222,
"AUT","TEACHINGSTAFF","UPPSRY","NBR","A","2018",29711.92,
"AUT","TEACHINGSTAFF","UPPSRY","NBR","A","2019",29723.007,
"AUT","TEACHINGSTAFF","UPPSRY","NBR","A","2020",30081.548,
"AUT","TEACHINGSTAFF","LOWSRY","NBR","A","2017",44020.353,
"AUT","TEACHINGSTAFF","LOWSRY","NBR","A","2018",44559.482,
"AUT","TEACHINGSTAFF","LOWSRY","NBR","A","2019",44321.011,
"AUT","TEACHINGSTAFF","LOWSRY","NBR","A","2020",43843.291,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2017",31069,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2018",31336,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2019",31477,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2020",31681,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2021",34454,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2017",49128,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2018",49641,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2019",49694,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2020",50937,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2021",51092,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2017",30075.2,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2018",30335,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2019",30987.7,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2020",31633.8,
