"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","OILPROD","TOT","KTOE","A","2017",13563.828,
"AUT","OILPROD","TOT","KTOE","A","2017",746.095,
"BEL","OILPROD","TOT","KTOE","A","2017",0,
"CAN","OILPROD","TOT","KTOE","A","2017",174226.065,
"CZE","OILPROD","TOT","KTOE","A","2017",109.375,
"DNK","OILPROD","TOT","KTOE","A","2017",6916.07,
"FIN","OILPROD","TOT","KTOE","A","2017",0,
"FRA","OILPROD","TOT","KTOE","A","2017",773.508,
"DEU","OILPROD","TOT","KTOE","A","2017",2227.381,
"GRC","OILPROD","TOT","KTOE","A","2017",129.417,
"HUN","OILPROD","TOT","KTOE","A","2017",724.821,
"ISL","OILPROD","TOT","KTOE","A","2017",0,
"IRL","OILPROD","TOT","KTOE","A","2017",0,
"ITA","OILPROD","TOT","KTOE","A","2017",4098,
"JPN","OILPROD","TOT","KTOE","A","2017",182.025,
"KOR","OILPROD","TOT","KTOE","A","2017",30.596,
"LUX","OILPROD","TOT","KTOE","A","2017",0,
"MEX","OILPROD","TOT","KTOE","A","2017",104778.875,
"NLD","OILPROD","TOT","KTOE","A","2017",959.7,
"NZL","OILPROD","TOT","KTOE","A","2017",1476.795,
"NOR","OILPROD","TOT","KTOE","A","2017",79303.908,
"POL","OILPROD","TOT","KTOE","A","2017",1011.035,
"PRT","OILPROD","TOT","KTOE","A","2017",0,
"SVK","OILPROD","TOT","KTOE","A","2017",6.192,
"ESP","OILPROD","TOT","KTOE","A","2017",120.246,
"SWE","OILPROD","TOT","KTOE","A","2017",0,
"CHE","OILPROD","TOT","KTOE","A","2017",0,
"TUR","OILPROD","TOT","KTOE","A","2017",2699.468,
"GBR","OILPROD","TOT","KTOE","A","2017",44566.427,
"USA","OILPROD","TOT","KTOE","A","2017",470360.949,
"OEU","OILPROD","TOT","KTOE","A","2017",144391.643,
"ALB","OILPROD","TOT","KTOE","A","2017",959,
"DZA","OILPROD","TOT","KTOE","A","2017",49642.9,
"ARG","OILPROD","TOT","KTOE","A","2017",24766,
"ARM","OILPROD","TOT","KTOE","A","2017",0,
"AZE","OILPROD","TOT","KTOE","A","2017",38881.126,
"BGD","OILPROD","TOT","KTOE","A","2017",0,
"BLR","OILPROD","TOT","KTOE","A","2017",1602.962,
"BIH","OILPROD","TOT","KTOE","A","2017",0,
"BRA","OILPROD","TOT","KTOE","A","2017",135979.134,
"BRN","OILPROD","TOT","KTOE","A","2017",5167.253,
"BGR","OILPROD","TOT","KTOE","A","2017",23.343,
