"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2000",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2001",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2002",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2003",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2004",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2005",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2006",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2007",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2008",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2009",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2010",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2011",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2012",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2013",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2014",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2015",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2016",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2020",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2000",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2001",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2002",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2003",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2004",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2005",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2006",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2007",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2008",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2009",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2010",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2011",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2012",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2013",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2014",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2015",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2016",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2020",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2000",45747,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2001",44005,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2002",44987,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2003",44920,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2004",44899,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2005",45335,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2006",44314,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2007",45853,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2008",43359,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2009",44959,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2010",45729,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2011",45942,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2012",38464,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2013",40567,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2014",31969,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2015",24825,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2016",41430,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2017",40128.5,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2018",27126.3,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2019",41305.6,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2020",32605.8,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"CAN","ELECTRICITY","NUCLEAR","GWH","A","2000",68679,
"CAN","ELECTRICITY","NUCLEAR","GWH","A","2001",72354,
