"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGREV","TOT","PC_GDP","A","2017",35.7835925183229,
"AUS","GGREV","TOT","PC_GDP","A","2018",35.4491622114925,
"AUS","GGREV","TOT","PC_GDP","A","2019",34.8103104314233,
"AUS","GGREV","TOT","PC_GDP","A","2020",35.0637059169331,
"AUS","GGREV","TOT","PC_GDP","A","2021",35.4575537742562,
"AUT","GGREV","TOT","PC_GDP","A","2017",48.4827656953329,
"AUT","GGREV","TOT","PC_GDP","A","2018",48.9277931978244,
"AUT","GGREV","TOT","PC_GDP","A","2019",49.2390705490658,
"AUT","GGREV","TOT","PC_GDP","A","2020",48.7321964732121,
"AUT","GGREV","TOT","PC_GDP","A","2021",50.0257331878004,
"BEL","GGREV","TOT","PC_GDP","A","2017",51.3463989784521,
"BEL","GGREV","TOT","PC_GDP","A","2018",51.3952154848986,
"BEL","GGREV","TOT","PC_GDP","A","2019",49.911729987778,
"BEL","GGREV","TOT","PC_GDP","A","2020",49.9288100745869,
"BEL","GGREV","TOT","PC_GDP","A","2021",49.9317355999742,
"CAN","GGREV","TOT","PC_GDP","A","2017",41.1502909642486,
"CAN","GGREV","TOT","PC_GDP","A","2018",41.8962175864838,
"CAN","GGREV","TOT","PC_GDP","A","2019",41.4560966489982,
"CAN","GGREV","TOT","PC_GDP","A","2020",42.5044091710758,
"CAN","GGREV","TOT","PC_GDP","A","2021",41.7253178636164,
"CZE","GGREV","TOT","PC_GDP","A","2017",40.4814916343866,
"CZE","GGREV","TOT","PC_GDP","A","2018",41.4871401638328,
"CZE","GGREV","TOT","PC_GDP","A","2019",41.3424126193258,
"CZE","GGREV","TOT","PC_GDP","A","2020",41.4522980817921,
"CZE","GGREV","TOT","PC_GDP","A","2021",41.4160238935451,
"DNK","GGREV","TOT","PC_GDP","A","2017",52.3357926707867,
"DNK","GGREV","TOT","PC_GDP","A","2018",51.308732208055,
"DNK","GGREV","TOT","PC_GDP","A","2019",53.7993638460702,
"DNK","GGREV","TOT","PC_GDP","A","2020",53.7510051806527,
"DNK","GGREV","TOT","PC_GDP","A","2021",54.4378296614321,
"FIN","GGREV","TOT","PC_GDP","A","2017",52.9803226675976,
"FIN","GGREV","TOT","PC_GDP","A","2018",52.5271778704886,
"FIN","GGREV","TOT","PC_GDP","A","2019",52.3934994871966,
"FIN","GGREV","TOT","PC_GDP","A","2020",51.6209256310835,
"FIN","GGREV","TOT","PC_GDP","A","2021",52.7992934633424,
"FRA","GGREV","TOT","PC_GDP","A","2017",53.5450335663374,
"FRA","GGREV","TOT","PC_GDP","A","2018",53.3555959321391,
"FRA","GGREV","TOT","PC_GDP","A","2019",52.2871553780611,
"FRA","GGREV","TOT","PC_GDP","A","2020",52.5051407311676,
"FRA","GGREV","TOT","PC_GDP","A","2021",52.5158444861188,
"DEU","GGREV","TOT","PC_GDP","A","2017",45.5112391189902,
"DEU","GGREV","TOT","PC_GDP","A","2018",46.2708998796595,
"DEU","GGREV","TOT","PC_GDP","A","2019",46.5217115908397,
"DEU","GGREV","TOT","PC_GDP","A","2020",46.0752680278261,
"DEU","GGREV","TOT","PC_GDP","A","2021",47.5254251405567,
"GRC","GGREV","TOT","PC_GDP","A","2017",49.1138155666615,
"GRC","GGREV","TOT","PC_GDP","A","2018",49.4587572285581,
"GRC","GGREV","TOT","PC_GDP","A","2019",48.9661299097373,
"GRC","GGREV","TOT","PC_GDP","A","2020",49.75819541352,
"GRC","GGREV","TOT","PC_GDP","A","2021",49.9959800686265,
"HUN","GGREV","TOT","PC_GDP","A","2017",44.2586490095916,
"HUN","GGREV","TOT","PC_GDP","A","2018",44.0392257617104,
"HUN","GGREV","TOT","PC_GDP","A","2019",44.0223944965821,
"HUN","GGREV","TOT","PC_GDP","A","2020",43.5467563874122,
"HUN","GGREV","TOT","PC_GDP","A","2021",41.2747164604819,
"ISL","GGREV","TOT","PC_GDP","A","2017",45.364181892663,
"ISL","GGREV","TOT","PC_GDP","A","2018",44.7548905561846,
"ISL","GGREV","TOT","PC_GDP","A","2019",41.8095789273407,
"ISL","GGREV","TOT","PC_GDP","A","2020",41.915940875437,
"ISL","GGREV","TOT","PC_GDP","A","2021",41.2932637655607,
"IRL","GGREV","TOT","PC_GDP","A","2017",25.8709457236578,
"IRL","GGREV","TOT","PC_GDP","A","2018",25.4838882909017,
"IRL","GGREV","TOT","PC_GDP","A","2019",24.7276432822375,
"IRL","GGREV","TOT","PC_GDP","A","2020",22.3127410682518,
"IRL","GGREV","TOT","PC_GDP","A","2021",23.1617890085654,
"ITA","GGREV","TOT","PC_GDP","A","2017",46.3442552566151,
"ITA","GGREV","TOT","PC_GDP","A","2018",46.2287494710372,
"ITA","GGREV","TOT","PC_GDP","A","2019",46.9624971161582,
"ITA","GGREV","TOT","PC_GDP","A","2020",47.3226468116092,
"ITA","GGREV","TOT","PC_GDP","A","2021",48.10559791126,
"JPN","GGREV","TOT","PC_GDP","A","2017",35.0920402912455,
"JPN","GGREV","TOT","PC_GDP","A","2018",35.787671910059,
"JPN","GGREV","TOT","PC_GDP","A","2019",35.7007773801987,
"JPN","GGREV","TOT","PC_GDP","A","2020",37.0899372188777,
"KOR","GGREV","TOT","PC_GDP","A","2017",32.9525572340813,
"KOR","GGREV","TOT","PC_GDP","A","2018",34.1721119342684,
"KOR","GGREV","TOT","PC_GDP","A","2019",34.8268777194428,
"KOR","GGREV","TOT","PC_GDP","A","2020",35.437152340191,
"KOR","GGREV","TOT","PC_GDP","A","2021",37.2446900019212,
"LUX","GGREV","TOT","PC_GDP","A","2017",42.6442471274627,
"LUX","GGREV","TOT","PC_GDP","A","2018",45.276468699109,
"LUX","GGREV","TOT","PC_GDP","A","2019",45.3598404504163,
"LUX","GGREV","TOT","PC_GDP","A","2020",43.3036316658775,
"LUX","GGREV","TOT","PC_GDP","A","2021",43.682796554142,
"MEX","GGREV","TOT","PC_GDP","A","2017",23.5881396137626,
"MEX","GGREV","TOT","PC_GDP","A","2018",22.3546023046339,
"MEX","GGREV","TOT","PC_GDP","A","2019",23.3922897812255,
"MEX","GGREV","TOT","PC_GDP","A","2020",24.5791343324419,
"NLD","GGREV","TOT","PC_GDP","A","2017",43.8302178701774,
"NLD","GGREV","TOT","PC_GDP","A","2018",43.7820015064853,
"NLD","GGREV","TOT","PC_GDP","A","2019",43.9233508188253,
"NLD","GGREV","TOT","PC_GDP","A","2020",44.1167313221097,
"NLD","GGREV","TOT","PC_GDP","A","2021",43.9939697976075,
"NOR","GGREV","TOT","PC_GDP","A","2017",55.4765122829463,
"NOR","GGREV","TOT","PC_GDP","A","2018",56.6861757505839,
"NOR","GGREV","TOT","PC_GDP","A","2019",58.1361667401902,
"NOR","GGREV","TOT","PC_GDP","A","2020",55.9275908771965,
"NOR","GGREV","TOT","PC_GDP","A","2021",59.0191608548964,
"POL","GGREV","TOT","PC_GDP","A","2017",39.926638874235,
"POL","GGREV","TOT","PC_GDP","A","2018",41.1974854526627,
"POL","GGREV","TOT","PC_GDP","A","2019",41.1325886216775,
"POL","GGREV","TOT","PC_GDP","A","2020",41.3244886365581,
"POL","GGREV","TOT","PC_GDP","A","2021",42.3745440077319,
"PRT","GGREV","TOT","PC_GDP","A","2017",42.4120047435225,
"PRT","GGREV","TOT","PC_GDP","A","2018",42.8914324774952,
"PRT","GGREV","TOT","PC_GDP","A","2019",42.5663308464407,
"PRT","GGREV","TOT","PC_GDP","A","2020",43.4244741039545,
"PRT","GGREV","TOT","PC_GDP","A","2021",44.9112578556301,
"SVK","GGREV","TOT","PC_GDP","A","2017",38.515256140032,
"SVK","GGREV","TOT","PC_GDP","A","2018",38.658657782564,
"SVK","GGREV","TOT","PC_GDP","A","2019",39.3104822584058,
"SVK","GGREV","TOT","PC_GDP","A","2020",39.4060163901342,
"SVK","GGREV","TOT","PC_GDP","A","2021",40.8787570079716,
"ESP","GGREV","TOT","PC_GDP","A","2017",38.19699404383,
"ESP","GGREV","TOT","PC_GDP","A","2018",39.2188786228288,
"ESP","GGREV","TOT","PC_GDP","A","2019",39.2236773120794,
"ESP","GGREV","TOT","PC_GDP","A","2020",41.8225939611213,
"ESP","GGREV","TOT","PC_GDP","A","2021",43.7437543605542,
