"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRUSTGOV","TOT","PC","A","2017",45.3406962891371,
"AUS","TRUSTGOV","TOT","PC","A","2018",46.8836874513729,
"AUS","TRUSTGOV","TOT","PC","A","2019",46.8700014928596,
"AUS","TRUSTGOV","TOT","PC","A","2020",44.6422249484244,
"AUS","TRUSTGOV","TOT","PC","A","2021",51.9226387269998,
"AUT","TRUSTGOV","TOT","PC","A","2017",43.5907940906151,
"AUT","TRUSTGOV","TOT","PC","A","2018",48.8678724760577,
"AUT","TRUSTGOV","TOT","PC","A","2019",51.2338260131346,
"AUT","TRUSTGOV","TOT","PC","A","2020",62.6177826842198,
"AUT","TRUSTGOV","TOT","PC","A","2021",61.0458963307101,
"BEL","TRUSTGOV","TOT","PC","A","2017",44.9731910860775,
"BEL","TRUSTGOV","TOT","PC","A","2018",44.1944530799293,
"BEL","TRUSTGOV","TOT","PC","A","2019",32.7901154348457,
"BEL","TRUSTGOV","TOT","PC","A","2020",29.4799600657363,
"BEL","TRUSTGOV","TOT","PC","A","2021",47.3133105255303,
"CAN","TRUSTGOV","TOT","PC","A","2017",65.2735971510871,
"CAN","TRUSTGOV","TOT","PC","A","2018",61.0466915368588,
"CAN","TRUSTGOV","TOT","PC","A","2019",54.9280966328576,
"CAN","TRUSTGOV","TOT","PC","A","2020",60.0424110070179,
"CAN","TRUSTGOV","TOT","PC","A","2021",61.0411167292314,
"CZE","TRUSTGOV","TOT","PC","A","2017",34.3870808017862,
"CZE","TRUSTGOV","TOT","PC","A","2018",42.07833057775,
"CZE","TRUSTGOV","TOT","PC","A","2020",31.8858991214926,
"CZE","TRUSTGOV","TOT","PC","A","2021",28.4475429313419,
"DNK","TRUSTGOV","TOT","PC","A","2017",57.2353315512816,
"DNK","TRUSTGOV","TOT","PC","A","2018",63.2478459186145,
"DNK","TRUSTGOV","TOT","PC","A","2019",63.2999031726247,
"DNK","TRUSTGOV","TOT","PC","A","2020",71.5797588737729,
"DNK","TRUSTGOV","TOT","PC","A","2021",65.1709716073998,
"FIN","TRUSTGOV","TOT","PC","A","2017",59.7538583335695,
"FIN","TRUSTGOV","TOT","PC","A","2018",55.5102212646279,
"FIN","TRUSTGOV","TOT","PC","A","2019",63.9188147034124,
"FIN","TRUSTGOV","TOT","PC","A","2020",80.863288011065,
"FIN","TRUSTGOV","TOT","PC","A","2021",71.3731249908732,
"FRA","TRUSTGOV","TOT","PC","A","2017",37.4793527389085,
"FRA","TRUSTGOV","TOT","PC","A","2018",38.0547431018663,
"FRA","TRUSTGOV","TOT","PC","A","2019",38.1849235823193,
"FRA","TRUSTGOV","TOT","PC","A","2020",41.0406651012307,
"FRA","TRUSTGOV","TOT","PC","A","2021",43.3520499917692,
"DEU","TRUSTGOV","TOT","PC","A","2017",62.2935652402484,
"DEU","TRUSTGOV","TOT","PC","A","2018",59.2990586555584,
"DEU","TRUSTGOV","TOT","PC","A","2019",56.8460427456982,
"DEU","TRUSTGOV","TOT","PC","A","2020",65.406310434657,
"DEU","TRUSTGOV","TOT","PC","A","2021",60.4759932362344,
"GRC","TRUSTGOV","TOT","PC","A","2017",13.9880902374867,
"GRC","TRUSTGOV","TOT","PC","A","2018",15.7048653991274,
"GRC","TRUSTGOV","TOT","PC","A","2019",39.6424619237357,
"GRC","TRUSTGOV","TOT","PC","A","2020",39.7469760890433,
"GRC","TRUSTGOV","TOT","PC","A","2021",40.173639463011,
"HUN","TRUSTGOV","TOT","PC","A","2017",37.7770498769594,
"HUN","TRUSTGOV","TOT","PC","A","2018",38.8044038624269,
"HUN","TRUSTGOV","TOT","PC","A","2019",48.3934186398412,
"HUN","TRUSTGOV","TOT","PC","A","2020",42.8733251215195,
"HUN","TRUSTGOV","TOT","PC","A","2021",41.6566138185724,
"ISL","TRUSTGOV","TOT","PC","A","2017",36.5041931341138,
"ISL","TRUSTGOV","TOT","PC","A","2019",52.1377060493115,
"ISL","TRUSTGOV","TOT","PC","A","2020",59.2407281936249,
"ISL","TRUSTGOV","TOT","PC","A","2021",63.3886735712649,
"IRL","TRUSTGOV","TOT","PC","A","2017",60.3799646882271,
"IRL","TRUSTGOV","TOT","PC","A","2018",61.8405288767387,
"IRL","TRUSTGOV","TOT","PC","A","2019",58.1215976215141,
"IRL","TRUSTGOV","TOT","PC","A","2020",58.8148266866781,
"IRL","TRUSTGOV","TOT","PC","A","2021",62.3389411864285,
"ITA","TRUSTGOV","TOT","PC","A","2017",23.0196292012131,
"ITA","TRUSTGOV","TOT","PC","A","2018",20.6626197456088,
"ITA","TRUSTGOV","TOT","PC","A","2019",22.1925858303397,
"ITA","TRUSTGOV","TOT","PC","A","2020",37.4515772443029,
"ITA","TRUSTGOV","TOT","PC","A","2021",35.429390283743,
"JPN","TRUSTGOV","TOT","PC","A","2017",41.2489941601125,
