"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXSS","TOT","PC_GDP","A","2017",0,
"AUS","TAXSS","TOT","PC_GDP","A","2018",0,
"AUS","TAXSS","TOT","PC_GDP","A","2019",0,
"AUT","TAXSS","TOT","PC_GDP","A","2017",14.598,
"AUT","TAXSS","TOT","PC_GDP","A","2018",14.706,
"AUT","TAXSS","TOT","PC_GDP","A","2019",14.859,
"AUT","TAXSS","TOT","PC_GDP","A","2020",15.597,
"BEL","TAXSS","TOT","PC_GDP","A","2017",13.411,
"BEL","TAXSS","TOT","PC_GDP","A","2018",13.253,
"BEL","TAXSS","TOT","PC_GDP","A","2019",13.247,
"BEL","TAXSS","TOT","PC_GDP","A","2020",13.699,
"CAN","TAXSS","TOT","PC_GDP","A","2017",4.624,
"CAN","TAXSS","TOT","PC_GDP","A","2018",4.639,
"CAN","TAXSS","TOT","PC_GDP","A","2019",4.69,
"CAN","TAXSS","TOT","PC_GDP","A","2020",4.896,
"CZE","TAXSS","TOT","PC_GDP","A","2017",14.816,
"CZE","TAXSS","TOT","PC_GDP","A","2018",15.337,
"CZE","TAXSS","TOT","PC_GDP","A","2019",15.357,
"CZE","TAXSS","TOT","PC_GDP","A","2020",15.834,
"DNK","TAXSS","TOT","PC_GDP","A","2017",0.048,
"DNK","TAXSS","TOT","PC_GDP","A","2018",0.047,
"DNK","TAXSS","TOT","PC_GDP","A","2019",0.043,
"DNK","TAXSS","TOT","PC_GDP","A","2020",0.058,
"FIN","TAXSS","TOT","PC_GDP","A","2017",11.931,
"FIN","TAXSS","TOT","PC_GDP","A","2018",11.842,
"FIN","TAXSS","TOT","PC_GDP","A","2019",11.785,
"FIN","TAXSS","TOT","PC_GDP","A","2020",11.507,
"FRA","TAXSS","TOT","PC_GDP","A","2017",16.735,
"FRA","TAXSS","TOT","PC_GDP","A","2018",16.018,
"FRA","TAXSS","TOT","PC_GDP","A","2019",14.827,
"FRA","TAXSS","TOT","PC_GDP","A","2020",14.85,
"DEU","TAXSS","TOT","PC_GDP","A","2017",14.299,
"DEU","TAXSS","TOT","PC_GDP","A","2018",14.48,
"DEU","TAXSS","TOT","PC_GDP","A","2019",14.629,
"DEU","TAXSS","TOT","PC_GDP","A","2020",15.208,
"GRC","TAXSS","TOT","PC_GDP","A","2017",11.709,
"GRC","TAXSS","TOT","PC_GDP","A","2018",11.948,
"GRC","TAXSS","TOT","PC_GDP","A","2019",12.155,
"GRC","TAXSS","TOT","PC_GDP","A","2020",12.885,
"HUN","TAXSS","TOT","PC_GDP","A","2017",12.291,
"HUN","TAXSS","TOT","PC_GDP","A","2018",11.649,
"HUN","TAXSS","TOT","PC_GDP","A","2019",11.667,
"HUN","TAXSS","TOT","PC_GDP","A","2020",11.053,
