"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HOSPITALBED","TOT","1000HAB","A","2017",7.37,
"AUT","HOSPITALBED","TOT","1000HAB","A","2018",7.27,
"AUT","HOSPITALBED","TOT","1000HAB","A","2019",7.19,
"AUT","HOSPITALBED","TOT","1000HAB","A","2020",7.05,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2017",5.49,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2018",5.39,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2019",5.31,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2020",5.13,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",0.75,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",0.73,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",0.69,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2020",0.69,
"BEL","HOSPITALBED","TOT","1000HAB","A","2017",5.66,
"BEL","HOSPITALBED","TOT","1000HAB","A","2018",5.62,
"BEL","HOSPITALBED","TOT","1000HAB","A","2019",5.57,"B"
"BEL","HOSPITALBED","TOT","1000HAB","A","2020",5.53,
"BEL","HOSPITALBED","TOT","1000HAB","A","2021",5.51,
"BEL","HOSPITALBED","ACUTE","1000HAB","A","2017",5,
"BEL","HOSPITALBED","ACUTE","1000HAB","A","2018",4.97,
"BEL","HOSPITALBED","ACUTE","1000HAB","A","2019",5,"B"
"BEL","HOSPITALBED","ACUTE","1000HAB","A","2020",4.97,
"BEL","HOSPITALBED","ACUTE","1000HAB","A","2021",4.93,
"BEL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",1.36,
"BEL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",1.35,
"BEL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",1.41,"B"
"BEL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2020",1.41,
"BEL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2021",1.41,
"CAN","HOSPITALBED","TOT","1000HAB","A","2017",2.53,
"CAN","HOSPITALBED","TOT","1000HAB","A","2018",2.55,
"CAN","HOSPITALBED","TOT","1000HAB","A","2019",2.52,
"CAN","HOSPITALBED","TOT","1000HAB","A","2020",2.55,
"CAN","HOSPITALBED","ACUTE","1000HAB","A","2017",1.97,
"CAN","HOSPITALBED","ACUTE","1000HAB","A","2018",2,
"CAN","HOSPITALBED","ACUTE","1000HAB","A","2019",1.97,
"CAN","HOSPITALBED","ACUTE","1000HAB","A","2020",2,
"CAN","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",0.34,
"CAN","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",0.37,
"CAN","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",0.36,
"CAN","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2020",0.37,
"CZE","HOSPITALBED","TOT","1000HAB","A","2017",6.63,
"CZE","HOSPITALBED","TOT","1000HAB","A","2018",6.62,
"CZE","HOSPITALBED","TOT","1000HAB","A","2019",6.58,
"CZE","HOSPITALBED","TOT","1000HAB","A","2020",6.5,
"CZE","HOSPITALBED","ACUTE","1000HAB","A","2017",4.11,
"CZE","HOSPITALBED","ACUTE","1000HAB","A","2018",4.08,
"CZE","HOSPITALBED","ACUTE","1000HAB","A","2019",4.04,
"CZE","HOSPITALBED","ACUTE","1000HAB","A","2020",4.04,
"CZE","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",0.94,
"CZE","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",0.93,
"CZE","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",0.92,
"CZE","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2020",0.88,
"DNK","HOSPITALBED","TOT","1000HAB","A","2017",2.61,
"DNK","HOSPITALBED","TOT","1000HAB","A","2018",2.61,
"DNK","HOSPITALBED","TOT","1000HAB","A","2019",2.59,
"DNK","HOSPITALBED","TOT","1000HAB","A","2020",2.59,
"DNK","HOSPITALBED","TOT","1000HAB","A","2021",2.52,"P"
"DNK","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",0.47,
"DNK","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",0.48,
"DNK","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",0.52,
"DNK","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2020",0.52,
"DNK","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2021",0.52,"P"
"FIN","HOSPITALBED","TOT","1000HAB","A","2017",3.75,
"FIN","HOSPITALBED","TOT","1000HAB","A","2018",3.61,
"FIN","HOSPITALBED","TOT","1000HAB","A","2019",3.35,
"FIN","HOSPITALBED","TOT","1000HAB","A","2020",2.83,
"FIN","HOSPITALBED","ACUTE","1000HAB","A","2017",2.89,
"FIN","HOSPITALBED","ACUTE","1000HAB","A","2018",2.84,
"FIN","HOSPITALBED","ACUTE","1000HAB","A","2019",2.61,
"FIN","HOSPITALBED","ACUTE","1000HAB","A","2020",2.42,
"FIN","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",0.53,
"FIN","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",0.54,
"FIN","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",0.59,
"FIN","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2020",0.38,
"FRA","HOSPITALBED","TOT","1000HAB","A","2017",5.98,
"FRA","HOSPITALBED","TOT","1000HAB","A","2018",5.89,
"FRA","HOSPITALBED","TOT","1000HAB","A","2019",5.83,
"FRA","HOSPITALBED","TOT","1000HAB","A","2020",5.73,
"FRA","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",0.84,
"FRA","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",0.82,
"FRA","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",0.82,
"FRA","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2020",0.8,
"DEU","HOSPITALBED","TOT","1000HAB","A","2017",8,
"DEU","HOSPITALBED","TOT","1000HAB","A","2018",7.98,
"DEU","HOSPITALBED","TOT","1000HAB","A","2019",7.91,
"DEU","HOSPITALBED","TOT","1000HAB","A","2020",7.82,
"DEU","HOSPITALBED","ACUTE","1000HAB","A","2017",6.02,
"DEU","HOSPITALBED","ACUTE","1000HAB","A","2018",6.01,
"DEU","HOSPITALBED","ACUTE","1000HAB","A","2019",5.95,
"DEU","HOSPITALBED","ACUTE","1000HAB","A","2020",5.87,
"DEU","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",1.28,
"DEU","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",1.3,
"DEU","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",1.31,
"DEU","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2020",1.3,
"GRC","HOSPITALBED","TOT","1000HAB","A","2017",4.21,
"GRC","HOSPITALBED","TOT","1000HAB","A","2018",4.2,
"GRC","HOSPITALBED","TOT","1000HAB","A","2019",4.18,
"GRC","HOSPITALBED","ACUTE","1000HAB","A","2017",3.6,
"GRC","HOSPITALBED","ACUTE","1000HAB","A","2018",3.63,
"GRC","HOSPITALBED","ACUTE","1000HAB","A","2019",3.64,
"GRC","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",0.74,
"GRC","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",0.74,
"GRC","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",0.72,
"HUN","HOSPITALBED","TOT","1000HAB","A","2017",7.02,
"HUN","HOSPITALBED","TOT","1000HAB","A","2018",6.95,"B"
"HUN","HOSPITALBED","TOT","1000HAB","A","2019",6.91,
"HUN","HOSPITALBED","TOT","1000HAB","A","2020",6.76,
"HUN","HOSPITALBED","TOT","1000HAB","A","2021",6.82,"P"
"HUN","HOSPITALBED","ACUTE","1000HAB","A","2017",4.27,
"HUN","HOSPITALBED","ACUTE","1000HAB","A","2018",4.23,"B"
"HUN","HOSPITALBED","ACUTE","1000HAB","A","2019",4.21,
"HUN","HOSPITALBED","ACUTE","1000HAB","A","2020",4.23,
"HUN","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",0.87,
"HUN","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",0.85,"B"
"HUN","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",0.84,
"HUN","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2020",0.75,
"ISL","HOSPITALBED","TOT","1000HAB","A","2017",3.06,
"ISL","HOSPITALBED","TOT","1000HAB","A","2018",2.87,
"ISL","HOSPITALBED","TOT","1000HAB","A","2019",2.8,
"ISL","HOSPITALBED","TOT","1000HAB","A","2020",2.84,
"ISL","HOSPITALBED","ACUTE","1000HAB","A","2017",2.51,
"ISL","HOSPITALBED","ACUTE","1000HAB","A","2018",2.34,
"ISL","HOSPITALBED","ACUTE","1000HAB","A","2019",2.27,
"ISL","HOSPITALBED","ACUTE","1000HAB","A","2020",2.32,
"ISL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",0.38,
"ISL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",0.37,
"ISL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",0.36,
"ISL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2020",0.35,
"IRL","HOSPITALBED","TOT","1000HAB","A","2017",2.97,
"IRL","HOSPITALBED","TOT","1000HAB","A","2018",2.97,
"IRL","HOSPITALBED","TOT","1000HAB","A","2019",2.88,
"IRL","HOSPITALBED","TOT","1000HAB","A","2020",2.89,
"IRL","HOSPITALBED","ACUTE","1000HAB","A","2017",2.78,
"IRL","HOSPITALBED","ACUTE","1000HAB","A","2018",2.79,
"IRL","HOSPITALBED","ACUTE","1000HAB","A","2019",2.69,
"IRL","HOSPITALBED","ACUTE","1000HAB","A","2020",2.71,
"IRL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",0.34,
"IRL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",0.34,
"IRL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",0.33,
"IRL","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2020",0.32,
"ITA","HOSPITALBED","TOT","1000HAB","A","2017",3.18,
"ITA","HOSPITALBED","TOT","1000HAB","A","2018",3.14,
"ITA","HOSPITALBED","TOT","1000HAB","A","2019",3.16,
"ITA","HOSPITALBED","TOT","1000HAB","A","2020",3.19,
"ITA","HOSPITALBED","ACUTE","1000HAB","A","2017",2.62,
"ITA","HOSPITALBED","ACUTE","1000HAB","A","2018",2.59,
"ITA","HOSPITALBED","ACUTE","1000HAB","A","2019",2.6,
"ITA","HOSPITALBED","ACUTE","1000HAB","A","2020",2.66,
"ITA","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2017",0.09,
"ITA","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2018",0.09,
"ITA","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2019",0.08,
"ITA","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2020",0.08,
