"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","DEATHCANCER","TOT","100000PER","A","2017",195.7,
"AUS","DEATHCANCER","TOT","100000PER","A","2018",196,
"AUS","DEATHCANCER","TOT","100000PER","A","2019",198.8,
"AUS","DEATHCANCER","TOT","100000PER","A","2020",188,
"AUT","DEATHCANCER","TOT","100000PER","A","2017",200.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2018",200.8,
"AUT","DEATHCANCER","TOT","100000PER","A","2019",196.6,
"AUT","DEATHCANCER","TOT","100000PER","A","2020",196.6,
"BEL","DEATHCANCER","TOT","100000PER","A","2017",204.1,
"BEL","DEATHCANCER","TOT","100000PER","A","2018",196.9,
"CAN","DEATHCANCER","TOT","100000PER","A","2017",209.5,
"CAN","DEATHCANCER","TOT","100000PER","A","2018",204,
"CAN","DEATHCANCER","TOT","100000PER","A","2019",200.3,
"CZE","DEATHCANCER","TOT","100000PER","A","2017",234.6,
"CZE","DEATHCANCER","TOT","100000PER","A","2018",234.2,
"CZE","DEATHCANCER","TOT","100000PER","A","2019",234.3,
"CZE","DEATHCANCER","TOT","100000PER","A","2020",229.3,
"DNK","DEATHCANCER","TOT","100000PER","A","2017",243.6,
"DNK","DEATHCANCER","TOT","100000PER","A","2018",234.3,
"FIN","DEATHCANCER","TOT","100000PER","A","2017",185.9,
"FIN","DEATHCANCER","TOT","100000PER","A","2018",182.2,
"FIN","DEATHCANCER","TOT","100000PER","A","2019",183.3,
"FRA","DEATHCANCER","TOT","100000PER","A","2017",209.5,
"DEU","DEATHCANCER","TOT","100000PER","A","2017",211.8,
"DEU","DEATHCANCER","TOT","100000PER","A","2018",211.4,
"DEU","DEATHCANCER","TOT","100000PER","A","2019",209.2,
"DEU","DEATHCANCER","TOT","100000PER","A","2020",206.2,
"GRC","DEATHCANCER","TOT","100000PER","A","2017",212.4,
"GRC","DEATHCANCER","TOT","100000PER","A","2018",209.3,
"GRC","DEATHCANCER","TOT","100000PER","A","2019",208.4,
"HUN","DEATHCANCER","TOT","100000PER","A","2017",298.9,
"HUN","DEATHCANCER","TOT","100000PER","A","2018",294.2,
"HUN","DEATHCANCER","TOT","100000PER","A","2019",286.4,
"ISL","DEATHCANCER","TOT","100000PER","A","2017",199.8,
"ISL","DEATHCANCER","TOT","100000PER","A","2018",191.4,
"ISL","DEATHCANCER","TOT","100000PER","A","2019",200.2,
"ISL","DEATHCANCER","TOT","100000PER","A","2020",192.2,
"IRL","DEATHCANCER","TOT","100000PER","A","2018",233.7,
"ITA","DEATHCANCER","TOT","100000PER","A","2017",205.2,
"JPN","DEATHCANCER","TOT","100000PER","A","2017",182.3,
"JPN","DEATHCANCER","TOT","100000PER","A","2018",178.7,
"JPN","DEATHCANCER","TOT","100000PER","A","2019",176.6,
"KOR","DEATHCANCER","TOT","100000PER","A","2017",173.8,
"KOR","DEATHCANCER","TOT","100000PER","A","2018",167.6,
"KOR","DEATHCANCER","TOT","100000PER","A","2019",164.8,
"KOR","DEATHCANCER","TOT","100000PER","A","2020",160.2,
"LUX","DEATHCANCER","TOT","100000PER","A","2017",197.2,
"LUX","DEATHCANCER","TOT","100000PER","A","2018",187.1,
"LUX","DEATHCANCER","TOT","100000PER","A","2019",185.8,
"MEX","DEATHCANCER","TOT","100000PER","A","2017",126.8,
"MEX","DEATHCANCER","TOT","100000PER","A","2018",125.4,
"MEX","DEATHCANCER","TOT","100000PER","A","2019",125.8,
"MEX","DEATHCANCER","TOT","100000PER","A","2020",125.9,
"NLD","DEATHCANCER","TOT","100000PER","A","2017",236.7,
"NLD","DEATHCANCER","TOT","100000PER","A","2018",223.2,
"NLD","DEATHCANCER","TOT","100000PER","A","2019",217.1,
"NLD","DEATHCANCER","TOT","100000PER","A","2020",217.2,
"POL","DEATHCANCER","TOT","100000PER","A","2017",251.9,
"POL","DEATHCANCER","TOT","100000PER","A","2018",248.1,
"POL","DEATHCANCER","TOT","100000PER","A","2019",245,
"PRT","DEATHCANCER","TOT","100000PER","A","2017",210.9,
"PRT","DEATHCANCER","TOT","100000PER","A","2018",210.3,
"SVK","DEATHCANCER","TOT","100000PER","A","2017",268.6,
"SVK","DEATHCANCER","TOT","100000PER","A","2018",268.3,
"SVK","DEATHCANCER","TOT","100000PER","A","2019",252.9,
"ESP","DEATHCANCER","TOT","100000PER","A","2017",196.5,
