"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2017",94.8,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2018",94.6,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2019",94.9,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2020",95.4,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2021",95,
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",95,"E"
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",95,"E"
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",95,"E"
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",95,"E"
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",92.7,
"AUT","CHILDVACCIN","DTP","PC_CHILD","A","2017",90,"E"
"AUT","CHILDVACCIN","DTP","PC_CHILD","A","2018",85,"E"
"AUT","CHILDVACCIN","DTP","PC_CHILD","A","2019",85,"E"
"AUT","CHILDVACCIN","DTP","PC_CHILD","A","2020",85,"E"
"AUT","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",96,"E"
"AUT","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",94,"E"
"AUT","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",94,"E"
"AUT","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",94,"E"
"BEL","CHILDVACCIN","DTP","PC_CHILD","A","2017",98,"E"
"BEL","CHILDVACCIN","DTP","PC_CHILD","A","2018",98,"E"
"BEL","CHILDVACCIN","DTP","PC_CHILD","A","2019",98,"E"
"BEL","CHILDVACCIN","DTP","PC_CHILD","A","2020",97,"E"
"BEL","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",96,"E"
"BEL","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",96,"E"
"BEL","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",96,"E"
"BEL","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",96,"E"
"CAN","CHILDVACCIN","DTP","PC_CHILD","A","2017",91,"E"
"CAN","CHILDVACCIN","DTP","PC_CHILD","A","2018",91,"E"
"CAN","CHILDVACCIN","DTP","PC_CHILD","A","2019",91,"E"
"CAN","CHILDVACCIN","DTP","PC_CHILD","A","2020",91,"E"
"CAN","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",90,"E"
"CAN","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",90,"E"
"CAN","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",90,"E"
"CAN","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",90,"E"
"CZE","CHILDVACCIN","DTP","PC_CHILD","A","2017",96,"E"
"CZE","CHILDVACCIN","DTP","PC_CHILD","A","2018",97,"E"
"CZE","CHILDVACCIN","DTP","PC_CHILD","A","2019",96.7,
"CZE","CHILDVACCIN","DTP","PC_CHILD","A","2020",96.8,
"CZE","CHILDVACCIN","DTP","PC_CHILD","A","2021",93.7,
"CZE","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97,
"CZE","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",96.4,
"CZE","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",92.4,
"CZE","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",94.4,
"CZE","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",96.6,
"DNK","CHILDVACCIN","DTP","PC_CHILD","A","2017",95,
"DNK","CHILDVACCIN","DTP","PC_CHILD","A","2018",96,
"DNK","CHILDVACCIN","DTP","PC_CHILD","A","2019",96,
"DNK","CHILDVACCIN","DTP","PC_CHILD","A","2020",96,
"DNK","CHILDVACCIN","DTP","PC_CHILD","A","2021",95.8,
"DNK","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",94,
"DNK","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",94,
"DNK","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",95,
"DNK","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",93.6,
"DNK","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",94.1,
"FIN","CHILDVACCIN","DTP","PC_CHILD","A","2017",89,"E"
"FIN","CHILDVACCIN","DTP","PC_CHILD","A","2018",91,"E"
"FIN","CHILDVACCIN","DTP","PC_CHILD","A","2019",91,"E"
"FIN","CHILDVACCIN","DTP","PC_CHILD","A","2020",91,"E"
"FIN","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",94,"E"
"FIN","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",96,"E"
"FIN","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",96,"E"
"FIN","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",96,"E"
"FRA","CHILDVACCIN","DTP","PC_CHILD","A","2017",96.1,
"FRA","CHILDVACCIN","DTP","PC_CHILD","A","2018",96.3,
"FRA","CHILDVACCIN","DTP","PC_CHILD","A","2019",96,"E"
"FRA","CHILDVACCIN","DTP","PC_CHILD","A","2021",96.4,
"FRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",90.3,
"FRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",89.6,
"FRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",90,"E"
"FRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",91.9,
"DEU","CHILDVACCIN","DTP","PC_CHILD","A","2017",93,"E"
"DEU","CHILDVACCIN","DTP","PC_CHILD","A","2018",93,"E"
"DEU","CHILDVACCIN","DTP","PC_CHILD","A","2019",93,"E"
"DEU","CHILDVACCIN","DTP","PC_CHILD","A","2020",93,"E"
"DEU","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97.1,
"DEU","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",97.1,
"DEU","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",97.2,
"DEU","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",97.2,
"GRC","CHILDVACCIN","DTP","PC_CHILD","A","2017",99,"E"
"GRC","CHILDVACCIN","DTP","PC_CHILD","A","2018",99,"E"
"GRC","CHILDVACCIN","DTP","PC_CHILD","A","2019",99,"E"
"GRC","CHILDVACCIN","DTP","PC_CHILD","A","2020",99,"E"
"GRC","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97,"E"
"GRC","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",97,"E"
"GRC","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",97,"E"
"GRC","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",97,"E"
"HUN","CHILDVACCIN","DTP","PC_CHILD","A","2017",99.9,
"HUN","CHILDVACCIN","DTP","PC_CHILD","A","2018",99.9,
"HUN","CHILDVACCIN","DTP","PC_CHILD","A","2019",99.9,
"HUN","CHILDVACCIN","DTP","PC_CHILD","A","2020",99.9,
"HUN","CHILDVACCIN","DTP","PC_CHILD","A","2021",99.9,
"HUN","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",99.9,
"HUN","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",99.9,
"HUN","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",99.9,
"HUN","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",99.8,
"HUN","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",99.8,
"ISL","CHILDVACCIN","DTP","PC_CHILD","A","2017",91,
"ISL","CHILDVACCIN","DTP","PC_CHILD","A","2018",91,
"ISL","CHILDVACCIN","DTP","PC_CHILD","A","2019",92.6,
"ISL","CHILDVACCIN","DTP","PC_CHILD","A","2020",93.4,
"ISL","CHILDVACCIN","DTP","PC_CHILD","A","2021",92,
"ISL","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",92,
"ISL","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",93,
"ISL","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",92.6,
"ISL","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",92.9,
"ISL","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",91.6,
"IRL","CHILDVACCIN","DTP","PC_CHILD","A","2017",94.8,
"IRL","CHILDVACCIN","DTP","PC_CHILD","A","2018",94.5,
"IRL","CHILDVACCIN","DTP","PC_CHILD","A","2019",93.5,
"IRL","CHILDVACCIN","DTP","PC_CHILD","A","2020",94.2,
"IRL","CHILDVACCIN","DTP","PC_CHILD","A","2021",93.5,
"IRL","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",92,
"IRL","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",92.3,
"IRL","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",91,
"IRL","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",91.8,
"IRL","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",90.4,
"ITA","CHILDVACCIN","DTP","PC_CHILD","A","2017",95,
"ITA","CHILDVACCIN","DTP","PC_CHILD","A","2018",95.1,
"ITA","CHILDVACCIN","DTP","PC_CHILD","A","2019",96,
"ITA","CHILDVACCIN","DTP","PC_CHILD","A","2020",93.7,
"ITA","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",91.6,
"ITA","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",93.2,
"ITA","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",94.5,
"ITA","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",91.9,
"JPN","CHILDVACCIN","DTP","PC_CHILD","A","2017",100,
"JPN","CHILDVACCIN","DTP","PC_CHILD","A","2018",100,
"JPN","CHILDVACCIN","DTP","PC_CHILD","A","2019",98,
"JPN","CHILDVACCIN","DTP","PC_CHILD","A","2020",96.2,
"JPN","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",102.5,
"JPN","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",97.2,
"JPN","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",96,
"JPN","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",98.5,
"KOR","CHILDVACCIN","DTP","PC_CHILD","A","2017",97.4,
"KOR","CHILDVACCIN","DTP","PC_CHILD","A","2018",97.5,
"KOR","CHILDVACCIN","DTP","PC_CHILD","A","2019",97.3,
"KOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97.4,
"KOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",97.6,
"KOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",97.4,
"LUX","CHILDVACCIN","DTP","PC_CHILD","A","2017",99,"E"
"LUX","CHILDVACCIN","DTP","PC_CHILD","A","2018",99,"E"
"LUX","CHILDVACCIN","DTP","PC_CHILD","A","2019",99,"E"
"LUX","CHILDVACCIN","DTP","PC_CHILD","A","2020",99,"E"
"LUX","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",99,"E"
"LUX","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",99,"E"
"LUX","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",99,"E"
"LUX","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",99,"E"
"MEX","CHILDVACCIN","DTP","PC_CHILD","A","2017",85,
"MEX","CHILDVACCIN","DTP","PC_CHILD","A","2018",88,
"MEX","CHILDVACCIN","DTP","PC_CHILD","A","2019",82,
"MEX","CHILDVACCIN","DTP","PC_CHILD","A","2020",85.8,
"MEX","CHILDVACCIN","DTP","PC_CHILD","A","2021",77.9,
"MEX","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",76,
"MEX","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",97,
"MEX","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",73,
"MEX","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",73,"E"
"MEX","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",89,"E"
"NLD","CHILDVACCIN","DTP","PC_CHILD","A","2017",93.9,
"NLD","CHILDVACCIN","DTP","PC_CHILD","A","2018",93.5,
"NLD","CHILDVACCIN","DTP","PC_CHILD","A","2019",93.7,
"NLD","CHILDVACCIN","DTP","PC_CHILD","A","2020",94.2,
"NLD","CHILDVACCIN","DTP","PC_CHILD","A","2021",94.7,
"NLD","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",92.9,
"NLD","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",92.9,
"NLD","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",93.6,
"NLD","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",93.6,
"NLD","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",92.8,
"NZL","CHILDVACCIN","DTP","PC_CHILD","A","2017",93.7,
"NZL","CHILDVACCIN","DTP","PC_CHILD","A","2018",92.6,
"NZL","CHILDVACCIN","DTP","PC_CHILD","A","2019",91.6,
"NZL","CHILDVACCIN","DTP","PC_CHILD","A","2020",92,
"NZL","CHILDVACCIN","DTP","PC_CHILD","A","2021",89.8,
"NZL","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",93.3,
"NZL","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",91.9,
"NZL","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",91.8,
"NZL","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",91.5,
"NZL","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",91.1,
"NOR","CHILDVACCIN","DTP","PC_CHILD","A","2017",96,
"NOR","CHILDVACCIN","DTP","PC_CHILD","A","2018",96,
"NOR","CHILDVACCIN","DTP","PC_CHILD","A","2019",97,
"NOR","CHILDVACCIN","DTP","PC_CHILD","A","2020",97.1,
"NOR","CHILDVACCIN","DTP","PC_CHILD","A","2021",96.8,
"NOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",96,
"NOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",96,
"NOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",97,
"NOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",96.7,
"NOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",96.6,
"POL","CHILDVACCIN","DTP","PC_CHILD","A","2017",96.4,
"POL","CHILDVACCIN","DTP","PC_CHILD","A","2018",95.2,
"POL","CHILDVACCIN","DTP","PC_CHILD","A","2019",95,"E"
"POL","CHILDVACCIN","DTP","PC_CHILD","A","2020",90.4,
"POL","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",94,
"POL","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",92.9,
"POL","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",93,"E"
"POL","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",80.3,
"PRT","CHILDVACCIN","DTP","PC_CHILD","A","2017",98,"E"
"PRT","CHILDVACCIN","DTP","PC_CHILD","A","2018",99,"E"
"PRT","CHILDVACCIN","DTP","PC_CHILD","A","2019",99,"E"
"PRT","CHILDVACCIN","DTP","PC_CHILD","A","2020",99,"E"
"PRT","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",98,"E"
"PRT","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",99,"E"
"PRT","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",99,"E"
"PRT","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",99,"E"
"SVK","CHILDVACCIN","DTP","PC_CHILD","A","2017",96.4,
"SVK","CHILDVACCIN","DTP","PC_CHILD","A","2018",96.5,
"SVK","CHILDVACCIN","DTP","PC_CHILD","A","2019",96.7,
"SVK","CHILDVACCIN","DTP","PC_CHILD","A","2020",97,"E"
"SVK","CHILDVACCIN","DTP","PC_CHILD","A","2021",97,
"SVK","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",95.8,
"SVK","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",96.1,
"SVK","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",96.2,
"SVK","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",96,"E"
"SVK","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",95.4,
"ESP","CHILDVACCIN","DTP","PC_CHILD","A","2017",94.8,
"ESP","CHILDVACCIN","DTP","PC_CHILD","A","2018",93.4,
"ESP","CHILDVACCIN","DTP","PC_CHILD","A","2019",95.6,
"ESP","CHILDVACCIN","DTP","PC_CHILD","A","2020",94.8,
"ESP","CHILDVACCIN","DTP","PC_CHILD","A","2021",90.8,
"ESP","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97.7,
"ESP","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",97.1,
"ESP","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",97.9,
"ESP","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",97.5,
"ESP","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",94.4,
"SWE","CHILDVACCIN","DTP","PC_CHILD","A","2017",97,"E"
"SWE","CHILDVACCIN","DTP","PC_CHILD","A","2018",97,"E"
"SWE","CHILDVACCIN","DTP","PC_CHILD","A","2019",98,"E"
"SWE","CHILDVACCIN","DTP","PC_CHILD","A","2020",97,"E"
"SWE","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97,"E"
"SWE","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",97,"E"
"SWE","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",97,"E"
"SWE","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",97,"E"
"CHE","CHILDVACCIN","DTP","PC_CHILD","A","2017",96.5,
"CHE","CHILDVACCIN","DTP","PC_CHILD","A","2018",95.9,
"CHE","CHILDVACCIN","DTP","PC_CHILD","A","2019",96.2,
"CHE","CHILDVACCIN","DTP","PC_CHILD","A","2020",96.5,
"CHE","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",95.1,
"CHE","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",95.5,
"CHE","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",95.3,
"CHE","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",97.1,
"TUR","CHILDVACCIN","DTP","PC_CHILD","A","2017",96,
"TUR","CHILDVACCIN","DTP","PC_CHILD","A","2018",98,
"TUR","CHILDVACCIN","DTP","PC_CHILD","A","2019",98.7,
"TUR","CHILDVACCIN","DTP","PC_CHILD","A","2020",98.4,
"TUR","CHILDVACCIN","DTP","PC_CHILD","A","2021",95.5,
"TUR","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",96,
"TUR","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",96,
"TUR","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",97,
"TUR","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",95,
"TUR","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",96.1,
"GBR","CHILDVACCIN","DTP","PC_CHILD","A","2017",94,
"GBR","CHILDVACCIN","DTP","PC_CHILD","A","2018",94,
"GBR","CHILDVACCIN","DTP","PC_CHILD","A","2019",93,
"GBR","CHILDVACCIN","DTP","PC_CHILD","A","2020",93,
"GBR","CHILDVACCIN","DTP","PC_CHILD","A","2021",92.6,
"GBR","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",92,
"GBR","CHILDVACCIN","MEASLES","PC_CHILD","A","2018",92,
"GBR","CHILDVACCIN","MEASLES","PC_CHILD","A","2019",91,
"GBR","CHILDVACCIN","MEASLES","PC_CHILD","A","2020",91.1,
"GBR","CHILDVACCIN","MEASLES","PC_CHILD","A","2021",90.9,
"USA","CHILDVACCIN","DTP","PC_CHILD","A","2017",94,"E"
"USA","CHILDVACCIN","DTP","PC_CHILD","A","2018",94,"E"
"USA","CHILDVACCIN","DTP","PC_CHILD","A","2019",94,"E"
"USA","CHILDVACCIN","DTP","PC_CHILD","A","2020",93,"E"
