"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CSECTIONS","TOT","1000BIRTH","A","2017",292.4,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2018",290.1,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2019",296.9,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2020",296.9,
"BEL","CSECTIONS","TOT","1000BIRTH","A","2017",209.6,
"BEL","CSECTIONS","TOT","1000BIRTH","A","2018",211.3,
"BEL","CSECTIONS","TOT","1000BIRTH","A","2019",210.7,
"BEL","CSECTIONS","TOT","1000BIRTH","A","2020",214.5,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2017",277.3,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2018",283.9,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2019",288.8,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2017",235.8,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2018",231,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2019",233,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2020",238.1,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2017",210.4,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2018",201.4,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2019",200.7,"B"
"DNK","CSECTIONS","TOT","1000BIRTH","A","2020",203.3,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2017",166.3,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2018",166,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2019",173.8,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2020",180.3,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2017",197,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2018",195,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2019",197.9,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2020",200.5,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2017",373,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2018",380.3,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2019",382.9,
