"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EMPLOYEE","1_9_EMPLOYED","NBR","A","2017",36330,
"AUT","EMPLOYEE","1_9_EMPLOYED","NBR","A","2018",35172,"B"
"AUT","EMPLOYEE","1_9_EMPLOYED","NBR","A","2019",34820,
"AUT","EMPLOYEE","10_19_EMPLOYED","NBR","A","2017",35408,
"AUT","EMPLOYEE","10_19_EMPLOYED","NBR","A","2018",35007,"B"
"AUT","EMPLOYEE","10_19_EMPLOYED","NBR","A","2019",35073,
"AUT","EMPLOYEE","20_49_EMPLOYED","NBR","A","2017",67618,
"AUT","EMPLOYEE","20_49_EMPLOYED","NBR","A","2018",62998,"B"
"AUT","EMPLOYEE","20_49_EMPLOYED","NBR","A","2019",62448,
"AUT","EMPLOYEE","250MORE_EMPLOYED","NBR","A","2017",316801,
"AUT","EMPLOYEE","250MORE_EMPLOYED","NBR","A","2018",375199,"B"
"AUT","EMPLOYEE","250MORE_EMPLOYED","NBR","A","2019",386260,
"AUT","EMPLOYEE","50_249_EMPLOYED","NBR","A","2017",162579,
"AUT","EMPLOYEE","50_249_EMPLOYED","NBR","A","2018",150388,"B"
"AUT","EMPLOYEE","50_249_EMPLOYED","NBR","A","2019",152298,
"BEL","EMPLOYEE","1_9_EMPLOYED","NBR","A","2017",30247,
"BEL","EMPLOYEE","1_9_EMPLOYED","NBR","A","2018",27193,"B"
"BEL","EMPLOYEE","1_9_EMPLOYED","NBR","A","2019",30131,
"BEL","EMPLOYEE","10_19_EMPLOYED","NBR","A","2017",29493,
"BEL","EMPLOYEE","10_19_EMPLOYED","NBR","A","2018",25040,"B"
"BEL","EMPLOYEE","10_19_EMPLOYED","NBR","A","2019",26789,
"BEL","EMPLOYEE","20_49_EMPLOYED","NBR","A","2017",60880,
"BEL","EMPLOYEE","20_49_EMPLOYED","NBR","A","2018",51670,"B"
"BEL","EMPLOYEE","20_49_EMPLOYED","NBR","A","2019",56096,
"BEL","EMPLOYEE","250MORE_EMPLOYED","NBR","A","2017",221519,
"BEL","EMPLOYEE","250MORE_EMPLOYED","NBR","A","2018",252726,"B"
