"year","ISO","ISO_No","Country_N","Adm_N","GID_1","HASC","PWC_Lat","PWC_Lon","Pop","Density","Area","PWD_A","PWD_G","PWD_M","PWD_D1","PWD_D2","PWD_D3","PWD_D4","PWD_D5","PWD_D6","PWD_D7","PWD_D8","PWD_D9","PWD_D10"
"2020","RUS","643","Russia","Adygey","RUS.1_1","RU.AD","44.7642288208008","39.8184471130371","514293","65.7","7824.0","1157.5","454.3","548.6","45.3","132.8","229.3","346.9","548.6","839.7","1439.0","2127.4","3435.1","5034.3"
"2020","RUS","643","Russia","Altay","RUS.2_1","RU.AL","52.823860168457","83.0398330688477","2284307","13.8","165299.5","1479.1","291.4","492.6","4.7","32.9","115.6","258.2","492.6","942.6","1689.8","2859.8","4630.9","9544.2"
"2020","RUS","643","Russia","Amur","RUS.3_1","RU.AM","51.2262725830078","127.770393371582","764806","2.1","361226.9","1119.4","177.8","314.5","2.7","19.0","66.9","159.9","314.5","627.2","1144.6","2049.8","4187.2","5391.4"
"2020","RUS","643","Russia","Arkhangel'sk","RUS.4_1","RU.AR","63.4346313476562","41.7570152282715","1102882","2.8","398614.4","1567.4","261.0","608.0","3.8","23.5","81.4","228.9","608.0","1221.9","1985.6","3228.8","4922.9","6829.8"
"2020","RUS","643","Russia","Astrakhan'","RUS.5_1","RU.AS","46.618106842041","47.7503242492676","1045466","22.6","46246.3","2532.1","597.6","1199.2","15.3","74.5","203.2","545.5","1199.2","2345.5","3560.8","5144.7","7164.2","10393.8"
"2020","RUS","643","Russia","Bashkortostan","RUS.6_1","RU.BK","54.4216423034668","55.921443939209","4169063","29.0","143576.2","2108.7","414.6","572.1","11.3","49.0","143.2","303.0","572.1","1109.8","2067.5","4047.4","7019.1","12549.6"
"2020","RUS","643","Russia","Belgorod","RUS.7_1","RU.BL","50.7505264282227","37.2326622009277","1625534","57.8","28107.0","1259.9","338.8","366.9","25.0","82.0","151.7","243.4","366.9","545.8","854.3","1735.0","4303.7","9734.4"
"2020","RUS","643","Russia","Bryansk","RUS.8_1","RU.BR","53.0407600402832","33.7070693969727","1201035","35.3","34043.2","1987.2","500.4","802.7","15.2","78.1","199.1","415.8","802.7","1480.6","2443.5","3963.9","5966.3","10894.9"
"2020","RUS","643","Russia","Buryat","RUS.9_1","RU.BU","51.9822731018066","107.6103515625","993456","3.0","331659.1","1437.2","184.6","314.1","2.4","12.9","46.2","126.8","314.1","809.1","1665.3","2936.4","5003.5","7690.8"
"2020","RUS","643","Russia","Chechnya","RUS.10_1","RU.CN","43.268726348877","45.8280296325684","1494324","99.0","15096.7","881.9","465.7","664.8","62.3","157.9","294.4","464.2","664.8","882.7","1152.9","1484.1","2052.8","5126.7"
"2020","RUS","643","Russia","Chelyabinsk","RUS.11_1","RU.CL","54.7863235473633","60.5495071411133","3442673","39.4","87428.6","2323.3","696.8","1062.8","38.3","133.8","308.0","604.3","1062.8","1713.3","2990.8","5105.7","7217.9","8843.2"
"2020","RUS","643","Russia","Chuvash","RUS.13_1","RU.CV","55.8192138671875","47.235279083252","1224172","67.3","18198.1","2352.0","677.0","1145.7","27.6","107.1","237.3","498.2","1145.7","2080.6","3231.5","4542.3","7053.8","11978.9"
"2020","RUS","643","Russia","City of St. Petersburg","RUS.14_1","RU.SP","59.9123878479004","30.3114261627197","4952487","2440.4","2029.4","11900.6","8281.3","11528.1","1890.5","4827.1","6945.1","9156.9","11528.1","13557.9","15942.7","18857.5","21346.7","36203.5"
"2020","RUS","643","Russia","Dagestan","RUS.15_1","RU.DA","42.7311859130859","47.3149948120117","3484729","71.0","49048.0","4508.2","796.9","1019.4","30.6","91.3","251.8","552.4","1019.4","1796.1","3593.3","7354.8","11629.2","53018.9"
"2020","RUS","643","Russia","Gorno-Altay","RUS.16_1","RU.GA","51.3407135009766","86.2645492553711","217875","2.4","92274.8","593.2","51.9","87.3","0.8","2.1","6.3","25.4","87.3","221.9","417.4","970.2","2201.0","4801.7"
"2020","RUS","643","Russia","Ingush","RUS.17_1","RU.IN","43.2732124328613","44.9430541992188","429628","134.5","3195.1","966.7","516.7","761.5","59.7","172.3","338.8","513.6","761.5","1008.9","1215.0","1583.8","2318.8","3957.0"
"2020","RUS","643","Russia","Irkutsk","RUS.18_1","RU.IK","53.9696846008301","103.276962280273","2334882","3.1","753764.6","1490.5","300.0","610.6","7.1","39.1","117.4","275.9","610.6","1077.6","1802.9","2915.1","4546.1","7409.1"
"2020","RUS","643","Russia","Ivanovo","RUS.19_1","RU.IV","57.0433731079102","41.3436813354492","1014754","44.1","23012.7","2478.5","810.0","1576.5","33.2","159.6","409.8","915.3","1576.5","2248.1","3175.9","4787.8","7038.6","8956.3"
"2020","RUS","643","Russia","Kabardin-Balkar","RUS.20_1","RU.KB","43.5486831665039","43.6985740661621","826881","70.9","11667.9","2106.7","649.5","749.4","43.5","138.9","267.3","444.9","749.4","1581.1","2744.8","4121.8","5920.3","11219.5"
"2020","RUS","643","Russia","Kaliningrad","RUS.21_1","RU.KN","54.7256126403809","20.8317985534668","957483","71.2","13455.6","2028.6","681.8","1087.3","33.6","134.1","311.0","640.3","1087.3","1823.6","2668.6","3886.2","5767.7","8564.2"
"2020","RUS","643","Russia","Kalmyk","RUS.22_1","RU.KL","46.3991317749023","44.5744209289551","300260","4.1","73735.1","781.6","94.0","216.0","1.2","3.1","16.4","79.6","216.0","419.2","699.6","1590.6","2851.9","4223.4"
"2020","RUS","643","Russia","Kaluga","RUS.23_1","RU.KG","54.5727806091309","36.0048904418945","1017956","35.3","28867.1","1319.7","374.4","448.8","25.7","89.2","172.0","282.2","448.8","713.1","1201.7","2129.2","4441.8","7892.8"
"2020","RUS","643","Russia","Kamchatka","RUS.24_1","RU.KQ","53.6442756652832","158.882415771484","291736","0.6","454893.6","1441.3","217.8","643.4","0.9","22.8","113.6","284.6","643.4","1384.5","2071.5","2944.5","3886.8","6462.1"
"2020","RUS","643","Russia","Karachay-Cherkess","RUS.25_1","RU.KC","44.0154495239258","42.1333045959473","692357","46.4","14921.8","2238.9","705.9","856.2","41.7","176.0","340.5","520.7","856.2","1694.2","3395.5","5153.0","6150.3","9134.4"
"2020","RUS","643","Russia","Karelia","RUS.26_1","RU.KI","62.4525947570801","33.6384506225586","583736","3.8","151737.0","1683.1","166.3","228.8","1.9","8.5","33.3","96.6","228.8","613.8","1952.3","4178.0","6199.1","8195.0"
"2020","RUS","643","Russia","Kemerovo","RUS.27_1","RU.KE","54.6104698181152","86.6137619018555","2698033","28.3","95221.1","1912.5","652.4","1042.0","38.1","171.7","381.8","671.7","1042.0","1534.0","2165.2","3181.8","5589.7","10052.8"
"2020","RUS","643","Russia","Khabarovsk","RUS.28_1","RU.KH","49.3743629455566","136.142028808594","1289338","1.7","775680.8","2001.6","465.6","1200.0","8.3","80.6","256.5","620.5","1200.0","1978.5","2813.7","3920.5","5260.1","7951.4"
"2020","RUS","643","Russia","Khakass","RUS.29_1","RU.KK","53.5930709838867","90.7681655883789","351364","5.9","59362.0","849.8","150.2","216.2","3.3","20.5","56.1","117.1","216.2","376.5","771.0","1455.1","2985.1","4970.1"
"2020","RUS","643","Russia","Khanty-Mansiy","RUS.30_1","RU.KM","61.4684562683105","71.3100814819336","1667268","3.2","526094.1","357.5","63.9","83.2","2.1","8.3","21.4","44.7","83.2","152.0","289.1","632.1","1275.8","2485.9"
"2020","RUS","643","Russia","Kirov","RUS.31_1","RU.KV","58.3677215576172","49.7635726928711","1193512","10.0","119040.6","1249.1","254.6","477.9","4.2","29.3","114.6","259.2","477.9","784.3","1302.1","2257.5","4154.2","6472.8"
"2020","RUS","643","Russia","Komi","RUS.32_1","RU.KO","63.4981880187988","54.1653251647949","801735","1.9","414443.0","1009.7","110.0","194.4","1.1","7.5","32.0","87.2","194.4","423.6","812.1","1559.6","3698.0","7027.1"
"2020","RUS","643","Russia","Kostroma","RUS.33_1","RU.KT","58.0042991638184","42.1230201721191","612311","10.2","59780.6","1864.4","362.2","721.2","5.3","45.6","148.7","347.9","721.2","1190.5","1939.9","4002.4","6295.9","7679.4"
"2020","RUS","643","Russia","Krasnodar","RUS.34_1","RU.KD","45.0882263183594","39.2741355895996","5536039","73.0","75809.0","1282.5","443.5","544.0","33.5","120.1","234.5","370.7","544.0","807.8","1220.6","2002.0","3859.0","8327.8"
"2020","RUS","643","Russia","Krasnoyarsk","RUS.35_1","RU.KX","56.9275703430176","92.5316848754883","2943297","1.3","2291327.2","2198.8","436.6","1012.8","8.2","62.0","180.6","468.0","1012.8","1782.4","2985.9","4702.8","6784.0","8838.1"
"2020","RUS","643","Russia","Kurgan","RUS.36_1","RU.KU","55.5076751708984","64.7994384765625","823246","11.5","71873.0","1259.5","204.0","325.8","3.4","16.9","70.5","165.5","325.8","581.7","1050.7","2464.7","4381.2","7414.9"
"2020","RUS","643","Russia","Kursk","RUS.37_1","RU.KS","51.7322425842285","36.0224189758301","1051382","34.1","30863.5","1513.9","420.3","629.0","14.3","77.0","179.6","342.1","629.0","1130.9","2069.7","3158.6","4572.2","7137.2"
"2020","RUS","643","Russia","Leningrad","RUS.38_1","RU.LN","59.8903198242188","30.5984115600586","2255718","29.8","75587.4","2279.6","329.2","320.6","19.4","57.1","120.2","204.6","320.6","507.6","893.3","1960.3","9618.1","25963.0"
"2020","RUS","643","Russia","Lipetsk","RUS.39_1","RU.LP","52.6013641357422","39.3477668762207","1174204","48.2","24353.4","1653.5","483.0","717.7","22.2","88.3","188.9","360.4","717.7","1372.4","2086.4","3278.2","4815.0","7941.7"
"2020","RUS","643","Russia","Maga Buryatdan","RUS.40_1","RU.MG","60.3559494018555","150.896255493164","134645","0.3","458395.1","839.8","69.1","146.6","0.3","3.3","17.4","58.7","146.6","397.5","822.6","1554.0","3236.1","NA"
"2020","RUS","643","Russia","Mariy-El","RUS.41_1","RU.ME","56.5298156738281","48.0905227661133","676103","29.3","23111.5","2533.2","499.3","717.9","12.5","50.2","157.2","320.9","717.9","1726.5","3527.4","5179.3","8233.8","11248.4"
"2020","RUS","643","Russia","Mordovia","RUS.42_1","RU.MR","54.260627746582","44.8230209350586","805518","30.9","26103.3","1274.0","316.8","411.6","12.3","58.0","137.4","248.9","411.6","714.0","1248.5","2088.2","4284.6","8502.9"
"2020","RUS","643","Russia","Moscow City","RUS.43_1","NA","55.739143371582","37.6309204101562","12146963","11115.3","1092.8","17313.2","14915.9","16897.5","6787.8","10202.7","12610.3","14475.1","16897.5","18779.7","21122.9","24319.9","28224.9","45844.7"
"2020","RUS","643","Russia","Moskva","RUS.44_1","RU.MS","55.6991577148438","37.7465476989746","9401604","202.4","46452.4","4234.5","1326.4","1606.1","116.8","266.1","483.4","879.7","1606.1","2755.1","4552.2","7637.4","11976.0","34060.4"
"2020","RUS","643","Russia","Murmansk","RUS.45_1","RU.MM","68.5297622680664","32.9839172363281","714052","5.1","140144.5","1944.6","323.4","486.7","7.8","36.1","87.4","198.5","486.7","1122.2","2345.3","4392.2","6796.5","8326.4"
"2020","RUS","643","Russia","Nenets","RUS.46_1","RU.NN","67.5944900512695","53.1459808349609","39401","0.2","174567.7","951.3","50.8","316.4","0.1","0.7","3.6","28.1","316.4","748.2","1304.4","1700.4","3101.8","4074.9"
"2020","RUS","643","Russia","Nizhegorod","RUS.47_1","RU.NZ","56.1266593933105","43.9516754150391","3154593","42.4","74368.4","3758.4","753.0","951.2","34.6","133.2","274.4","499.4","951.2","1978.1","3974.4","5874.9","8382.1","62697.4"
"2020","RUS","643","Russia","North Ossetia","RUS.48_1","RU.NO","43.1227149963379","44.5766944885254","693565","98.6","7034.1","2729.9","899.2","995.6","70.1","213.0","374.5","614.0","995.6","2124.3","3415.2","6255.7","8002.2","11097.5"
"2020","RUS","643","Russia","Novgorod","RUS.49_1","RU.NG","58.3933753967285","32.1501846313477","601558","11.0","54584.3","1791.5","273.7","363.6","5.2","27.7","96.0","196.7","363.6","731.2","1556.8","3456.3","7114.6","8995.3"
"2020","RUS","643","Russia","Novosibirsk","RUS.50_1","RU.NS","54.9377021789551","82.1351089477539","2731786","15.8","173239.5","3225.0","745.6","1827.4","17.6","84.2","240.3","823.4","1827.4","3048.4","4992.0","7106.4","8828.6","11064.9"
